idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.30_5.00_4500_31_170_400,1,0.3,5.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,7.38293,225.078,23899.8,115870.9,163670.4,1918.8,1566.8,1918.8,Myz_max/UW,1,2.22,
0.50_5.00_4500_31_200_475,2,0.5,5.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,7.18749,222.42,33637.1,110532.3,177806.6,1820.6,1487.4,1820.6,Myz_max/UW,1,0.31,
0.50_5.00_4500_31_230_550,3,0.5,5.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,7.19226,221.879,44954.4,105264.3,195173.2,1738.9,1414.3,1738.9,Myz_max/UW,1,0.35,
0.30_5.00_4500_31_140_325,4,0.3,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.37859,221.376,15820.0,121394.8,153034.8,2070.9,1696.5,2070.9,Myz_max/UW,1,0.37,
0.50_5.00_4500_31_170_400,5,0.5,5.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,7.18293,218.998,23899.8,115870.9,163670.4,1936.5,1589.1,1936.5,Myz_max/UW,1,0.3,
0.30_5.00_4500_31_110_250,6,0.3,5.0,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,7.37447,218.414,9439.6,127047.3,145926.4,2280.2,1872.3,2280.2,Myz_max/UW,0,0.42,
0.70_5.00_4500_31_200_475,7,0.7,5.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.98749,216.245,33637.1,110532.3,177806.6,1837.6,1508.9,1837.6,Myz_max/UW,1,0.32,
0.70_5.00_4500_31_230_550,8,0.7,5.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.99226,215.719,44954.4,105264.3,195173.2,1754.7,1434.6,1754.7,Myz_max/UW,1,0.29,
0.50_5.00_4500_31_140_325,9,0.5,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.17859,215.396,15820.0,121394.8,153034.8,2090.6,1721.0,2090.6,Myz_max/UW,1,0.42,
0.70_5.00_4500_31_170_400,10,0.7,5.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.98293,212.918,23899.8,115870.9,163670.4,1954.9,1612.5,1954.9,Myz_max/UW,1,0.36,
0.30_5.00_4500_27_170_400,11,0.3,5.0,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.97135,212.583,22951.7,116977.0,162880.5,1922.4,1586.3,1922.4,Myz_max/UW,1,2.13,
0.50_5.00_4500_31_110_250,12,0.5,5.0,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,7.17447,212.514,9439.6,127047.3,145926.4,2302.9,1900.0,2302.9,Myz_max/UW,0,0.38,
0.30_4.50_4500_31_170_400,13,0.3,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.88293,209.878,23899.8,105337.2,153136.7,1953.2,1616.8,1953.2,Myz_max/UW,1,0.34,
0.50_5.00_4500_27_200_475,14,0.5,5.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.77569,209.73,32329.2,111783.8,176442.2,1826.0,1507.2,1826.0,Myz_max/UW,1,0.29,
0.70_5.00_4500_31_140_325,15,0.7,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.97859,209.416,15820.0,121394.8,153034.8,2111.3,1746.8,2111.3,Myz_max/UW,0,0.35,
0.50_5.00_4500_27_230_550,16,0.5,5.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.78021,209.22,43190.3,106652.8,193033.4,1744.5,1433.1,1744.5,Myz_max/UW,1,0.27,
0.30_5.00_4500_27_140_325,17,0.3,5.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.96719,209.087,15213.5,122288.1,152715.0,2074.2,1717.7,2074.2,Myz_max/UW,1,0.34,
0.50_4.50_4500_31_200_475,18,0.5,4.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.68749,206.982,33637.1,100483.9,167758.2,1853.7,1535.9,1853.7,Myz_max/UW,1,0.29,
1.00_5.00_4500_31_200_475,19,1.0,5.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.68749,206.982,33637.1,110532.3,177806.6,1864.5,1543.4,1864.5,Myz_max/UW,1,0.28,
0.70_5.00_4500_31_110_250,20,0.7,5.0,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.97447,206.614,9439.6,127047.3,145926.4,2326.6,1929.1,2326.6,Myz_max/UW,0,0.41,
0.50_5.00_4500_27_170_400,21,0.5,5.0,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.77135,206.503,22951.7,116977.0,162880.5,1941.7,1610.4,1941.7,Myz_max/UW,1,0.35,
0.50_4.50_4500_31_230_550,22,0.5,4.5,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.69226,206.479,44954.4,95694.8,185603.7,1769.4,1460.1,1769.4,Myz_max/UW,1,0.26,
1.00_5.00_4500_31_230_550,23,1.0,5.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.69226,206.479,44954.4,105264.3,195173.2,1779.7,1467.2,1779.7,Myz_max/UW,1,0.27,
0.30_4.50_4500_31_140_325,24,0.3,4.5,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.87859,206.426,15820.0,110358.9,141999.0,2109.4,1751.5,2109.4,Myz_max/UW,0,0.36,
0.30_5.00_4500_27_110_250,25,0.3,5.0,4500.0,27.0,110.0,250.0,2.273,118,4190.0,4803.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.96322,206.29,9065.4,127778.1,145909.0,2283.0,1895.9,2283.0,Myz_max/UW,0,0.47,
0.30_5.00_4200_31_170_400,26,0.3,5.0,4200.0,31.0,170.0,400.0,2.353,71,3690.0,4698.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,7.20293,205.151,22305.0,99101.7,143711.7,2015.8,1631.2,2015.8,Myz_max/UW,1,0.29,
0.50_4.50_4500_31_170_400,27,0.5,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.68293,203.798,23899.8,105337.2,153136.7,1972.8,1641.7,1972.8,Myz_max/UW,1,0.34,
