variable,level,n,n_feasible,feasible_pct,sigma_min,sigma_mean,sigma_max,mass_min_t,mass_mean_t
z1,0.3,1125,98,8.7,1912.8,2532.4,3880.1,121.5,144.7
z1,0.5,1500,242,16.1,1738.9,2471.9,3998.0,122.6,149.7
z1,0.7,1500,203,13.5,1754.7,2510.3,4128.1,129.4,152.1
z1,1.0,1500,157,10.5,1779.7,2573.9,4401.9,135.3,156.4
z2,3.0,1125,35,3.1,1892.9,2703.2,4401.9,121.5,141.1
z2,3.5,1125,82,7.3,1845.4,2592.8,4027.2,127.7,142.7
z2,4.0,1125,135,12.0,1804.5,2504.7,3780.8,125.7,147.4
z2,4.5,1125,192,17.1,1769.4,2432.9,3599.0,127.3,151.7
z2,5.0,1125,256,22.8,1738.9,2373.4,3456.1,131.5,157.0
D_pw_mm,3300.0,1125,0,0.0,2371.2,2869.1,4401.9,,
D_pw_mm,3600.0,1125,0,0.0,2128.6,2647.8,4034.9,,
D_pw_mm,3900.0,1125,74,6.6,1953.7,2484.0,3774.5,127.3,138.5
D_pw_mm,4200.0,1125,229,20.4,1840.3,2358.4,3570.2,122.6,145.7
D_pw_mm,4500.0,1125,397,35.3,1738.9,2247.8,3398.1,121.5,156.8
alpha,15.0,1125,93,8.3,1788.6,2594.5,4401.9,131.5,153.3
alpha,19.0,1125,119,10.6,1769.1,2548.2,4223.0,131.9,152.3
alpha,23.0,1125,143,12.7,1754.4,2512.3,4088.5,127.3,151.0
alpha,27.0,1125,164,14.6,1744.5,2485.5,3992.6,128.8,150.7
alpha,31.0,1125,181,16.1,1738.9,2466.6,3916.3,121.5,150.1
D_we_mm,110.0,1000,0,0.0,2280.2,2991.5,4401.9,,
D_we_mm,140.0,1000,6,0.6,2070.9,2655.1,3723.4,151.9,152.6
D_we_mm,170.0,1000,91,9.1,1918.8,2438.7,3377.1,121.5,147.1
D_we_mm,200.0,1375,218,15.9,1820.6,2384.2,3385.0,122.1,148.7
D_we_mm,230.0,1250,385,30.8,1738.9,2255.6,3142.1,126.1,153.6
L_we_mm,175.0,500,0,0.0,2617.1,3192.1,4401.9,,
L_we_mm,250.0,1000,0,0.0,2280.2,2783.6,3783.1,,
L_we_mm,325.0,1500,19,1.3,2061.7,2524.9,3403.9,151.7,152.4
L_we_mm,400.0,1500,253,16.9,1912.8,2351.2,3161.2,121.5,147.1
L_we_mm,475.0,750,252,33.6,1820.6,2244.5,2999.4,122.6,149.9
L_we_mm,550.0,375,176,46.9,1738.9,2148.9,2853.8,130.1,159.0
slenderness,1.591,500,0,0.0,2617.1,3192.1,4401.9,,
slenderness,1.625,500,7,1.4,2061.7,2520.5,3385.0,151.7,152.2
slenderness,1.739,500,83,16.6,1919.9,2346.7,3142.1,126.1,147.5
slenderness,1.786,500,0,0.0,2282.4,2776.4,3723.4,,
slenderness,1.912,500,6,1.2,2064.4,2520.6,3377.1,151.8,152.4
slenderness,2.0,500,85,17.0,1912.8,2349.9,3158.6,122.1,147.0
slenderness,2.065,375,126,33.6,1825.0,2240.8,2977.0,128.0,150.2
slenderness,2.273,500,0,0.0,2280.2,2790.9,3783.1,,
slenderness,2.321,500,6,1.2,2070.9,2533.7,3403.9,151.9,152.6
slenderness,2.353,500,85,17.0,1918.8,2356.8,3161.2,121.5,146.7
slenderness,2.375,375,126,33.6,1820.6,2248.2,2999.4,122.6,149.6
slenderness,2.391,375,176,46.9,1738.9,2148.9,2853.8,130.1,159.0
