idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.30_5.00_4500_30_170_400,1,0.3,5.0,4500.0,30.0,170.0,400.0,76,3995.0,4994.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,7.27699,221.862,23677.4,116161.5,163516.3,1919.3,1571.4,1919.3,Myz_max/UW,1,2.44,
0.50_5.00_4500_30_200_475,2,0.5,5.0,4500.0,30.0,200.0,475.0,65,3902.0,5085.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,7.08149,219.153,33343.7,110816.1,177503.6,1821.5,1492.0,1821.5,Myz_max/UW,1,0.29,
0.50_5.00_4500_30_230_550,3,0.5,5.0,4500.0,30.0,230.0,550.0,56,3809.0,5175.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,7.08619,218.621,44509.1,105596.7,194615.0,1739.9,1418.7,1739.9,Myz_max/UW,1,0.36,
0.30_5.00_4500_30_140_325,4,0.3,5.0,4500.0,30.0,140.0,325.0,92,4088.0,4903.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.27269,218.212,15678.8,121632.7,152990.4,2071.2,1701.5,2071.2,Myz_max/UW,1,0.36,
0.50_5.00_4500_30_170_400,5,0.5,5.0,4500.0,30.0,170.0,400.0,76,3995.0,4994.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,7.07699,215.782,23677.4,116161.5,163516.3,1937.3,1594.1,1937.3,Myz_max/UW,1,0.36,
0.30_5.00_4500_30_110_250,6,0.3,5.0,4500.0,30.0,110.0,250.0,118,4181.0,4812.0,325.565,315.0625,265.7025,49.31,45.74,2.079,7.26862,215.293,9346.2,127229.8,145922.2,2280.3,1877.7,2280.3,Myz_max/UW,0,0.43,
0.70_5.00_4500_30_200_475,7,0.7,5.0,4500.0,30.0,200.0,475.0,65,3902.0,5085.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.88149,212.978,33343.7,110816.1,177503.6,1838.9,1514.0,1838.9,Myz_max/UW,1,0.33,
0.70_5.00_4500_30_230_550,8,0.7,5.0,4500.0,30.0,230.0,550.0,56,3809.0,5175.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.88619,212.461,44509.1,105596.7,194615.0,1756.1,1439.4,1756.1,Myz_max/UW,1,0.28,
0.50_5.00_4500_30_140_325,9,0.5,5.0,4500.0,30.0,140.0,325.0,92,4088.0,4903.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.07269,212.232,15678.8,121632.7,152990.4,2091.4,1726.4,2091.4,Myz_max/UW,1,0.34,
0.70_5.00_4500_30_170_400,10,0.7,5.0,4500.0,30.0,170.0,400.0,76,3995.0,4994.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.87699,209.702,23677.4,116161.5,163516.3,1956.2,1618.0,1956.2,Myz_max/UW,1,0.37,
