rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
1,4500.0,31.0,170.0,400.0,0.3,3.0,76,1601.917,520.904,1341.465,5.38293,1.041465,4.341465,0.665712,0.901291,44559.3,7341.2,
2,4500.0,31.0,200.0,400.0,0.3,3.0,65,1602.62,520.904,1342.168,5.384336,1.042168,4.342168,0.665712,0.901291,48869.3,7343.0,
3,4200.0,31.0,200.0,475.0,0.5,3.0,60,1563.077,618.573,1253.791,5.007581,0.753791,4.253791,0.665712,0.901291,53383.2,8194.2,
4,4200.0,31.0,170.0,400.0,0.3,4.0,71,1511.917,520.904,1251.465,6.20293,0.951465,5.251465,0.665712,0.901291,42978.8,6984.9,
5,4200.0,31.0,200.0,400.0,0.3,4.0,60,1512.667,520.904,1252.215,6.20443,0.952215,5.252215,0.665712,0.901291,46704.2,6900.4,
6,4200.0,31.0,230.0,400.0,0.3,4.0,52,1513.531,520.904,1253.079,6.206159,0.953079,5.253079,0.665712,0.901291,50202.5,6833.5,
7,3900.0,23.0,200.0,475.0,0.5,4.5,56,1128.326,618.573,819.04,5.638079,0.31904,5.31904,0.942341,0.636712,55247.1,8341.7,
8,4200.0,23.0,200.0,475.0,0.5,3.5,60,1191.855,618.573,882.569,4.765137,0.382569,4.382569,0.942341,0.636712,57284.4,8772.0,
9,3900.0,23.0,230.0,475.0,0.5,4.5,49,1128.978,618.573,819.691,5.639382,0.319691,5.319691,0.942341,0.636712,59773.3,8331.5,
10,4200.0,23.0,230.0,475.0,0.5,3.5,52,1192.463,618.573,883.177,4.766353,0.383177,4.383177,0.942341,0.636712,61556.7,8682.6,
11,3900.0,27.0,200.0,475.0,0.5,4.5,56,1294.595,618.573,985.308,5.970616,0.485308,5.485308,0.785044,0.764288,53499.8,8087.2,
12,3900.0,27.0,230.0,475.0,0.5,4.5,49,1295.378,618.573,986.091,5.972183,0.486091,5.486091,0.785044,0.764288,57892.5,8079.3,
base,3330.9,19.0,110.5,238.0,0.5,3.0,87,713.331,310.0,558.331,3.616662,0.058331,3.558331,1.161684,0.516491,22228.0,3929.0,
