subset,rank_brg,rank_total,idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
z1>=1.0,1,467,1.00_6.00_4500_19_140_325,79,1.0,6.0,4500.0,19.0,140.0,325.0,2.321,92,4134.0,4857.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.5231,195.829,13760.4,147000.9,174521.8,2086.4,1747.4,2086.4,Myz_max/UW,1,0.31,
z1>=1.0,2,443,1.00_6.00_4500_15_170_325,756,1.0,6.0,4500.0,15.0,170.0,325.0,1.912,76,4123.0,4867.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,6.1796,153.283,13793.4,146219.7,173806.4,2097.9,1788.5,2097.9,Myz_max/UW,1,0.28,
z1>=1.0,3,469,1.00_6.00_4500_23_140_325,36,1.0,6.0,4500.0,23.0,140.0,325.0,2.321,92,4116.0,4875.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.8841,206.613,14527.5,145723.6,174778.5,2074.7,1719.8,2074.7,Myz_max/UW,1,0.36,
z1>=1.0,4,458,1.00_6.00_4500_19_170_325,493,1.0,6.0,4500.0,19.0,170.0,325.0,1.912,76,4105.0,4885.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,6.52378,161.772,14557.7,144945.8,174061.2,2080.6,1755.2,2080.6,Myz_max/UW,1,0.32,
z1>=1.0,5,429,1.00_6.00_4500_15_200_325,1753,1.0,6.0,4500.0,15.0,200.0,325.0,1.625,65,4094.0000000000005,4896.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,6.18022,131.097,14645.2,144170.0,173460.3,2095.8,1793.6,2095.8,Myz_max/UW,1,0.28,
z1>=1.0,6,480,1.00_6.00_4500_27_140_325,15,1.0,6.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.26719,218.057,15213.5,144522.3,174949.2,2068.3,1696.9,2068.3,Myz_max/UW,1,0.37,
z1>=1.0,7,465,1.00_6.00_4500_23_170_325,344,1.0,6.0,4500.0,23.0,170.0,325.0,1.912,76,4088.0,4902.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,6.88494,170.68,15259.7,143747.7,174267.1,2068.5,1727.5,2068.5,Myz_max/UW,1,0.33,
z1>=1.0,8,442,1.00_6.00_4500_19_200_325,1372,1.0,6.0,4500.0,19.0,200.0,325.0,1.625,65,4077.0,4914.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,6.52458,138.358,15368.0,142975.2,173711.2,2078.3,1760.4,2078.3,Myz_max/UW,1,0.28,
z1>=1.0,9,481,1.00_6.00_4500_31_140_325,4,1.0,6.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,7.67859,230.346,15820.0,143466.5,175106.6,2067.1,1677.9,2067.1,Myz_max/UW,1,0.36,
z1>=1.0,10,466,1.00_6.00_4500_27_170_325,200,1.0,6.0,4500.0,27.0,170.0,325.0,1.912,76,4073.0000000000005,4918.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,7.2682,180.134,15877.1,142694.7,174449.0,2061.6,1704.5,2061.6,Myz_max/UW,1,0.28,
z1>=1.0,11,444,1.00_6.00_4500_23_200_325,995,1.0,6.0,4500.0,23.0,200.0,325.0,1.625,65,4061.0,4930.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,6.88593,145.977,16004.0,141855.2,173863.2,2065.9,1732.6,2065.9,Myz_max/UW,1,0.28,
z1>=1.0,12,291,1.00_5.50_4500_31_170_325,229,1.0,5.5,4500.0,31.0,170.0,325.0,1.912,76,4059.0,4932.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,7.17978,177.936,16424.4,130814.3,163663.1,2096.7,1736.9,2096.7,Myz_max/UW,1,0.31,
z1>=1.5,1,69,1.50_6.00_4200_19_170_400,362,1.5,6.0,4200.0,19.0,170.0,400.0,2.353,71,3751.0,4637.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.92378,168.871,19380.5,121024.5,159785.6,2086.3,1745.5,2086.3,Myz_max/UW,1,0.28,
z1>=1.5,2,160,1.50_5.50_4500_15_170_400,595,1.5,5.5,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.18275,158.255,19533.2,131782.9,170849.3,2072.1,1793.8,2072.1,Myz_max/UW,1,0.29,
z1>=1.5,3,68,1.50_6.00_4200_19_200_400,1151,1.5,6.0,4200.0,19.0,200.0,400.0,2.0,60,3723.0,4666.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.92463,142.708,20257.3,119224.4,159739.1,2086.2,1759.2,2086.2,Myz_max/UW,1,0.27,
