subset,rank_pareto,idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
z1>=1.0,1,1.00_6.00_4500_19_140_325,79,1.0,6.0,4500.0,19.0,140.0,325.0,2.321,92,4134.0,4857.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.5231,195.829,13760.4,147000.9,174521.8,2086.4,1747.4,2086.4,Myz_max/UW,1,0.31,
z1>=1.0,2,1.00_6.00_4500_15_170_325,756,1.0,6.0,4500.0,15.0,170.0,325.0,1.912,76,4123.0,4867.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,6.1796,153.283,13793.4,146219.7,173806.4,2097.9,1788.5,2097.9,Myz_max/UW,1,0.28,
z1>=1.0,3,1.00_6.00_4500_15_200_325,1753,1.0,6.0,4500.0,15.0,200.0,325.0,1.625,65,4094.0000000000005,4896.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,6.18022,131.097,14645.2,144170.0,173460.3,2095.8,1793.6,2095.8,Myz_max/UW,1,0.28,
z1>=1.0,4,1.00_5.50_4500_31_170_325,229,1.0,5.5,4500.0,31.0,170.0,325.0,1.912,76,4059.0,4932.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,7.17978,177.936,16424.4,130814.3,163663.1,2096.7,1736.9,2096.7,Myz_max/UW,1,0.31,
z1>=1.0,5,1.00_5.50_4500_31_200_325,782,1.0,5.5,4500.0,31.0,200.0,325.0,1.625,65,4033.0000000000005,4958.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,7.18119,152.182,17068.8,129143.8,163281.5,2093.9,1741.8,2093.9,Myz_max/UW,1,0.28,
z1>=1.0,6,1.00_5.50_4200_15_170_400,566,1.0,5.5,4200.0,15.0,170.0,400.0,2.353,71,3774.0,4614.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.60248,159.761,18230.1,113089.1,149549.3,2094.8,1772.2,2094.8,Myz_max/UW,1,0.3,
z1>=1.0,7,1.00_5.00_4200_27_170_400,225,1.0,5.0,4200.0,27.0,170.0,400.0,2.353,71,3709.0,4679.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.11871,174.376,21420.0,100124.9,142964.9,2092.8,1744.8,2092.8,Myz_max/UW,1,0.28,
z1>=1.0,8,1.00_4.00_4500_27_170_400,452,1.0,4.0,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.27135,160.903,22951.7,95708.5,141611.9,2097.4,1815.0,2097.4,Myz_max/UW,1,0.3,
z1>=1.0,9,1.00_5.50_3900_15_200_475,942,1.0,5.5,3900.0,15.0,200.0,475.0,2.375,56,3396.0,4390.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,5.52609,147.497,23768.1,91569.8,139106.0,2098.3,1726.2,2098.3,Myz_max/UW,1,0.28,
z1>=1.0,10,1.00_5.00_3900_23_230_475,1515,1.0,5.0,3900.0,23.0,230.0,475.0,2.065,49,3315.0,4471.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,5.63938,131.631,27648.2,79982.6,135279.0,2095.5,1739.8,2095.5,Myz_max/UW,1,0.25,
z1>=1.5,1,1.50_6.00_4200_19_170_400,362,1.5,6.0,4200.0,19.0,170.0,400.0,2.353,71,3751.0,4637.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,5.92378,168.871,19380.5,121024.5,159785.6,2086.3,1745.5,2086.3,Myz_max/UW,1,0.28,
z1>=1.5,2,1.50_6.00_4200_19_200_400,1151,1.5,6.0,4200.0,19.0,200.0,400.0,2.0,60,3723.0,4666.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,5.92463,142.708,20257.3,119224.4,159739.1,2086.2,1759.2,2086.2,Myz_max/UW,1,0.27,
z1>=1.5,3,1.50_6.00_4200_19_230_400,2272,1.5,6.0,4200.0,19.0,230.0,400.0,1.739,52,3695.0,4694.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.92562,123.68,21112.6,117437.8,159663.0,2087.5,1771.5,2087.5,Myz_max/UW,1,0.27,
