design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
a01,111,0.12245099660394526,0.00468617000402857,0.12521738840017188,244.99596436141564,6401.816403205567,239.5833388900069,1,1,222.8
a02,111,0.12715984117765702,0.004855884813524256,0.13002565731425342,235.92354097144968,6178.0707640441115,230.72369422824212,1,1,225.8
a03,111,0.11033861685702112,0.004615521733965448,0.11309336984311794,271.89030327319193,6499.806897068894,265.267539924009,1,1,244.9
a04,111,0.10978860301938437,0.0047847642367549285,0.11265883652563324,273.25240667014566,6269.9014027797275,266.29069609798523,1,1,243.4
a05,111,0.10933246635399103,0.004767657039941495,0.11219264269449188,274.3924197490208,6292.39891810006,267.39721321737665,1,1,245.6
a06,111,0.1039327667880036,0.0035633037885365987,0.10600791624277912,288.6481417471774,8419.153061412313,282.99773321922544,1,1,242.0
a07,111,0.1285831078973563,0.00433389570096713,0.13110170914559088,233.31213944484855,6922.17858249458,228.82996869769596,1,1,265.5
a08,111,0.10859608997483583,0.004262978333890731,0.11112056840946263,276.2530401136144,7037.3334439679475,269.9770207209029,1,1,249.7
b01,111,0.10662955497558681,0.004783480351466869,0.10950926017365109,281.3478871488172,6271.584243217474,273.94943543978275,1,1,224.3
b02,111,0.106684372175477,0.00522856688553164,0.10986646946469997,281.2033233007669,5737.709903456577,273.05874254600474,1,1,219.7
b03,111,0.10507783671921736,0.005150707986366577,0.1082126148284092,285.502642009696,5824.442014458416,277.2320033812182,1,1,219.6
b04,111,0.13379513682543662,0.0061651962876414015,0.1375189163020567,224.22339639400494,4866.02511912512,218.1518063602667,1,1,253.2
b05,111,0.13142561849328654,0.004915011390353749,0.1343188569532597,228.26599824243897,6103.749842549359,223.34913116807869,1,1,255.3
b06,111,0.14390681781393835,0.0046568812855738795,0.14659952740447504,208.46823281707154,6442.079615156654,204.6391317294535,1,1,259.8
