rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
a01,4495.0,15.0,185.4,362.4,1.0,6.0,70,825.959,472.0,589.959,6.179919,-0.410041,6.589959,1.49282,0.401924,47957.9,7295.8,
a02,4494.0,15.0,180.2,364.4,1.0,6.0,72,827.772,475.0,590.272,6.180544,-0.409728,6.590272,1.49282,0.401924,47430.1,7344.0,
a03,4492.0,20.0,177.6,376.5,1.0,5.5,73,1050.967,490.0,805.967,6.111935,-0.194033,6.305967,1.098991,0.545955,46977.8,7395.1,
a04,4499.0,19.0,177.8,378.8,1.0,5.5,73,1009.489,493.0,762.989,6.025979,-0.237011,6.262989,1.161684,0.516491,47549.5,7490.8,
a05,4500.0,19.0,177.8,379.2,1.0,5.5,73,1010.161,494.0,763.161,6.026323,-0.236839,6.263161,1.161684,0.516491,47587.2,7498.4,
a06,4499.0,27.0,190.6,380.4,1.0,5.0,68,1382.918,495.0,1135.418,6.270835,0.135418,6.135418,0.785044,0.764288,46645.0,7076.4,
a07,4499.0,27.0,166.3,387.4,1.0,5.0,78,1386.952,504.0,1134.952,6.269903,0.134952,6.134952,0.785044,0.764288,43996.0,7251.7,
a08,4499.0,28.0,180.2,404.0,1.0,4.5,72,1448.691,526.0,1185.691,5.871383,0.185691,5.685691,0.752291,0.797564,47085.2,7483.9,
b01,4499.0,20.0,197.0,377.6,1.5,6.0,66,1053.517,492.0,807.517,6.115034,-0.692483,6.807517,1.098991,0.545955,49876.1,7404.2,
b02,4497.0,18.0,196.1,385.2,1.5,6.0,66,970.674,502.0,719.674,5.939348,-0.780326,6.719674,1.231073,0.48738,50983.6,7611.6,
b03,4495.0,18.0,196.8,384.8,1.5,6.0,66,969.359,501.0,718.859,5.937718,-0.781141,6.718859,1.231073,0.48738,51180.3,7630.3,
b04,4495.0,19.0,166.3,393.1,1.5,6.0,78,1018.658,512.0,762.658,6.025316,-0.737342,6.762658,1.161684,0.516491,47225.2,7796.7,
b05,4499.0,26.0,177.8,392.2,1.5,5.5,73,1342.067,511.0,1086.567,6.173134,-0.413433,6.586567,0.820122,0.731599,46484.4,7392.5,
b06,4496.0,28.0,173.2,389.5,1.5,5.5,75,1437.756,507.0,1184.256,6.368512,-0.315744,6.684256,0.752291,0.797564,44815.6,7229.6,
