design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
a01,111,0.3216725411216955,0.01459596711559687,0.33047181199177,93.26254549234392,2055.3622629049896,90.77930071914004,1,1,224.0
a02,111,0.3351189689369137,0.015181012658878964,0.34426907779039556,89.52044730612523,1976.1527556894441,87.14114027477417,1,1,231.7
a03,111,0.30818182138346273,0.0146555393948448,0.31706816592928544,97.34513173206206,2047.007564290178,94.61687808384646,1,1,247.5
a04,111,0.30524460842823387,0.015069120550277293,0.3144238528819421,98.28183421314486,1990.826199837386,95.41260856969465,1,1,243.1
a05,111,0.304070648162396,0.01501872830727234,0.3132197630434571,98.66128211091852,1997.5060062491082,95.77939689532842,1,1,243.1
a06,111,0.2880685383418652,0.011828654565596996,0.29511229339107103,104.14188294452869,2536.214058296485,101.65621924887147,1,1,243.0
a07,111,0.3607067511867946,0.014552703665029592,0.36935382412636747,83.1700540710542,2061.4726095255096,81.2229305353992,1,1,270.5
a08,111,0.304149390640908,0.014126948753808773,0.3126904277897376,98.6357392884581,2123.6008229952477,95.94153620901021,1,1,251.6
b01,111,0.2930153661701595,0.015141955439123982,0.30229092958499293,102.38370905974412,1981.2500519243115,99.24214411985895,1,1,230.3
b02,111,0.2913295138239865,0.01634983704590194,0.30144693368537456,102.97617843870498,1834.88067286392,99.52000384688446,1,1,225.5
b03,111,0.2872803869780498,0.016127981637819845,0.29726092966169104,104.42759533839046,1860.1211654191436,100.92143637625915,1,1,224.4
b04,111,0.3738253416015307,0.019780555185323536,0.3859776536726978,80.25138122384895,1516.6409496058495,77.72470689569886,1,1,252.8
b05,111,0.3638844870083681,0.01644091493959368,0.3737907814473144,82.44374539470296,1824.7159668561253,80.25880115031269,1,1,257.4
b06,111,0.396382403625987,0.016019206459584073,0.40590285116239955,75.68448984003585,1872.7519415951724,73.90931084639551,1,1,259.9
