design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a01,DLC1.2-a-s1,0.17,center,30,37800.0,1.616,-2.8837,1.4802
a01,DLC1.2-a-s2,0.16,center,30,37800.0,1.5606,-1.6161,1.4658
a01,DLC1.2-a-s3,0.16,center,30,37800.0,1.6063,-1.2409,1.5199
a01,DLC1.2-a-s4,0.16,center,30,37800.0,1.5031,-1.1024,1.4228
a01,DLC1.2-a-s5,0.18,center,30,37800.0,1.6884,-1.2707,1.5902
a01,DLC1.2-a-s6,0.17,center,30,37800.0,1.6108,-1.3214,1.5215
a01,DLC1.2-b-s1,0.18,center,30,45700.0,1.6461,-6.6978,1.4419
a01,DLC1.2-b-s2,0.18,center,30,45700.0,1.5524,-5.2107,1.3956
a01,DLC1.2-b-s3,0.18,center,30,45700.0,1.7763,-7.041,1.5701
a01,DLC1.2-b-s4,0.19,center,30,45700.0,1.8675,-6.6589,1.6674
a01,DLC1.2-b-s5,0.18,center,30,45700.0,1.7924,-5.5321,1.6047
a01,DLC1.2-b-s6,0.18,center,30,45700.0,1.7775,-6.003,1.5993
a01,DLC1.2-c-s1,0.18,center,30,45040.0,1.8878,-11.0368,1.703
a01,DLC1.2-c-s2,0.19,center,30,45040.0,1.8601,-13.7669,1.6179
a01,DLC1.2-c-s3,0.18,center,30,45040.0,1.7177,-14.3919,1.4939
a01,DLC1.2-c-s4,0.19,center,30,45040.0,1.6373,-13.4442,1.3834
a01,DLC1.2-c-s5,0.18,center,30,45040.0,1.9825,-14.2678,1.7306
a01,DLC1.2-c-s6,0.18,center,30,45040.0,1.5582,-13.5969,1.3045
a01,DLC1.2-d-s1,0.18,center,30,38180.0,1.8892,-18.6276,1.6378
a01,DLC1.2-d-s2,0.18,center,30,38180.0,1.6619,-16.8166,1.493
a01,DLC1.2-d-s3,0.17,center,30,38180.0,1.4568,-16.0916,1.2862
a01,DLC1.2-d-s4,0.18,center,30,38180.0,1.9528,-19.4405,1.7342
a01,DLC1.2-d-s5,0.19,center,30,38180.0,1.7698,-17.2665,1.5277
a01,DLC1.2-d-s6,0.18,center,30,38180.0,1.5666,-18.137,1.3479
a01,DLC1.2-e-s1,0.21,center,30,28490.0,1.9385,-25.2244,1.5991
a01,DLC1.2-e-s2,0.22,center,30,28490.0,2.1456,-25.7071,1.7857
a01,DLC1.2-e-s3,0.19,center,30,28490.0,1.836,-24.4487,1.5812
a01,DLC1.2-e-s4,0.21,center,30,28490.0,1.5666,-30.3961,1.2133
a01,DLC1.2-e-s5,0.2,center,30,28490.0,1.9717,-15.8127,1.7426
a01,DLC1.2-e-s6,0.2,center,30,28490.0,1.8351,-25.4249,1.5334
a01,DLC1.2-f-s1,0.25,center,30,18970.0,1.7313,-34.0607,1.2558
a01,DLC1.2-f-s2,0.25,center,30,18970.0,1.7703,-32.6795,1.4226
a01,DLC1.2-f-s3,0.25,center,30,18970.0,2.3013,-28.5454,1.7205
a01,DLC1.2-f-s4,0.25,center,30,18970.0,1.7416,-28.8615,1.2502
a01,DLC1.2-f-s5,0.24,center,30,18970.0,1.6096,-25.4012,1.1778
a01,DLC1.2-f-s6,0.27,center,30,18970.0,2.0758,-38.1944,1.473
a01,DLC1.2-g-s1,0.29,center,30,11340.0,2.0162,-36.8071,1.2984
a01,DLC1.2-g-s2,0.29,center,30,11340.0,2.6463,-30.5507,1.9322
a01,DLC1.2-g-s3,0.3,center,30,11340.0,2.7432,-43.4685,1.853
a01,DLC1.2-g-s4,0.3,center,30,11340.0,2.6449,-37.5735,1.8567
a01,DLC1.2-g-s5,0.32,center,30,11340.0,2.0086,-38.6306,1.2387
a01,DLC1.2-g-s6,0.31,center,30,11340.0,1.9842,-35.4279,1.1002
a01,DLC1.2-h-s1,0.37,center,30,6126.0,2.337,-31.488,1.016
a01,DLC1.2-h-s2,0.4,center,30,6126.0,2.413,-40.4677,1.4105
a01,DLC1.2-h-s3,0.36,center,30,6126.0,2.154,-41.2623,1.0927
a01,DLC1.2-h-s4,0.36,center,30,6126.0,1.9129,-38.4101,0.7504
a01,DLC1.2-h-s5,0.38,center,30,6126.0,2.692,-39.8574,1.6355
a01,DLC1.2-h-s6,0.39,center,30,6126.0,2.648,-44.86,1.5973
a01,DLC1.2-i-s1,0.48,center,30,2997.0,2.4877,-49.1231,0.9052
a01,DLC1.2-i-s2,0.4,center,30,2997.0,1.8407,-31.271,0.6397
a01,DLC1.2-i-s3,0.41,center,30,2997.0,2.7707,-29.0944,1.5572
a01,DLC1.2-i-s4,0.45,center,30,2997.0,2.1969,-43.0679,0.7908
a01,DLC1.2-i-s5,0.45,center,30,2997.0,2.3117,-34.9338,0.4179
a01,DLC1.2-i-s6,0.46,center,30,2997.0,2.8799,-37.2332,1.4818
a01,DLC1.2-j-s1,0.47,center,30,1332.0,2.6828,-39.8158,0.4025
a01,DLC1.2-j-s2,0.52,center,30,1332.0,2.5379,-33.4039,0.872
a01,DLC1.2-j-s3,0.5,center,30,1332.0,2.5989,-41.2128,0.5952
a01,DLC1.2-j-s4,0.48,center,30,1332.0,2.5576,-41.0877,0.7355
a01,DLC1.2-j-s5,0.53,center,30,1332.0,2.9025,-26.044,1.2731
a01,DLC1.2-j-s6,0.54,center,30,1332.0,1.6969,-42.444,0.2563
a01,DLC1.2-k-s1,0.58,center,30,538.2,2.6739,-22.2342,0.5899
a01,DLC1.2-k-s2,0.6,center,30,538.2,1.4901,-21.0113,0.062
a01,DLC1.2-k-s3,0.6,min_pos,30,538.2,3.2123,-18.7768,1.1901
a01,DLC1.2-k-s4,0.59,center,30,538.2,2.2647,-13.5489,0.498
a01,DLC1.2-k-s5,0.5,center,30,538.2,1.2024,0.9259,1.1647
a01,DLC1.2-k-s6,0.56,center,30,538.2,2.9212,-18.9806,0.8928
a01,DLC2.4.1-a-s1,0.34,center,3,50.0,0.1171,12.5445,2.826
a01,DLC2.4.1-a-s2,0.37,min_pos,3,50.0,-2.0388,10.4185,0.4908
a01,DLC2.4.1-a-s3,0.35,center,3,50.0,0.2631,6.1411,1.4842
a01,DLC2.4.1-a-s4,0.33,center,3,50.0,0.7391,2.1821,1.0563
a01,DLC2.4.1-a-s5,0.37,min_pos,3,50.0,-2.5639,9.7404,0.0389
a01,DLC2.4.1-a-s6,0.32,min_pos,3,50.0,-1.7547,11.1944,0.8674
a01,DLC2.4.1-b-s1,0.62,min_pos,3,50.0,4.0214,-14.3186,0.2016
a01,DLC2.4.1-b-s2,0.5,min_pos,3,50.0,3.4657,-11.3134,0.4685
a01,DLC2.4.1-b-s3,0.42,min_pos,3,50.0,4.1936,-14.508,0.4243
a01,DLC2.4.1-b-s4,0.49,min_pos,3,50.0,3.5282,-10.7323,0.6186
a01,DLC2.4.1-b-s5,0.52,min_pos,3,50.0,5.0178,-12.9836,0.8121
a01,DLC2.4.1-b-s6,0.37,min_pos,3,50.0,3.1985,-9.5114,0.4363
a01,DLC2.4.2-a-s1,0.25,center,15,25.0,2.5981,-26.6158,1.4469
a01,DLC2.4.2-a-s2,0.18,center,15,25.0,1.7674,-4.4558,1.4082
a01,DLC2.4.2-a-s3,0.24,center,15,25.0,2.6207,-13.5011,1.7042
a01,DLC2.4.2-a-s4,0.22,center,15,25.0,1.9231,-4.1738,1.5107
a01,DLC2.4.2-a-s5,0.26,center,15,25.0,2.5681,-21.4426,1.2901
a01,DLC2.4.2-a-s6,0.22,center,15,25.0,1.9507,-9.5527,1.2892
a01,DLC2.4.2-b-s1,0.37,center,15,25.0,2.3593,-6.7115,0.9849
a01,DLC2.4.2-b-s2,0.5,center,15,25.0,2.0531,-8.9283,0.1162
a01,DLC2.4.2-b-s3,0.42,center,15,25.0,2.8752,-9.1796,1.0508
a01,DLC2.4.2-b-s4,0.41,center,15,25.0,2.5298,-7.3693,0.9514
a01,DLC2.4.2-b-s5,0.37,center,15,25.0,2.4736,-4.3021,1.402
a01,DLC2.4.2-b-s6,0.28,center,15,25.0,2.7857,-6.1417,1.3526
a01,DLC4.1-a-y1,0.16,center,10,10000.0,1.5853,0.6575,1.446
a01,DLC4.1-a-y2,0.17,center,10,10000.0,1.6627,0.8745,1.5454
a01,DLC4.1-a-y3,0.17,center,10,10000.0,1.6442,0.9664,1.5443
a01,DLC4.1-b-y1,0.29,center,10,500.0,1.9239,-2.0302,1.497
a01,DLC4.1-b-y2,0.29,center,10,500.0,1.7848,-2.1128,1.3855
a01,DLC4.1-b-y3,0.28,center,10,500.0,1.7571,-1.4496,1.4498
a01,DLC4.1-c-y1,0.24,center,10,500.0,2.2419,-2.944,1.3898
a01,DLC4.1-c-y2,0.31,center,10,500.0,2.4942,-4.8883,1.3593
a01,DLC4.1-c-y3,0.48,min_pos,10,500.0,3.1396,-10.9254,0.6314
a01,DLC6.4-a-s1,3.0,center,30,24340.0,0.1476,0.1662,0.1504
a01,DLC6.4-a-s2,3.0,center,30,24340.0,0.5773,0.5922,0.5795
a01,DLC6.4-a-s3,3.0,center,30,24340.0,0.4504,0.5778,0.4693
a01,DLC6.4-a-s4,3.0,center,30,24340.0,0.5656,0.6678,0.5807
a01,DLC6.4-a-s5,3.0,center,30,24340.0,0.231,0.2645,0.2359
a01,DLC6.4-a-s6,3.0,center,30,24340.0,0.5379,0.6038,0.5477
a01,DLC6.4-b-s1,0.29,center,30,292.4,2.8694,-4.3922,1.6822
a01,DLC6.4-b-s2,0.28,center,30,292.4,2.5684,-5.8531,1.169
a01,DLC6.4-b-s3,0.23,center,30,292.4,2.617,-2.8983,1.7444
a01,DLC6.4-b-s4,0.4,min_pos,30,292.4,3.004,-8.961,0.8396
a01,DLC6.4-b-s5,0.51,min_pos,30,292.4,3.8018,-13.2356,0.3136
a01,DLC6.4-b-s6,0.25,center,30,292.4,2.5568,-3.2581,1.6382
a02,DLC1.2-a-s1,0.17,center,30,37800.0,1.6156,-2.8936,1.4799
a02,DLC1.2-a-s2,0.16,center,30,37800.0,1.5606,-1.6227,1.4659
a02,DLC1.2-a-s3,0.16,center,30,37800.0,1.6063,-1.2473,1.52
a02,DLC1.2-a-s4,0.16,center,30,37800.0,1.5032,-1.108,1.4229
a02,DLC1.2-a-s5,0.18,center,30,37800.0,1.6884,-1.2767,1.5903
a02,DLC1.2-a-s6,0.17,center,30,37800.0,1.6107,-1.3284,1.5215
a02,DLC1.2-b-s1,0.18,center,30,45700.0,1.6448,-6.7193,1.4407
a02,DLC1.2-b-s2,0.18,center,30,45700.0,1.5513,-5.2275,1.3946
a02,DLC1.2-b-s3,0.18,center,30,45700.0,1.7747,-7.0656,1.5687
a02,DLC1.2-b-s4,0.19,center,30,45700.0,1.8662,-6.6811,1.6662
a02,DLC1.2-b-s5,0.18,center,30,45700.0,1.7913,-5.5525,1.6037
a02,DLC1.2-b-s6,0.18,center,30,45700.0,1.7765,-6.0236,1.5984
a02,DLC1.2-c-s1,0.18,center,30,45040.0,1.886,-11.0771,1.7015
a02,DLC1.2-c-s2,0.19,center,30,45040.0,1.858,-13.8118,1.6161
a02,DLC1.2-c-s3,0.18,center,30,45040.0,1.7156,-14.4351,1.4921
a02,DLC1.2-c-s4,0.19,center,30,45040.0,1.6346,-13.4809,1.3812
a02,DLC1.2-c-s5,0.18,center,30,45040.0,1.9802,-14.3176,1.7287
a02,DLC1.2-c-s6,0.18,center,30,45040.0,1.5561,-13.6408,1.3027
a02,DLC1.2-d-s1,0.18,center,30,38180.0,1.8865,-18.6882,1.6354
a02,DLC1.2-d-s2,0.18,center,30,38180.0,1.6592,-16.8672,1.4908
a02,DLC1.2-d-s3,0.17,center,30,38180.0,1.4544,-16.1408,1.2842
a02,DLC1.2-d-s4,0.18,center,30,38180.0,1.9502,-19.5036,1.732
a02,DLC1.2-d-s5,0.19,center,30,38180.0,1.7665,-17.318,1.5248
a02,DLC1.2-d-s6,0.18,center,30,38180.0,1.563,-18.1903,1.3447
a02,DLC1.2-e-s1,0.21,center,30,28490.0,1.9313,-25.2978,1.5925
a02,DLC1.2-e-s2,0.22,center,30,28490.0,2.1378,-25.783,1.7786
a02,DLC1.2-e-s3,0.19,center,30,28490.0,1.8311,-24.5199,1.5769
a02,DLC1.2-e-s4,0.21,center,30,28490.0,1.5594,-30.4839,1.2069
a02,DLC1.2-e-s5,0.2,center,30,28490.0,1.9675,-15.8599,1.7388
a02,DLC1.2-e-s6,0.2,center,30,28490.0,1.8291,-25.4956,1.5282
a02,DLC1.2-f-s1,0.25,center,30,18970.0,1.7186,-34.1528,1.2442
a02,DLC1.2-f-s2,0.25,center,30,18970.0,1.7572,-32.7639,1.4105
a02,DLC1.2-f-s3,0.25,center,30,18970.0,2.2914,-28.6165,1.7118
a02,DLC1.2-f-s4,0.25,center,30,18970.0,1.7305,-28.9227,1.2402
a02,DLC1.2-f-s5,0.24,center,30,18970.0,1.6009,-25.4569,1.17
a02,DLC1.2-f-s6,0.27,center,30,18970.0,2.0617,-38.2965,1.4602
a02,DLC1.2-g-s1,0.29,center,30,11340.0,2.0021,-36.8969,1.2858
a02,DLC1.2-g-s2,0.29,center,30,11340.0,2.6342,-30.6253,1.9215
a02,DLC1.2-g-s3,0.3,center,30,11340.0,2.7263,-43.5719,1.8374
a02,DLC1.2-g-s4,0.3,center,30,11340.0,2.6307,-37.6715,1.8441
a02,DLC1.2-g-s5,0.32,center,30,11340.0,1.9908,-38.7287,1.2225
a02,DLC1.2-g-s6,0.31,center,30,11340.0,1.9657,-35.5132,1.0833
a02,DLC1.2-h-s1,0.37,center,30,6126.0,2.3216,-31.5458,1.0026
a02,DLC1.2-h-s2,0.4,center,30,6126.0,2.3923,-40.5689,1.3917
a02,DLC1.2-h-s3,0.36,center,30,6126.0,2.1361,-41.3636,1.0769
a02,DLC1.2-h-s4,0.36,center,30,6126.0,1.8953,-38.4889,0.7348
a02,DLC1.2-h-s5,0.38,center,30,6126.0,2.6707,-39.9596,1.6162
a02,DLC1.2-h-s6,0.39,center,30,6126.0,2.6243,-44.9759,1.5756
a02,DLC1.2-i-s1,0.48,center,30,2997.0,2.459,-49.2408,0.8787
a02,DLC1.2-i-s2,0.4,center,30,2997.0,1.825,-31.3404,0.6257
a02,DLC1.2-i-s3,0.41,center,30,2997.0,2.757,-29.1449,1.5452
a02,DLC1.2-i-s4,0.45,center,30,2997.0,2.1738,-43.1603,0.7699
a02,DLC1.2-i-s5,0.45,center,30,2997.0,2.2852,-35.0071,0.3926
a02,DLC1.2-i-s6,0.46,center,30,2997.0,2.8662,-37.3144,1.4697
a02,DLC1.2-j-s1,0.47,center,30,1332.0,2.6581,-39.9133,0.3792
a02,DLC1.2-j-s2,0.52,center,30,1332.0,2.5027,-33.4957,0.8388
a02,DLC1.2-j-s3,0.5,center,30,1332.0,2.567,-41.3216,0.565
a02,DLC1.2-j-s4,0.48,center,30,1332.0,2.5313,-41.1933,0.7115
a02,DLC1.2-j-s5,0.53,center,30,1332.0,2.8731,-26.1268,1.2445
a02,DLC1.2-j-s6,0.55,center,30,1332.0,2.9818,-40.8026,1.5565
a02,DLC1.2-k-s1,0.58,center,30,538.2,2.6466,-22.3215,0.5618
a02,DLC1.2-k-s2,0.61,center,30,538.2,2.9928,-18.8074,1.6117
a02,DLC1.2-k-s3,0.6,min_pos,30,538.2,3.1841,-18.8682,1.1602
a02,DLC1.2-k-s4,0.59,center,30,538.2,2.2328,-13.6296,0.4635
a02,DLC1.2-k-s5,0.5,center,30,538.2,1.1846,0.9312,1.1501
a02,DLC1.2-k-s6,0.56,center,30,538.2,2.8908,-19.0711,0.8605
a02,DLC2.4.1-a-s1,0.34,center,3,50.0,0.0979,12.5614,2.8133
a02,DLC2.4.1-a-s2,0.37,min_pos,3,50.0,-2.0302,10.4745,0.5082
a02,DLC2.4.1-a-s3,0.35,center,3,50.0,0.243,6.1714,1.4741
