design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
c50,DLC1.2-a-s1,0.18,center,30,37800.0,1.6855,1.5973,0.00401505847853332,6.498285814941891e-05,7471.871246806559,461660.210928538,7408.253807473406,4.792
c50,DLC1.2-a-s2,0.16,center,30,37800.0,1.5015,1.4452,0.0040177303391560545,6.572841024797599e-05,7466.902322344923,456423.6360930973,7402.561277137531,3.029
c50,DLC1.2-a-s3,0.16,center,30,37800.0,1.5186,1.4492,0.0040473218309477295,6.815830208864935e-05,7412.308991740135,440151.809547439,7346.342931411276,2.984
c50,DLC1.2-a-s4,0.16,center,30,37800.0,1.4625,1.4026,0.004105619893112603,6.964889268497819e-05,7307.057346036004,430731.9017358961,7241.494460833845,3.092
c50,DLC1.2-a-s5,0.18,center,30,37800.0,1.6588,1.5854,0.0041841594402858,7.654673789307907e-05,7169.898859769752,391917.4196803027,7099.923881951847,3.336
c50,DLC1.2-a-s6,0.17,center,30,37800.0,1.5184,1.4435,0.004055677252046832,6.698564836740715e-05,7397.038308425432,447857.1265811162,7332.617394374731,2.933
c50,DLC1.2-b-s1,0.19,center,30,45700.0,1.6949,1.5431,0.003787354783133686,5.416150170976832e-05,7921.095782628997,553898.9698025552,7862.350687067315,2.287
c50,DLC1.2-b-s2,0.19,center,30,45700.0,1.6186,1.5101,0.003699124336747318,5.1304415424439466e-05,8110.027473793795,584744.9922547825,8051.902431124123,2.58
c50,DLC1.2-b-s3,0.19,center,30,45700.0,1.7578,1.6031,0.003668646343487138,5.2276645569253435e-05,8177.403104896796,573870.0269178046,8116.998709424103,2.374
c50,DLC1.2-b-s4,0.19,center,30,45700.0,1.5474,1.3995,0.0036803615801769317,5.052377723034451e-05,8151.372995953773,593779.8328740561,8093.616236095919,2.448
c50,DLC1.2-b-s5,0.19,center,30,45700.0,1.7635,1.6173,0.0038247426243399937,6.507404061949252e-05,7843.665037507424,461013.3275021144,7773.057708512824,2.513
c50,DLC1.2-b-s6,0.18,center,30,45700.0,1.4678,1.3288,0.003657185873977946,5.0577371715998904e-05,8203.02851256745,593150.6320347255,8144.425030018414,2.424
c50,DLC1.2-c-s1,0.18,center,30,45040.0,1.5255,1.3762,0.003281212490065995,0.00012621358299097377,9142.961661527934,237692.32509741417,8939.833404440718,2.642
c50,DLC1.2-c-s2,0.21,center,30,45040.0,1.8938,1.6966,0.0033383545559052884,0.00012298717660913372,8986.463090606223,243927.8697757505,8796.06151376023,2.596
c50,DLC1.2-c-s3,0.19,center,30,45040.0,1.4024,1.2369,0.0032124728208615698,9.629781014474671e-05,9338.600409373781,311533.5640021984,9180.967632875543,2.71
c50,DLC1.2-c-s4,0.21,center,30,45040.0,1.7736,1.5756,0.003086495230921185,0.00011472352611059395,9719.76230497732,261498.2385659928,9511.801640422367,2.735
c50,DLC1.2-c-s5,0.19,center,30,45040.0,1.8133,1.6014,0.0032441201377410027,0.00012983149135886097,9247.499699838514,231068.7467732959,9032.912479465956,2.668
c50,DLC1.2-c-s6,0.21,center,30,45040.0,1.9759,1.7696,0.003450422142041728,0.0001589048265694044,8694.588303983006,188792.2516116714,8459.296711635523,2.607
c50,DLC1.2-d-s1,0.19,center,30,38180.0,1.7467,1.5158,0.004948911081140584,0.00026105036330881226,6061.93958794787,114920.35337453711,5871.72898303338,2.697
c50,DLC1.2-d-s2,0.19,center,30,38180.0,1.5024,1.3544,0.0047233456274848925,0.0001946189478500689,6351.430186567679,154147.37532704926,6199.260335328388,2.728
c50,DLC1.2-d-s3,0.18,center,30,38180.0,1.523,1.3816,0.004591760736821014,0.00020684847775182314,6533.441466022404,145033.69967263675,6360.851774954895,2.735
c50,DLC1.2-d-s4,0.19,center,30,38180.0,1.8703,1.6814,0.004539636734373151,0.0002060582218155793,6608.458287608448,145589.91985697031,6432.432476292479,2.791
c50,DLC1.2-d-s5,0.2,center,30,38180.0,1.5874,1.3764,0.004872188539810107,0.0002624128535118367,6157.397185037763,114323.66821409069,5959.766332629723,2.619
c50,DLC1.2-d-s6,0.19,center,30,38180.0,1.4551,1.2735,0.00448108320870706,0.00020614907940472675,6694.809849035584,145525.75294843706,6513.848459558179,2.76
c50,DLC1.2-e-s1,0.22,center,30,28490.0,1.8683,1.5601,0.0035625033525450616,0.00018145114710930082,8421.04470682615,165333.757752046,8166.691845222446,2.686
c50,DLC1.2-e-s2,0.23,center,30,28490.0,2.1528,1.8328,0.0035050483148525383,0.0001806651657524102,8559.083158105379,166053.04002606147,8297.184648543902,2.709
