design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
c50,DLC1.2-a-s1,0.18,center,30,37800.0,1.6855,-4.9914,1.5973
c50,DLC1.2-a-s2,0.16,center,30,37800.0,1.5015,-2.7955,1.4452
c50,DLC1.2-a-s3,0.16,center,30,37800.0,1.5186,-3.664,1.4492
c50,DLC1.2-a-s4,0.16,center,30,37800.0,1.4625,-2.9614,1.4026
c50,DLC1.2-a-s5,0.18,center,30,37800.0,1.6588,-3.1975,1.5854
c50,DLC1.2-a-s6,0.17,center,30,37800.0,1.5184,-4.1736,1.4435
c50,DLC1.2-b-s1,0.19,center,30,45700.0,1.6949,-14.2273,1.5431
c50,DLC1.2-b-s2,0.19,center,30,45700.0,1.6186,-11.2063,1.5101
c50,DLC1.2-b-s3,0.19,center,30,45700.0,1.7578,-16.0459,1.6031
c50,DLC1.2-b-s4,0.19,center,30,45700.0,1.5474,-15.3222,1.3995
c50,DLC1.2-b-s5,0.19,center,30,45700.0,1.7635,-12.0596,1.6173
c50,DLC1.2-b-s6,0.18,center,30,45700.0,1.4678,-14.9075,1.3288
c50,DLC1.2-c-s1,0.18,center,30,45040.0,1.5255,-17.938,1.3762
c50,DLC1.2-c-s2,0.21,center,30,45040.0,1.8938,-21.1731,1.6966
c50,DLC1.2-c-s3,0.19,center,30,45040.0,1.4024,-23.8842,1.2369
c50,DLC1.2-c-s4,0.21,center,30,45040.0,1.7736,-20.2607,1.5756
c50,DLC1.2-c-s5,0.19,center,30,45040.0,1.8133,-22.2681,1.6014
c50,DLC1.2-c-s6,0.21,center,30,45040.0,1.9759,-18.3592,1.7696
c50,DLC1.2-d-s1,0.19,center,30,38180.0,1.7467,-24.438,1.5158
c50,DLC1.2-d-s2,0.19,center,30,38180.0,1.5024,-23.9383,1.3544
c50,DLC1.2-d-s3,0.18,center,30,38180.0,1.523,-20.7853,1.3816
c50,DLC1.2-d-s4,0.19,center,30,38180.0,1.8703,-25.2913,1.6814
c50,DLC1.2-d-s5,0.2,center,30,38180.0,1.5874,-22.5214,1.3764
c50,DLC1.2-d-s6,0.19,center,30,38180.0,1.4551,-24.137,1.2735
c50,DLC1.2-e-s1,0.22,center,30,28490.0,1.8683,-30.9985,1.5601
c50,DLC1.2-e-s2,0.23,center,30,28490.0,2.1528,-31.8323,1.8328
c50,DLC1.2-e-s3,0.2,center,30,28490.0,1.6808,-30.9089,1.4667
