design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
1,111,0.11729695085507894,0.004925501166668963,0.12023810783969838,255.76112406421524,6090.75076522386,249.50492434558305,1,1,289.5
2,111,0.08259550987952947,0.0035134178368852547,0.08469681443106646,363.2158702544098,8538.694055983919,354.2045849246972,1,1,251.0
3,111,0.07197138987692396,0.003641871412285649,0.07419655235890238,416.83230032519964,8237.523131321079,404.3314553873673,1,1,232.0
4,111,0.11517548327387535,0.0032617579066775986,0.11703061912337148,260.47210002725245,9197.494375221051,256.34317091302887,1,1,271.8
5,111,0.08417564112623434,0.0024272401685658178,0.08555923048456557,356.39764186661057,12359.716351318495,350.63428960375984,1,1,231.7
6,111,0.0641900795071443,0.0018816370034922586,0.06526484762613725,467.36193864132895,15943.564005342663,459.6655181339243,1,1,204.2
7,111,0.05585855406227401,0.002396308879072999,0.05729323546265134,537.0708301284427,12519.254200487443,523.6220254929848,1,1,206.9
8,111,0.0637875070883702,0.0041751773664699945,0.06642025423508643,470.31152915943994,7185.323488511874,451.669454528413,1,1,218.7
9,111,0.04150488458124708,0.0018076360280691493,0.04258914040368888,722.8064913967918,16596.261379037074,704.4049190859353,1,1,181.4
10,111,0.04892877707009188,0.0032443202659537757,0.050977789003905545,613.1361091863002,9246.929261214753,588.4915879286491,1,1,193.7
11,111,0.05684315193274991,0.0019338939837471902,0.05796831527421942,527.7680596510984,15512.74281430402,517.5240967084319,1,1,208.3
12,111,0.042121035791109374,0.0014575521002838671,0.04297083848594264,712.2331974165792,20582.45464718367,698.1478848688074,1,1,184.2
base,111,6.92487446237377,1.1421460279108258,7.729678949187477,4.332208498941703,26.266343590823467,3.881144378338446,0,0,258.3
