design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
1,DLC1.2-a-s1,0.2,center,30,37800.0,1.6822,-3.3358,1.5091
1,DLC1.2-a-s2,0.18,center,30,37800.0,1.6774,-1.9206,1.5533
1,DLC1.2-a-s3,0.18,center,30,37800.0,1.7349,-1.7249,1.6105
1,DLC1.2-a-s4,0.18,center,30,37800.0,1.6862,-1.5129,1.5721
1,DLC1.2-a-s5,0.19,center,30,37800.0,1.5015,-2.0479,1.3618
1,DLC1.2-a-s6,0.19,center,30,37800.0,1.6141,-2.4148,1.4738
1,DLC1.2-b-s1,0.22,center,30,45700.0,1.7758,-9.129,1.5299
1,DLC1.2-b-s2,0.22,center,30,45700.0,1.8853,-6.9037,1.6995
1,DLC1.2-b-s3,0.22,center,30,45700.0,1.873,-10.3938,1.6102
1,DLC1.2-b-s4,0.22,center,30,45700.0,1.5506,-10.0827,1.3048
1,DLC1.2-b-s5,0.21,center,30,45700.0,1.5506,-8.6435,1.3082
1,DLC1.2-b-s6,0.21,center,30,45700.0,1.536,-9.3204,1.3113
1,DLC1.2-c-s1,0.23,center,30,45040.0,1.5752,-20.4191,1.2519
1,DLC1.2-c-s2,0.26,center,30,45040.0,1.9571,-24.6721,1.516
1,DLC1.2-c-s3,0.25,center,30,45040.0,1.7854,-24.4994,1.4008
1,DLC1.2-c-s4,0.26,center,30,45040.0,1.847,-22.2941,1.472
1,DLC1.2-c-s5,0.25,center,30,45040.0,1.9191,-24.271,1.4741
1,DLC1.2-c-s6,0.26,center,30,45040.0,2.0422,-21.2997,1.5561
1,DLC1.2-d-s1,0.29,center,30,38180.0,2.1728,-19.9078,1.2662
1,DLC1.2-d-s2,0.29,center,30,38180.0,2.2492,-21.28,1.6147
1,DLC1.2-d-s3,0.28,center,30,38180.0,2.1837,-14.9662,1.679
1,DLC1.2-d-s4,0.29,center,30,38180.0,1.9896,-18.105,1.2564
1,DLC1.2-d-s5,0.3,center,30,38180.0,2.0381,-15.6727,1.3066
1,DLC1.2-d-s6,0.29,center,30,38180.0,1.8657,-19.681,1.1865
1,DLC1.2-e-s1,0.34,center,30,28490.0,2.7539,-22.8654,1.619
1,DLC1.2-e-s2,0.35,center,30,28490.0,2.3818,-25.4979,1.208
1,DLC1.2-e-s3,0.32,center,30,28490.0,2.7147,-26.9864,1.8646
1,DLC1.2-e-s4,0.37,center,30,28490.0,2.8411,-26.5114,1.5554
1,DLC1.2-e-s5,0.31,center,30,28490.0,2.5242,-13.5421,1.7636
1,DLC1.2-e-s6,0.34,center,30,28490.0,2.8478,-22.6297,1.9558
1,DLC1.2-f-s1,0.4,center,30,18970.0,2.8977,-34.3197,1.6037
1,DLC1.2-f-s2,0.37,center,30,18970.0,2.0442,-30.3584,1.2023
1,DLC1.2-f-s3,0.39,center,30,18970.0,2.4033,-21.2938,1.1633
1,DLC1.2-f-s4,0.38,center,30,18970.0,2.5611,-24.7842,1.4124
1,DLC1.2-f-s5,0.37,center,30,18970.0,2.3003,-22.084,1.2685
1,DLC1.2-f-s6,0.42,center,30,18970.0,2.7847,-37.4928,0.9609
1,DLC1.2-g-s1,0.42,center,30,11340.0,2.6702,-36.3677,0.7748
1,DLC1.2-g-s2,0.4,center,30,11340.0,2.0873,-31.1008,0.3481
1,DLC1.2-g-s3,0.44,min_pos,30,11340.0,3.0672,-44.4474,0.7198
1,DLC1.2-g-s4,0.43,center,30,11340.0,2.7474,-38.2414,0.8059
