rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
A1,3900.0,23.0,230.0,475.0,1.0,5.0,49,1128.978,618.573,819.691,5.639382,-0.180309,5.819691,0.942341,0.636712,59773.3,8331.5,
A2,4500.0,27.0,200.0,475.0,1.0,3.0,65,1447.132,618.573,1137.846,4.275691,0.137846,4.137846,0.785044,0.764288,58043.8,9049.9,
A3,3900.0,27.0,200.0,475.0,1.0,5.0,56,1294.595,618.573,985.308,5.970616,-0.014692,5.985308,0.785044,0.764288,53499.8,8087.2,
A4,3900.0,27.0,230.0,475.0,1.0,5.0,49,1295.378,618.573,986.091,5.972183,-0.013909,5.986091,0.785044,0.764288,57892.5,8079.3,
A5,3900.0,27.0,230.0,550.0,1.0,4.0,49,1345.788,716.243,987.667,4.975334,-0.012333,4.987667,0.785044,0.764288,64884.7,9355.0,
A6,3900.0,31.0,200.0,475.0,1.0,5.0,56,1473.15,618.573,1163.864,6.327727,0.163864,6.163864,0.665712,0.901291,51492.2,7794.2,
A7,4500.0,31.0,200.0,475.0,1.0,3.0,65,1653.03,618.573,1343.743,4.687487,0.343743,4.343743,0.665712,0.901291,55857.9,8719.9,
A8,3900.0,31.0,230.0,475.0,1.0,5.0,49,1474.077,618.573,1164.79,6.32958,0.16479,6.16479,0.665712,0.901291,55730.4,7788.9,
A9,4200.0,27.0,200.0,475.0,1.0,4.0,60,1370.853,618.573,1061.566,5.123132,0.061566,5.061566,0.785044,0.764288,55468.8,8503.4,
A10,4500.0,31.0,230.0,475.0,1.0,3.0,56,1653.84,618.573,1344.554,4.689107,0.344554,4.344554,0.665712,0.901291,59790.2,8588.0,
A11,4200.0,27.0,230.0,475.0,1.0,4.0,52,1371.584,618.573,1062.297,5.124594,0.062297,5.062297,0.785044,0.764288,59614.2,8418.7,
A12,3900.0,31.0,230.0,550.0,1.0,4.0,49,1524.487,716.243,1166.365,5.33273,0.166365,5.166365,0.665712,0.901291,62461.5,9018.7,
B1,3900.0,27.0,230.0,475.0,1.5,5.5,49,1295.378,618.573,986.091,5.972183,-0.513909,6.486091,0.785044,0.764288,57892.5,8079.3,
B2,3900.0,31.0,230.0,475.0,1.5,5.5,49,1474.077,618.573,1164.79,6.32958,-0.33521,6.66479,0.665712,0.901291,55730.4,7788.9,
B3,3900.0,31.0,230.0,550.0,1.5,4.5,49,1524.487,716.243,1166.365,5.33273,-0.333635,5.666365,0.665712,0.901291,62461.5,9018.7,
B4,3900.0,19.0,230.0,550.0,1.5,5.0,49,1022.583,716.243,664.461,4.828922,-0.835539,5.664461,1.161684,0.516491,68776.8,9893.7,
B5,4200.0,27.0,200.0,475.0,1.5,4.5,60,1370.853,618.573,1061.566,5.123132,-0.438434,5.561566,0.785044,0.764288,55468.8,8503.4,
B6,3900.0,15.0,230.0,475.0,1.5,6.0,49,822.742,618.573,513.456,5.526911,-0.986544,6.513456,1.49282,0.401924,62661.7,8717.8,
B7,4200.0,27.0,230.0,475.0,1.5,4.5,52,1371.584,618.573,1062.297,5.124594,-0.437703,5.562297,0.785044,0.764288,59614.2,8418.7,
B8,4500.0,31.0,200.0,475.0,1.5,3.5,65,1653.03,618.573,1343.743,4.687487,-0.156257,4.843743,0.665712,0.901291,55857.9,8719.9,
B9,3900.0,19.0,200.0,475.0,1.5,6.0,56,971.645,618.573,662.358,5.824717,-0.837642,6.662358,1.161684,0.516491,56726.7,8556.9,
B10,4500.0,31.0,230.0,475.0,1.5,3.5,56,1653.84,618.573,1344.554,4.689107,-0.155446,4.844554,0.665712,0.901291,59790.2,8588.0,
B11,4200.0,31.0,200.0,475.0,1.5,4.5,60,1563.077,618.573,1253.791,5.507581,-0.246209,5.753791,0.665712,0.901291,53383.2,8194.2,
B12,3900.0,19.0,230.0,475.0,1.5,6.0,49,972.173,618.573,662.886,5.825772,-0.837114,6.662886,1.161684,0.516491,61365.1,8544.5,
