rank_mass,set,rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa
A1,A,1,1.0,5.0,3900.0,23.0,230.0,475.0,2.065,49,3315.0,4471.0,618.5735,598.61875,504.83475,5.63938,27648.2,79982.6,135279.0,2095.5
A2,A,2,1.0,3.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,598.61875,504.83475,4.27569,32329.2,71135.2,135793.5,2099.2
A3,A,3,1.0,5.0,3900.0,27.0,200.0,475.0,2.375,56,3319.0,4468.0,618.5735,598.61875,504.83475,5.97062,27970.9,80175.7,136117.5,2098.6
A4,A,4,1.0,5.0,3900.0,27.0,230.0,475.0,2.065,49,3292.0,4494.0,618.5735,598.61875,504.83475,5.97218,28835.5,78876.6,136547.5,2082.9
A5,A,5,1.0,4.0,3900.0,27.0,230.0,550.0,2.391,49,3228.0,4556.0,716.243,693.1375,584.5455000000001,4.97533,37475.5,62050.5,137001.4,2090.4
A6,A,6,1.0,5.0,3900.0,31.0,200.0,475.0,2.375,56,3297.0,4490.0,618.5735,598.61875,504.83475,6.32773,29105.0,79116.4,137326.3,2091.3
A7,A,7,1.0,3.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,4.68749,33637.1,70338.8,137613.0,2058.4
A8,A,8,1.0,5.0,3900.0,31.0,230.0,475.0,2.065,49,3271.0,4516.0,618.5735,598.61875,504.83475,6.32958,29913.2,77873.5,137699.9,2075.6
A9,A,9,1.0,4.0,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,598.61875,504.83475,5.12313,30102.6,77993.0,138198.2,2078.0
A10,A,10,1.0,3.0,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,598.61875,504.83475,4.68911,34464.8,69403.3,138332.9,2070.1
A11,A,11,1.0,4.0,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,598.61875,504.83475,5.12459,30966.4,76833.6,138766.3,2080.0
A12,A,12,1.0,4.0,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,693.1375,584.5455000000001,5.33273,39005.9,61093.1,139104.9,2069.4
B1,B,1,1.5,5.5,3900.0,27.0,230.0,475.0,2.065,49,3292.0,4494.0,618.5735,598.61875,504.83475,5.97218,28835.5,86047.2,143718.1,2095.4
B2,B,2,1.5,5.5,3900.0,31.0,230.0,475.0,2.065,49,3271.0,4516.0,618.5735,598.61875,504.83475,6.32958,29913.2,84952.9,144779.3,2088.0
B3,B,3,1.5,4.5,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,693.1375,584.5455000000001,5.33273,39005.9,67881.2,145893.0,2082.0
B4,B,4,1.5,5.0,3900.0,19.0,230.0,550.0,2.391,49,3286.0,4498.0,716.243,693.1375,584.5455000000001,4.82892,33862.9,78589.3,146315.2,2098.2
B5,B,5,1.5,4.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,598.61875,504.83475,5.12313,30102.6,86658.9,146864.1,2090.2
B6,B,6,1.5,6.0,3900.0,15.0,230.0,475.0,2.065,49,3368.0,4419.0,618.5735,598.61875,504.83475,5.52691,24828.2,97571.6,147228.1,2093.9
B7,B,7,1.5,4.5,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,598.61875,504.83475,5.12459,30966.4,85370.6,147303.4,2092.1
B8,B,8,1.5,3.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,4.68749,33637.1,80387.1,147661.4,2070.4
B9,B,9,1.5,6.0,3900.0,19.0,200.0,475.0,2.375,56,3369.0,4418.0,618.5735,598.61875,504.83475,5.82472,25286.6,97629.5,148202.7,2092.9
B10,B,10,1.5,3.5,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,598.61875,504.83475,4.68911,34464.8,79318.1,148247.6,2081.9
B11,B,11,1.5,4.5,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,598.61875,504.83475,5.50758,31323.7,85608.5,148255.8,2068.4
B12,B,12,1.5,6.0,3900.0,19.0,230.0,475.0,2.065,49,3340.0,4446.0,618.5735,598.61875,504.83475,5.82577,26319.6,95956.0,148595.2,2075.6
