design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
C1,DLC1.2-a-s1,0.17,center,30,37800.0,1.4387,1.3611,0.009458938938745555,0.00013832966218920082,3171.6030935684,216873.225346039,3147.4867792308246,5.123
C1,DLC1.2-a-s2,0.16,center,30,37800.0,1.5226,1.4661,0.00948922586665583,0.00013972043516296986,3161.4802325885125,214714.47583889938,3137.257597120221,3.083
C1,DLC1.2-a-s3,0.16,center,30,37800.0,1.5418,1.4838,0.009548998239845712,0.00014401969535250014,3141.690808447015,208304.8427964836,3116.965778142341,3.107
C1,DLC1.2-a-s4,0.16,center,30,37800.0,1.4792,1.4248,0.009682038495256385,0.00014727963530203862,3098.5210412763995,203694.1491501965,3073.9021457138097,3.033
C1,DLC1.2-a-s5,0.18,center,30,37800.0,1.6785,1.6189,0.009847808304888114,0.00015869900028524553,3046.36311666516,189037.10764452207,3020.5499606932754,3.267
C1,DLC1.2-a-s6,0.17,center,30,37800.0,1.5464,1.4835,0.009578247179382786,0.00014144806254688506,3132.097077696545,212091.98245508704,3108.02040734282,3.566
C1,DLC1.2-b-s1,0.19,center,30,45700.0,1.7902,1.6576,0.00974795266485916,8.411611621386284e-05,3077.569314441623,356649.84726263216,3064.595508110738,3.35
C1,DLC1.2-b-s2,0.19,center,30,45700.0,1.7538,1.6557,0.009532328497387063,8.112857074989739e-05,3147.184867603272,369783.41566602717,3134.120995349521,3.139
C1,DLC1.2-b-s3,0.18,center,30,45700.0,1.5027,1.3672,0.009526869260088814,7.916594556379938e-05,3148.9883172512777,378950.820158185,3136.262472886463,3.308
C1,DLC1.2-b-s4,0.19,center,30,45700.0,1.6888,1.5593,0.00952433502343869,7.799914767408284e-05,3149.8262005874635,384619.58745182864,3137.303215669373,3.086
C1,DLC1.2-b-s5,0.18,center,30,45700.0,1.5304,1.4016,0.009895549818537677,9.126963015048623e-05,3031.6658043396396,328696.41249269573,3017.8960798808635,2.986
C1,DLC1.2-b-s6,0.18,center,30,45700.0,1.5739,1.4556,0.0095348670452944,7.744181653563451e-05,3146.3469660864803,387387.607135941,3133.9532572975995,3.159
C1,DLC1.2-c-s1,0.2,center,30,45040.0,1.6652,1.4985,0.007980466836566823,0.00013032752252478038,3759.178581200135,230189.29094041378,3726.849869474728,2.577
C1,DLC1.2-c-s2,0.21,center,30,45040.0,1.5414,1.3044,0.008038879499964069,0.00012186408132010488,3731.8633772448125,246175.90084807592,3702.3260381791924,2.635
C1,DLC1.2-c-s3,0.2,center,30,45040.0,1.4371,1.2459,0.007700260702352942,9.690438976322058e-05,3895.9719884331976,309583.49847001774,3870.922180160298,2.678
C1,DLC1.2-c-s4,0.23,center,30,45040.0,1.451,1.2411,0.00785095642364628,0.00010554636070602246,3821.1904870141757,284235.28579596215,3794.740432866233,2.425
C1,DLC1.2-c-s5,0.21,center,30,45040.0,1.9514,1.7146,0.0079922370838884,0.0001341556102254234,3753.642401384361,223620.91268185218,3720.3574413141123,2.628
C1,DLC1.2-c-s6,0.22,center,30,45040.0,1.9017,1.6584,0.00830175703379601,0.0001730081732824922,3613.692845727911,173402.2123395016,3572.9246554963697,2.661
C1,DLC1.2-d-s1,0.2,center,30,38180.0,1.9536,1.6387,0.008215362785722668,0.0003576453494676521,3651.6950964279345,83881.97985701308,3558.7719594698747,2.895
C1,DLC1.2-d-s2,0.2,center,30,38180.0,1.5981,1.3944,0.00804811232796355,0.0002515670806132443,3727.5821680275967,119252.48695842514,3661.684137735115,2.863
C1,DLC1.2-d-s3,0.19,center,30,38180.0,1.6224,1.4318,0.007673395195698378,0.00027674594280465515,3909.6122687409184,108402.6732098324,3828.6917822859837,3.153
C1,DLC1.2-d-s4,0.2,center,30,38180.0,1.857,1.5996,0.0077629742859626275,0.0002822916325978196,3864.498180065777,106273.0755563731,3783.783545658077,2.982
C1,DLC1.2-d-s5,0.21,center,30,38180.0,1.7724,1.4863,0.008116836563429578,0.00036251922183660394,3696.0211981062985,82754.2325838979,3599.2982746092066,3.045
C1,DLC1.2-d-s6,0.2,center,30,38180.0,1.5421,1.2949,0.007722784971279174,0.00027180627498436815,3884.6089994178496,110372.72778829455,3806.3387605142193,2.983
C1,DLC1.2-e-s1,0.23,center,30,28490.0,1.8553,1.4347,0.006058563646114836,0.00024914271254730566,4951.6687043864,120412.91392098731,4833.291204118463,2.812
C1,DLC1.2-e-s2,0.24,center,30,28490.0,2.1827,1.7442,0.0059485960753822035,0.00024700444572275774,5043.206770107091,121455.30381939985,4921.352225300704,2.953
C1,DLC1.2-e-s3,0.21,center,30,28490.0,1.8219,1.5223,0.004989401149870095,0.00015006464978163436,6012.745637977232,199913.83742709766,5910.876444140373,2.895
C1,DLC1.2-e-s4,0.24,center,30,28490.0,2.1797,1.7525,0.00555118566049089,0.00021383068705871662,5404.250881666081,140297.9170700704,5283.999025760632,2.934
C1,DLC1.2-e-s5,0.21,center,30,28490.0,1.6354,1.3373,0.00560736642178083,0.0002651114012875078,5350.105155152742,113159.97672791759,5201.108653253609,2.974
C1,DLC1.2-e-s6,0.22,center,30,28490.0,1.8312,1.472,0.005566594771127441,0.00020022079382216884,5389.291161555827,149834.5872439466,5278.075862876988,2.893
C1,DLC1.2-f-s1,0.29,center,30,18970.0,2.0934,1.5762,0.002863662920851725,8.384628885199057e-05,10476.09332144345,357797.5890257638,10303.797191978354,2.687
C1,DLC1.2-f-s2,0.28,center,30,18970.0,1.4185,1.0606,0.0026329852503868692,6.0537795391016376e-05,11393.911149176414,495558.18486994173,11250.54324435713,2.735
C1,DLC1.2-f-s3,0.29,center,30,18970.0,2.3417,1.7004,0.003083517754928602,0.00013831885983393014,9729.14780595925,216890.1625997996,9473.325981469721,2.862
C1,DLC1.2-f-s4,0.28,center,30,18970.0,1.8043,1.268,0.0029412700968280653,9.913672490026253e-05,10199.675314535956,302612.37730197154,10003.72631356316,2.672
C1,DLC1.2-f-s5,0.27,center,30,18970.0,1.8748,1.3874,0.0029566403876744736,0.00010568097906106839,10146.651626982713,283873.2217144234,9938.700601494123,2.804
C1,DLC1.2-f-s6,0.32,center,30,18970.0,2.6503,1.9642,0.002962974872251015,9.855850466704912e-05,10124.959303893307,304387.7349940136,9933.25565284067,2.799
C1,DLC1.2-g-s1,0.36,center,30,11340.0,2.6164,1.9542,0.0014914087328501708,4.512965687101386e-05,20115.210095805338,664751.3426867771,19772.12180623384,2.564
