design,DLC,k,eps_UW,eps_DW,eps_Sys
C1,DLC1.2-a-s1,0.0,-3.3582,-10.6089,-3.4918
C1,DLC1.2-a-s1,0.01,-3.0824,-10.1661,-3.2129
C1,DLC1.2-a-s1,0.02,-2.8057,-9.721,-2.9331
C1,DLC1.2-a-s1,0.03,-2.5283,-9.2737,-2.6526
C1,DLC1.2-a-s1,0.04,-2.2501,-8.8241,-2.3712
C1,DLC1.2-a-s1,0.05,-1.9711,-8.3722,-2.0891
C1,DLC1.2-a-s1,0.06,-1.6913,-7.918,-1.8061
C1,DLC1.2-a-s1,0.07,-1.4107,-7.4615,-1.5223
C1,DLC1.2-a-s1,0.08,-1.1294,-7.0028,-1.2377
C1,DLC1.2-a-s1,0.09,-0.8472,-6.5417,-0.9522
C1,DLC1.2-a-s1,0.1,-0.5643,-6.0782,-0.666
C1,DLC1.2-a-s1,0.11,-0.2805,-5.6124,-0.3789
C1,DLC1.2-a-s1,0.12,0.004,-5.1443,-0.091
C1,DLC1.2-a-s1,0.13,0.2894,-4.6738,0.1978
C1,DLC1.2-a-s1,0.14,0.5755,-4.2009,0.4874
C1,DLC1.2-a-s1,0.15,0.8624,-3.7257,0.7778
C1,DLC1.2-a-s1,0.16,1.1502,-3.248,1.069
C1,DLC1.2-a-s1,0.17,1.4387,-2.768,1.3611
C1,DLC1.2-a-s1,0.18,1.7281,-2.2855,1.654
C1,DLC1.2-a-s1,0.19,2.0183,-1.8006,1.9478
C1,DLC1.2-a-s1,0.2,2.3093,-1.3133,2.2424
C1,DLC1.2-a-s1,0.21,2.6011,-0.8235,2.5378
C1,DLC1.2-a-s1,0.22,2.8937,-0.3313,2.8341
C1,DLC1.2-a-s1,0.23,3.1871,0.1634,3.1313
C1,DLC1.2-a-s1,0.24,3.4814,0.6606,3.4293
C1,DLC1.2-a-s1,0.25,3.7765,1.1603,3.7281
C1,DLC1.2-a-s1,0.26,4.0724,1.6624,4.0278
C1,DLC1.2-a-s1,0.27,4.3691,2.1671,4.3284
C1,DLC1.2-a-s1,0.28,4.6666,2.6743,4.6298
C1,DLC1.2-a-s1,0.29,4.965,3.1841,4.9321
C1,DLC1.2-a-s1,0.3,5.2642,3.6963,5.2352
C1,DLC1.2-a-s1,0.31,5.5643,4.2112,5.5392
C1,DLC1.2-a-s1,0.32,5.8652,4.7286,5.8441
C1,DLC1.2-a-s1,0.33,6.1669,5.2486,6.1499
C1,DLC1.2-a-s1,0.34,6.4694,5.7712,6.4565
C1,DLC1.2-a-s1,0.35,6.7728,6.2963,6.764
C1,DLC1.2-a-s1,0.36,7.0771,6.8241,7.0724
C1,DLC1.2-a-s1,0.37,7.3822,7.3545,7.3816
C1,DLC1.2-a-s1,0.38,7.6881,7.8876,7.6918
C1,DLC1.2-a-s1,0.39,7.9949,8.4232,8.0028
C1,DLC1.2-a-s1,0.4,8.3025,8.9616,8.3147
C1,DLC1.2-a-s1,0.41,8.611,9.5026,8.6275
C1,DLC1.2-a-s1,0.42,8.9203,10.0463,8.9412
C1,DLC1.2-a-s1,0.43,9.2305,10.5927,9.2557
C1,DLC1.2-a-s1,0.44,9.5416,11.1417,9.5712
C1,DLC1.2-a-s1,0.45,9.8535,11.6935,9.8876
C1,DLC1.2-a-s1,0.46,10.1662,12.248,10.2048
C1,DLC1.2-a-s1,0.47,10.4799,12.8053,10.523
C1,DLC1.2-a-s1,0.48,10.7944,13.3653,10.842
C1,DLC1.2-a-s1,0.49,11.1098,13.9281,11.162
C1,DLC1.2-a-s1,0.5,11.426,14.4936,11.4829
C1,DLC1.2-a-s1,0.51,11.7431,15.0619,11.8046
C1,DLC1.2-a-s1,0.52,12.0611,15.633,12.1273
C1,DLC1.2-a-s1,0.53,12.3799,16.2069,12.4509
C1,DLC1.2-a-s1,0.54,12.6997,16.7837,12.7754
C1,DLC1.2-a-s1,0.55,13.0203,17.3632,13.1009
C1,DLC1.2-a-s1,0.56,13.3418,17.9456,13.4272
C1,DLC1.2-a-s1,0.57,13.6642,18.5309,13.7545
C1,DLC1.2-a-s1,0.58,13.9874,19.119,14.0827
C1,DLC1.2-a-s1,0.59,14.3116,19.71,14.4118
C1,DLC1.2-a-s1,0.6,14.6366,20.3039,14.7419
C1,DLC1.2-a-s1,0.61,14.9626,20.9007,15.0728
C1,DLC1.2-a-s1,0.62,15.2894,21.5004,15.4047
C1,DLC1.2-a-s1,0.63,15.6171,22.1031,15.7376
C1,DLC1.2-a-s1,0.64,15.9458,22.7086,16.0714
C1,DLC1.2-a-s1,0.65,16.2753,23.3172,16.4061
C1,DLC1.2-a-s1,0.66,16.6057,23.9287,16.7417
C1,DLC1.2-a-s1,0.67,16.937,24.5431,17.0783
C1,DLC1.2-a-s1,0.68,17.2692,25.1606,17.4159
C1,DLC1.2-a-s1,0.69,17.6024,25.781,17.7544
C1,DLC1.2-a-s1,0.7,17.9364,26.4045,18.0938
C1,DLC1.2-a-s1,0.71,18.2714,27.031,18.4342
C1,DLC1.2-a-s1,0.72,18.6072,27.6605,18.7756
C1,DLC1.2-a-s1,0.73,18.944,28.2931,19.1179
C1,DLC1.2-a-s1,0.74,19.2817,28.9287,19.4611
C1,DLC1.2-a-s1,0.75,19.6204,29.5674,19.8054
C1,DLC1.2-a-s1,0.76,19.9599,30.2092,20.1506
C1,DLC1.2-a-s1,0.77,20.3004,30.8541,20.4967
C1,DLC1.2-a-s1,0.78,20.6418,31.5021,20.8438
C1,DLC1.2-a-s1,0.79,20.9841,32.1533,21.1919
C1,DLC1.2-a-s1,0.8,21.3273,32.8076,21.541
C1,DLC1.2-a-s1,0.81,21.6715,33.465,21.891
C1,DLC1.2-a-s1,0.82,22.0166,34.1256,22.242
C1,DLC1.2-a-s1,0.83,22.3627,34.7893,22.594
C1,DLC1.2-a-s1,0.84,22.7096,35.4563,22.947
C1,DLC1.2-a-s1,0.85,23.0576,36.1265,23.301
C1,DLC1.2-a-s1,0.86,23.4064,36.7998,23.6559
C1,DLC1.2-a-s1,0.87,23.7562,37.4764,24.0118
C1,DLC1.2-a-s1,0.88,24.107,38.1563,24.3688
C1,DLC1.2-a-s1,0.89,24.4587,38.8394,24.7267
C1,DLC1.2-a-s1,0.9,24.8114,39.5258,25.0856
C1,DLC1.2-a-s1,0.91,25.165,40.2154,25.4455
C1,DLC1.2-a-s1,0.92,25.5195,40.9083,25.8064
C1,DLC1.2-a-s1,0.93,25.875,41.6046,26.1683
C1,DLC1.2-a-s1,0.94,26.2315,42.3042,26.5312
C1,DLC1.2-a-s1,0.95,26.5889,43.0071,26.8951
C1,DLC1.2-a-s1,0.96,26.9473,43.7133,27.2601
C1,DLC1.2-a-s1,0.97,27.3067,44.423,27.626
C1,DLC1.2-a-s1,0.98,27.667,45.1359,27.9929
