design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
a01,DLC1.2-a-s1,0.18,center,30,37800.0,1.6989,1.5941,0.009002281370758617,0.00011970039279935588,3332.4885953294656,250625.74397969255,3309.7029722100633,5.164
a01,DLC1.2-a-s2,0.16,center,30,37800.0,1.5064,1.4278,0.009009116468609397,0.00012061574772576742,3329.9602801816873,248723.74101769988,3307.016866747891,3.198
a01,DLC1.2-a-s3,0.16,center,30,37800.0,1.5262,1.4497,0.00906932024892393,0.00012476919006381267,3307.8554044399834,240443.97486796722,3284.3615692192598,3.198
a01,DLC1.2-a-s4,0.16,center,30,37800.0,1.4664,1.3961,0.009197702232834597,0.0001276717971344558,3261.684194657217,234977.50226235096,3238.28588017555,3.146
a01,DLC1.2-a-s5,0.18,center,30,37800.0,1.6611,1.5762,0.00935990023304749,0.0001394999744835769,3205.1623685130135,215053.8027770883,3180.2700511295643,3.296
a01,DLC1.2-a-s6,0.17,center,30,37800.0,1.5251,1.4489,0.00909394385588246,0.00012224766813951826,3298.8987479391967,245403.4539600521,3276.065867498238,3.171
a01,DLC1.2-b-s1,0.19,center,30,45700.0,1.6114,1.4504,0.008797928135671557,8.26210412323777e-05,3409.8937314984173,363103.63017119106,3394.090578349635,2.84
a01,DLC1.2-b-s2,0.19,center,30,45700.0,1.5847,1.4668,0.008555571068156286,7.944360879910076e-05,3506.4871486673255,377626.3497277024,3490.440317003862,2.807
a01,DLC1.2-b-s3,0.19,center,30,45700.0,1.7528,1.5893,0.008506144396529325,8.06912835410194e-05,3526.862301119717,371787.3688891007,3510.3313225409993,3.168
a01,DLC1.2-b-s4,0.2,center,30,45700.0,1.8423,1.6892,0.00858008937891655,7.776795234163115e-05,3496.4670733754347,385763.0180130157,3480.8934595370647,2.829
a01,DLC1.2-b-s5,0.19,center,30,45700.0,1.8171,1.6627,0.008828665284549213,0.00010121252224990754,3398.022128271429,296406.0111645662,3378.336507664379,2.853
a01,DLC1.2-b-s6,0.19,center,30,45700.0,1.7356,1.5921,0.008529228052010484,7.801550394249916e-05,3517.317137853817,384538.95038749365,3501.4897983151805,2.658
a01,DLC1.2-c-s1,0.18,center,30,45040.0,1.6501,1.5038,0.007477743544321598,0.00020557379377395557,4011.9054394130985,145932.99782649992,3950.3649719104956,2.636
a01,DLC1.2-c-s2,0.2,center,30,45040.0,1.7624,1.5653,0.007572438503980129,0.00019596155892815309,3961.7357056424794,153091.24995785084,3904.90065311604,2.785
a01,DLC1.2-c-s3,0.19,center,30,45040.0,1.737,1.5736,0.007393289106890217,0.0001534117942704625,4057.733921434417,195552.10955365328,4012.175465413456,2.866
a01,DLC1.2-c-s4,0.2,center,30,45040.0,1.5517,1.3541,0.00700743719758431,0.0001815882233319363,4281.165732079907,165208.95160233576,4219.65510818468,2.832
a01,DLC1.2-c-s5,0.18,center,30,45040.0,1.4703,1.2603,0.007355056632434372,0.00021017297471718482,4078.826513409268,142739.56982513532,4013.5249144094623,2.78
a01,DLC1.2-c-s6,0.2,center,30,45040.0,1.8642,1.6558,0.0077948946480360035,0.00026135897633953255,3848.6729269084835,114784.65526673502,3775.160094957742,2.707
a01,DLC1.2-d-s1,0.19,center,30,38180.0,1.9675,1.7502,0.011102403250328961,0.0004590292961536998,2702.1176698037075,65355.305753632994,2637.1357245441227,2.78
a01,DLC1.2-d-s2,0.19,center,30,38180.0,1.7028,1.5621,0.010658339514101141,0.00033648447289374815,2814.697351337847,89157.1600377326,2764.388958662775,2.933
a01,DLC1.2-d-s3,0.18,center,30,38180.0,1.7062,1.5716,0.01032930771048789,0.000360326067200437,2904.357275516095,83257.92311693073,2846.407982391826,2.822
a01,DLC1.2-d-s4,0.18,center,30,38180.0,1.5412,1.3579,0.010190083643746874,0.00035914033233755643,2944.03864078284,83532.80681325139,2884.629347007027,2.8
a01,DLC1.2-d-s5,0.2,center,30,38180.0,1.8335,1.634,0.010937954959333298,0.00046329328544937983,2742.743054943846,64753.7983869137,2675.013744227363,2.838
a01,DLC1.2-d-s6,0.19,center,30,38180.0,1.689,1.5169,0.010096770640425815,0.0003594830498327983,2971.2470519915464,83453.1698057906,2910.61483287701,2.982
a01,DLC1.2-e-s1,0.21,center,30,28490.0,1.5034,1.2083,0.007984301267421692,0.00031679729594863627,3757.3732497305514,94697.7779913375,3671.0036138020387,2.775
a01,DLC1.2-e-s2,0.22,center,30,28490.0,1.7634,1.4559,0.007849417977368005,0.00031456955521383406,3821.93942104983,95368.41535604736,3733.118059420414,2.953
a01,DLC1.2-e-s3,0.2,center,30,28490.0,1.9836,1.7769,0.006466734216427678,0.00020005415741966651,4639.126798158786,149959.39293112047,4558.046281064568,3.018
a01,DLC1.2-e-s4,0.22,center,30,28490.0,1.7366,1.4421,0.007510876839732153,0.00026805899016461073,3994.20741947219,111915.66446466683,3912.4844521293194,2.833
a01,DLC1.2-e-s5,0.2,center,30,28490.0,1.6586,1.4514,0.007417829170926584,0.0003351746620063687,4044.30990640522,89505.57246904889,3937.1180077701133,3.085
a01,DLC1.2-e-s6,0.2,center,30,28490.0,1.4678,1.213,0.007339353730708277,0.0002586896719667219,4087.553359702269,115969.06738456583,4005.061200109877,3.002
a01,DLC1.2-f-s1,0.26,center,30,18970.0,2.0779,1.6842,0.003229027263746132,0.0001106657634863593,9290.723660597318,271086.5497593374,9108.927084114874,2.938
a01,DLC1.2-f-s2,0.26,center,30,18970.0,1.9346,1.6604,0.003048001645937937,8.330806547158448e-05,9842.514370023688,360109.1902708111,9692.50399826294,2.978
a01,DLC1.2-f-s3,0.25,center,30,18970.0,1.8657,1.3548,0.0034751364772509404,0.00017159932073103503,8632.754482129565,174825.86686355266,8380.665427099148,2.996
a01,DLC1.2-f-s4,0.26,center,30,18970.0,2.0662,1.6572,0.0033214076187138746,0.00013044771104195433,9032.315043468434,229977.20512206966,8827.003810367203,2.935
a01,DLC1.2-f-s5,0.25,center,30,18970.0,1.9216,1.5555,0.0033987351349000863,0.00013969859019513726,8826.813155265752,214748.05120148067,8615.902730214551,3.013
a01,DLC1.2-f-s6,0.28,center,30,18970.0,2.0069,1.4892,0.0033394613406025567,0.00012343511256666015,8983.48474205931,243042.6754283449,8792.453457039896,2.839
a01,DLC1.2-g-s1,0.3,center,30,11340.0,2.4432,1.8422,0.0014191291723724807,5.6620386338681956e-05,21139.72468753243,529844.4948883116,20650.828145133823,3.035
a01,DLC1.2-g-s2,0.29,center,30,11340.0,1.9942,1.3725,0.001496435144699804,7.128028510677396e-05,20047.64463482193,420873.7374585644,19484.764152569274,2.913
a01,DLC1.2-g-s3,0.3,center,30,11340.0,1.9227,1.1041,0.0013725822321950612,4.571555628153701e-05,21856.613976434328,656231.7609184601,21442.197747382947,3.042
a01,DLC1.2-g-s4,0.31,center,30,11340.0,2.5228,1.8246,0.0015788502313050568,6.216012630474118e-05,19001.16895521014,482624.5019664928,18568.103059502406,2.916
a01,DLC1.2-g-s5,0.33,center,30,11340.0,1.6998,1.0317,0.0014902095221433285,5.078318371172243e-05,20131.397333209763,590746.7355788293,19739.934988188234,2.949
a01,DLC1.2-g-s6,0.32,center,30,11340.0,1.747,0.971,0.001542534973801567,6.635719433533404e-05,19448.505550616595,452098.680489653,18960.019352425217,2.883
a01,DLC1.2-h-s1,0.38,center,30,6126.0,2.2032,0.9821,0.0007400600903152108,5.178493830971491e-05,40537.248789111465,579319.0255548102,38810.76412518786,2.811
a01,DLC1.2-h-s2,0.42,center,30,6126.0,2.7749,1.891,0.0007014017907791034,2.9182708249027805e-05,42771.490455815045,1028006.0282273295,41735.77312023434,2.841
a01,DLC1.2-h-s3,0.37,center,30,6126.0,2.2055,1.2974,0.000662749829264038,3.0442419339987103e-05,45265.94904341811,985467.0111778544,44044.46326392375,2.717
a01,DLC1.2-h-s4,0.38,center,30,6126.0,2.9497,1.9161,0.0006687486772235995,3.2066702642280786e-05,44859.90181625338,935549.8859569121,43591.21599353623,2.901
a01,DLC1.2-h-s5,0.39,center,30,6126.0,2.4553,1.529,0.0006895382400373253,3.064310737544296e-05,43507.37676038979,979012.9843046421,42375.01691926396,2.652
a01,DLC1.2-h-s6,0.4,center,30,6126.0,2.9838,2.0693,0.0006479674881133537,2.5069930701999474e-05,46298.61922138889,1196652.6894949623,45263.40937997396,2.774
a01,DLC1.2-i-s1,0.49,center,30,2997.0,2.2206,0.8158,0.0002715727708074075,1.3083217593806397e-05,110467.62866103109,2293013.915338534,107327.45663924249,2.706
a01,DLC1.2-i-s2,0.41,center,30,2997.0,2.064,0.9877,0.00027301975592818533,1.8821276879826485e-05,109882.15815375335,1593940.740128816,105276.72237285247,2.791
a01,DLC1.2-i-s3,0.42,center,30,2997.0,2.4731,1.3596,0.00028138370975657346,1.737670977359399e-05,106615.9801004584,1726448.8151599693,102647.17276727123,2.771
a01,DLC1.2-i-s4,0.46,center,30,2997.0,1.8329,0.5455,0.00024604753489047,1.5221073979433054e-05,121927.65927671145,1970951.5925444195,117380.30648473854,2.672
a01,DLC1.2-i-s5,0.47,center,30,2997.0,2.5144,0.5467,0.0002856855943140142,2.870825428114739e-05,105010.54514854254,1044995.6206393536,98439.61817197135,2.844
a01,DLC1.2-i-s6,0.47,center,30,2997.0,2.4819,1.1879,0.00024772933434079103,1.703452305964524e-05,121099.90962447038,1761129.436671459,116038.14258321388,2.84
a01,DLC1.2-j-s1,0.49,min_pos,30,1332.0,3.3962,1.1328,9.48891790842212e-05,1.1235094310251923e-05,316158.2836897848,2670204.554725034,292680.93993020576,2.757
a01,DLC1.2-j-s2,0.53,center,30,1332.0,2.1278,0.6291,0.00010266149767528305,1.2092875593312538e-05,292222.50482736574,2480799.522703289,270638.2154334677,2.792
a01,DLC1.2-j-s3,0.51,center,30,1332.0,2.2667,0.3889,0.00010048405706775796,9.739258712595071e-06,298554.82427197916,3080316.570829276,280569.6176413856,2.736
