design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
a01,111,0.3039482259448159,0.008787100902823593,0.30895869927936365,98.70102023706737,3414.0953121819716,97.1003570055611,1,1,270.0
a02,111,0.2775149494918886,0.00806655095768694,0.2821176503913527,108.10228441721068,3719.061611011308,106.33861425679709,1,1,252.9
a03,111,0.2980742354033278,0.00810818775196687,0.3026628375695787,100.64606878688004,3699.9636562094474,99.12019672089194,1,1,274.9
a04,111,0.2932653123086583,0.00855539242733706,0.2981491385297338,102.29644878159115,3506.560365850776,100.62078377264257,1,1,257.1
a05,111,0.2788383150504329,0.007953871793411794,0.28336615288022354,107.58923139588605,3771.7479963467667,105.87008961751597,1,1,259.9
a06,111,0.2594563089522429,0.007768467900336874,0.2639052215316337,115.62640400284882,3861.765329389991,113.6771748049857,1,1,240.0
a07,111,0.25299003981267354,0.007565261653465488,0.25732189848045517,118.58174346394624,3965.494040283145,116.58549146868914,1,1,243.8
a08,111,0.2654539567154258,0.007175357601660033,0.269511470106539,113.01394927844625,4180.976289329391,111.31251663664214,1,1,273.4
a09,111,0.24595606563443134,0.007302223478699172,0.2501335879383883,121.97300327851848,4108.337698443631,119.93591203509006,1,1,251.2
a10,111,0.24815793653522544,0.007539581780490557,0.2524835889867258,120.8907537629431,3979.000543190351,118.81960376275083,1,1,240.7
a55,111,0.11581942280044052,0.004520169980246415,0.11849428651164706,259.02391217827665,6636.918551979888,253.17676390288435,1,1,248.5
a56,111,0.10446879533033059,0.004691314433597351,0.10729336928241386,287.1670904707949,6394.796261182534,279.6072133873907,1,1,237.4
a57,111,0.10288258628990025,0.004641372559090473,0.10567867328107175,291.59453588643925,6463.605241351024,283.8794154825309,1,1,237.0
a58,111,0.09441867026528197,0.0043091191913244035,0.0970183002088119,317.73376934573383,6961.97962228553,309.22001246601087,1,1,230.0
a59,111,0.1192358366089235,0.004722000245281134,0.12203517825272742,251.60220998319247,6353.239822462968,245.83075494733026,1,1,253.3
a60,111,0.11082316109229623,0.0047535661576312855,0.11366909175583856,270.7015366130485,6311.051325506129,263.9239879248799,1,1,246.9
a61,111,0.0634466868869156,0.0022449929382700727,0.06475920531664782,472.83792853471755,13363.070987259827,463.2546037788981,1,1,192.3
a62,111,0.06254897871971739,0.002217755092203951,0.06384590012755097,479.6241379804186,13527.192477410446,469.88138533666495,1,1,192.6
a63,111,0.09765967004704845,0.0059308181620678965,0.10136536310290693,307.18924183900293,5058.324025489918,295.95908386914925,1,1,251.6
a64,111,0.09014696514468161,0.005629319272698497,0.0936762925971774,332.78990537120603,5329.24116517894,320.2517858921324,1,1,248.9
b01,111,0.32102730692347764,0.0076162586066096626,0.3252650276634845,93.44999429332351,3938.941880724077,92.23247951217695,1,1,306.3
b02,111,0.29477889845428074,0.008111463934507766,0.2993759131845134,101.77119243375185,3698.4692581044574,100.20846260103163,1,1,299.0
b03,111,0.21535999740544343,0.008983380521865357,0.2207198326933227,139.3016361507521,3339.500083179226,135.91891419056685,1,1,243.0
b04,111,0.22319900104012214,0.00906573483111902,0.22859024217562687,134.40920371595757,3309.1636319454296,131.23919776484104,1,1,253.0
b05,111,0.2154176637632865,0.008915240209112767,0.22073167758861562,139.26434571756266,3365.024306281206,135.91162051471343,1,1,246.2
b06,111,0.22521505190795132,0.009652826635570383,0.23099359528608032,133.20601685300073,3107.897938356303,129.87373075364138,1,1,244.8
b07,111,0.2293358881685671,0.006651085986267114,0.2331298760919256,130.8124962018562,4510.541596055555,128.68363550354516,1,1,277.1
b08,111,0.2363439972441405,0.0064630941991533,0.2400040024040893,126.93362365793602,4641.739556253127,124.99791544930021,1,1,280.8
b09,111,0.2246438823887133,0.007428864073847386,0.22895094458093107,133.54470053223795,4038.3024513279447,131.03243603083456,1,1,279.6
b10,111,0.2019910984625685,0.00805105003551963,0.20676779880227997,148.52139638004581,3726.222029132346,145.0902905277202,1,1,256.8
b32,111,0.07286614987124963,0.0025025148049229004,0.07432384249292674,411.71380748136556,11987.941066715994,403.63898035620326,1,1,189.1
b33,111,0.06823506649239447,0.0030639237161672723,0.07007979187110892,439.65663905880155,9791.366489217833,428.08346313550896,1,1,195.5
b34,111,0.08045489378790155,0.0023072940719590573,0.08176921990978023,372.8797415243281,13002.243781837422,366.8862199382652,1,1,198.6
b35,111,0.09261180850661956,0.0033700869794031562,0.0945889370771094,323.9327736252522,8901.847395438148,317.16182597066125,1,1,212.8
b36,111,0.07681656609913115,0.002859920304589656,0.0784991371316066,390.54075863382445,10489.802793404911,382.16980588848935,1,1,190.2
b37,111,0.0935640546170005,0.0038987725472404066,0.09588991340684548,320.63595493807327,7694.729465876208,312.8587662053132,1,1,215.0
b38,111,0.07129028385627856,0.0028391955662817976,0.07297461292608855,420.81470822139096,10566.373220738687,411.10187224131136,1,1,194.8
b39,111,0.06383561216298798,0.002423256073466884,0.06526470521258881,469.95711302027837,12380.037061902354,459.66652116607344,1,1,180.2
b40,111,0.0768710047446532,0.0027090374279757057,0.07845403329195837,390.2641847814102,11074.04411995043,382.38951831014447,1,1,191.5
b41,111,0.0727173678434358,0.002973204191039448,0.07448692721794216,412.55618691522955,10090.124348140329,402.75523666351086,1,1,195.3
