rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
a01,4423.0,15.0,140.1,334.8,1.0,6.0,91,797.436,435.997,579.437,6.158875,-0.420563,6.579437,1.49282,0.401924,39108.4,6880.8,
a02,4420.0,15.0,146.6,334.5,1.0,6.0,87,796.886,435.606,579.083,6.158167,-0.420917,6.579083,1.49282,0.401924,40070.5,6868.5,
a03,4410.0,18.0,136.8,330.5,1.0,6.0,93,918.517,430.397,703.318,6.406636,-0.296682,6.703318,1.231073,0.48738,37599.4,6687.3,
a04,4399.0,15.0,140.6,339.5,1.0,6.0,90,797.386,442.117,576.328,6.152656,-0.423672,6.576328,1.49282,0.401924,39435.9,6934.7,
a05,4374.0,17.0,140.2,336.7,1.0,6.0,90,874.866,438.471,655.63,6.31126,-0.34437,6.65563,1.308341,0.458596,38699.7,6802.8,
a06,4349.0,15.0,147.8,343.0,1.0,6.0,85,793.108,446.675,569.77,6.13954,-0.43023,6.56977,1.49282,0.401924,40721.3,6965.6,
a07,4347.0,15.0,147.7,345.8,1.0,6.0,85,794.721,450.322,569.56,6.139121,-0.43044,6.56956,1.49282,0.401924,40947.9,7018.7,
a08,4344.0,19.0,141.0,337.0,1.0,6.0,89,954.412,438.862,734.981,6.469962,-0.265019,6.734981,1.161684,0.516491,38309.6,6708.8,
a09,4336.0,16.0,147.8,346.8,1.0,6.0,84,834.718,451.624,608.906,6.217813,-0.391094,6.608906,1.394966,0.430118,40539.6,6932.9,
a10,4307.0,15.0,147.4,352.0,1.0,6.0,84,793.533,458.396,564.335,6.12867,-0.435665,6.564335,1.49282,0.401924,41125.4,7064.0,
a55,4177.0,27.0,179.3,430.3,1.0,4.5,67,1334.51,560.362,1054.329,5.608657,0.054329,5.554329,0.785044,0.764288,48534.7,7758.0,
a56,4164.0,25.0,184.3,437.1,1.0,4.5,65,1245.729,569.218,961.12,5.42224,-0.03888,5.46112,0.857803,0.699461,50638.0,7985.5,
a57,4153.0,25.0,184.6,437.9,1.0,4.5,65,1243.713,570.26,958.583,5.417166,-0.041417,5.458583,0.857803,0.699461,50844.9,8018.0,
a58,4119.0,25.0,188.0,449.5,1.0,4.5,63,1243.664,585.366,950.981,5.401963,-0.049019,5.450981,0.857803,0.699461,51982.3,8135.0,
a59,4265.0,30.0,183.7,430.3,1.0,4.0,67,1501.879,560.362,1221.697,5.443395,0.221697,5.221697,0.69282,0.866025,48464.7,7684.9,
a60,4230.0,29.0,184.6,442.7,1.0,4.0,66,1451.326,576.511,1163.071,5.326142,0.163071,5.163071,0.721619,0.831464,49874.6,7916.6,
a61,3992.0,30.0,229.2,466.0,1.0,4.5,50,1448.481,606.853,1145.054,5.790108,0.145054,5.645054,0.69282,0.866025,55792.8,7802.5,
a62,3987.0,30.0,229.7,466.4,1.0,4.5,50,1447.326,607.374,1143.639,5.787278,0.143639,5.643639,0.69282,0.866025,56000.6,7827.8,
a63,4498.0,30.0,198.9,458.8,1.0,3.0,65,1588.539,597.477,1289.8,4.579601,0.2898,4.2898,0.69282,0.866025,54544.1,8462.1,
a64,4414.0,30.0,198.9,478.1,1.0,3.0,64,1577.307,622.611,1266.002,4.532004,0.266002,4.266002,0.69282,0.866025,55894.2,8725.0,
b01,4493.0,25.0,146.8,335.9,1.5,6.0,88,1253.675,437.429,1034.96,6.56992,-0.46504,7.03496,0.857803,0.699461,37987.1,6539.1,
b02,4451.0,23.0,147.8,342.3,1.5,6.0,87,1155.009,445.764,932.128,6.364255,-0.567872,6.932128,0.942341,0.636712,39238.1,6749.1,
b03,4423.0,15.0,165.5,368.4,1.5,6.0,77,820.243,479.753,580.367,5.660734,-0.919633,6.580367,1.49282,0.401924,46083.2,7524.7,
b04,4417.0,16.0,160.6,367.4,1.5,6.0,79,860.287,478.45,621.062,5.742123,-0.878938,6.621062,1.394966,0.430118,44893.7,7447.4,
b05,4381.0,16.0,163.7,368.7,1.5,6.0,77,856.037,480.143,615.965,5.73193,-0.884035,6.615965,1.394966,0.430118,45341.8,7435.9,
b06,4344.0,15.0,158.0,379.6,1.5,6.0,79,817.13,494.338,569.961,5.639923,-0.930039,6.569961,1.49282,0.401924,45470.2,7643.5,
