rank_mass,set,rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa
a01,a,1,1.0,6.0,4423.0,15.0,140.1,334.8,2.3897,91,4069.0,4768.0,436.0,422.0,356.0,6.15881,13422.6,142648.3,169493.6,2098.3
a02,a,2,1.0,6.0,4420.0,15.0,146.6,334.5,2.2817,87,4060.0,4771.0,436.0,422.0,356.0,6.15811,13584.1,142027.4,169195.5,2097.5
a03,a,3,1.0,6.0,4410.0,18.0,136.8,330.5,2.4159,93,4047.0,4763.0,430.0,417.0,351.0,6.40575,13628.4,140974.4,168231.3,2099.0
a04,a,4,1.0,6.0,4399.0,15.0,140.6,339.5,2.4147,90,4041.0,4747.0,442.0,428.0,361.0,6.15239,13677.7,140467.8,167823.3,2097.9
a05,a,5,1.0,6.0,4374.0,17.0,140.2,336.7,2.4016,90,4009.0,4730.0,438.0,424.0,358.0,6.31112,13826.2,138440.3,166092.7,2099.9
a06,a,6,1.0,6.0,4349.0,15.0,147.8,343.0,2.3207,85,3982.0,4706.0,447.0,432.0,365.0,6.14013,13972.0,136609.4,164553.3,2099.9
a07,a,7,1.0,6.0,4347.0,15.0,147.7,345.8,2.3412,85,3978.0,4706.0,450.0,436.0,368.0,6.13859,14165.3,136183.3,164513.9,2095.1
a08,a,8,1.0,6.0,4344.0,19.0,141.0,337.0,2.3901,89,3968.0,4710.0,439.0,425.0,358.0,6.4698,14202.1,135540.4,163944.7,2099.7
a09,a,9,1.0,6.0,4336.0,16.0,147.8,346.8,2.3464,84,3962.0,4701.0,452.0,437.0,369.0,6.21824,14394.7,135043.7,163833.1,2099.3
a10,a,10,1.0,6.0,4307.0,15.0,147.4,352.0,2.3881,84,3935.0,4669.0,458.0,444.0,374.0,6.12788,14408.1,133235.4,162051.6,2099.6
a55,a,55,1.0,4.5,4177.0,27.0,179.3,430.3,2.3999,67,3652.0,4689.0,560.0,542.0,457.0,5.60858,24532.6,88363.4,137428.6,2096.5
a56,a,56,1.0,4.5,4164.0,25.0,184.3,437.1,2.3717,65,3640.0,4676.0,569.0,551.0,465.0,5.42188,24757.8,87858.0,137373.5,2099.8
a57,a,57,1.0,4.5,4153.0,25.0,184.6,437.9,2.3722,65,3628.0,4665.0,570.0,552.0,465.0,5.41677,24772.5,87157.3,136702.3,2099.3
a58,a,58,1.0,4.5,4119.0,25.0,188.0,449.5,2.391,63,3581.0,4644.0,585.0,566.0,478.0,5.40208,25847.1,84989.3,136683.5,2096.4
a59,a,59,1.0,4.0,4265.0,30.0,183.7,430.3,2.3424,67,3721.0,4797.0,560.0,542.0,457.0,5.44332,25985.4,82575.8,134546.5,2099.7
a60,a,60,1.0,4.0,4230.0,29.0,184.6,442.7,2.3982,66,3679.0,4768.0,577.0,558.0,471.0,5.32654,26911.4,80689.8,134512.5,2099.2
a61,a,61,1.0,4.5,3992.0,30.0,229.2,466.0,2.0332,50,3377.0,4594.0,607.0,587.0,495.0,5.79053,29263.3,75474.5,134001.0,2099.6
a62,a,62,1.0,4.5,3987.0,30.0,229.7,466.4,2.0305,50,3371.0,4590.0,607.0,588.0,496.0,5.78668,29308.0,75332.3,133948.2,2098.2
a63,a,63,1.0,3.0,4498.0,30.0,198.9,458.8,2.3067,65,3915.0,5068.0,597.0,578.0,488.0,4.57933,31232.7,71058.2,133523.5,2099.7
a64,a,64,1.0,3.0,4414.0,30.0,198.9,478.1,2.4037,64,3814.0,5000.0,623.0,603.0,508.0,4.53192,33046.7,67378.8,133472.3,2093.1
b01,b,1,1.5,6.0,4493.0,25.0,146.8,335.9,2.2881,88,4086.0,4891.0,437.0,423.0,357.0,6.56981,15907.4,143856.9,175671.8,2098.2
b02,b,2,1.5,6.0,4451.0,23.0,147.8,342.3,2.316,87,4046.0,4846.0,446.0,431.0,364.0,6.36488,15974.5,140937.5,172886.4,2098.9
b03,b,3,1.5,6.0,4423.0,15.0,165.5,368.4,2.226,77,4023.0,4813.0,480.0,464.0,392.0,5.66126,16566.1,139236.9,172369.0,2091.2
b04,b,4,1.5,6.0,4417.0,16.0,160.6,367.4,2.2877,79,4016.0,4807.0,478.0,463.0,390.0,5.74169,16575.9,138979.9,172131.7,2092.8
b05,b,5,1.5,6.0,4381.0,16.0,163.7,368.7,2.2523,77,3976.0,4775.0,480.0,465.0,392.0,5.73144,16657.8,136110.7,169426.3,2098.7
b06,b,6,1.5,6.0,4344.0,15.0,158.0,379.6,2.4025,79,3944.0,4734.0,494.0,478.0,403.0,5.63998,16858.2,133836.8,167553.2,2098.8
b07,b,7,1.5,6.0,4364.0,23.0,160.9,356.5,2.2157,78,3936.0,4782.0,464.0,449.0,379.0,6.32836,17138.6,133271.4,167548.5,2097.2
b08,b,8,1.5,6.0,4348.0,24.0,158.4,358.0,2.2601,79,3917.0,4769.0,466.0,451.0,380.0,6.41186,17322.2,132036.7,166681.1,2096.6
b09,b,9,1.5,6.0,4331.0,21.0,153.9,369.8,2.4029,81,3909.0,4743.0,482.0,466.0,393.0,6.13906,17507.5,131475.0,166490.1,2089.4
b10,b,10,1.5,6.0,4281.0,18.0,159.5,381.8,2.3937,77,3861.0,4690.0,497.0,481.0,406.0,5.86736,17638.5,128402.4,163679.5,2098.6
b32,b,32,1.5,6.0,3896.0,24.0,216.2,455.6,2.1073,52,3333.0,4445.0,593.0,574.0,484.0,6.21721,25552.6,95586.7,146691.8,2093.1
b33,b,33,1.5,6.0,3855.0,19.0,205.8,484.0,2.3518,54,3312.0,4384.0,630.0,610.0,514.0,5.8095,26007.3,94481.0,146495.6,2097.7
b34,b,34,1.5,6.0,3864.0,27.0,206.4,462.9,2.2427,54,3287.0,4427.0,603.0,583.0,492.0,6.45268,26651.3,93029.5,146332.2,2098.1
b35,b,35,1.5,5.5,3974.0,26.0,197.6,461.3,2.3345,58,3412.0,4523.0,601.0,581.0,490.0,5.92135,26723.3,92454.1,145900.6,2095.2
b36,b,36,1.5,5.5,3949.0,26.0,216.6,469.0,2.1653,52,3364.0,4521.0,611.0,591.0,498.0,5.91009,27815.0,89980.7,145610.6,2099.2
b37,b,37,1.5,5.0,4062.0,27.0,201.7,467.3,2.3168,58,3486.0,4625.0,609.0,589.0,497.0,5.55309,28370.8,88573.7,145315.3,2094.0
b38,b,38,1.5,5.5,3919.0,25.0,213.3,480.7,2.2536,53,3333.0,4491.0,626.0,606.0,511.0,5.81113,28479.5,88233.9,145192.8,2091.2
b39,b,39,1.5,5.5,3909.0,26.0,228.8,481.2,2.1031,49,3303.0,4502.0,627.0,606.0,511.0,5.89227,29207.3,86746.9,145161.4,2092.0
b40,b,40,1.5,5.0,4036.0,30.0,229.9,467.9,2.0352,50,3418.0,4640.0,609.0,590.0,497.0,5.8149,29772.3,85111.6,144656.2,2097.1
b41,b,41,1.5,5.0,3952.0,28.0,218.6,493.3,2.2566,52,3333.0,4557.0,642.0,622.0,524.0,5.58596,31191.7,80881.0,143264.3,2099.2
