design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a01,DLC1.2-a-s1,0.18,center,30,37800.0,1.6989,-5.8931,1.5941
a01,DLC1.2-a-s2,0.16,center,30,37800.0,1.5064,-4.2609,1.4278
a01,DLC1.2-a-s3,0.16,center,30,37800.0,1.5262,-3.8696,1.4497
a01,DLC1.2-a-s4,0.16,center,30,37800.0,1.4664,-3.4639,1.3961
a01,DLC1.2-a-s5,0.18,center,30,37800.0,1.6611,-3.5694,1.5762
a01,DLC1.2-a-s6,0.17,center,30,37800.0,1.5251,-3.8943,1.4489
a01,DLC1.2-b-s1,0.19,center,30,45700.0,1.6114,-12.4806,1.4504
a01,DLC1.2-b-s2,0.19,center,30,45700.0,1.5847,-10.1103,1.4668
a01,DLC1.2-b-s3,0.19,center,30,45700.0,1.7528,-13.9314,1.5893
a01,DLC1.2-b-s4,0.2,center,30,45700.0,1.8423,-12.6405,1.6892
a01,DLC1.2-b-s5,0.19,center,30,45700.0,1.8171,-10.5524,1.6627
a01,DLC1.2-b-s6,0.19,center,30,45700.0,1.7356,-12.3171,1.5921
a01,DLC1.2-c-s1,0.18,center,30,45040.0,1.6501,-16.722,1.5038
a01,DLC1.2-c-s2,0.2,center,30,45040.0,1.7624,-20.6169,1.5653
a01,DLC1.2-c-s3,0.19,center,30,45040.0,1.737,-22.0422,1.5736
a01,DLC1.2-c-s4,0.2,center,30,45040.0,1.5517,-19.7111,1.3541
a01,DLC1.2-c-s5,0.18,center,30,45040.0,1.4703,-21.7945,1.2603
a01,DLC1.2-c-s6,0.2,center,30,45040.0,1.8642,-18.2328,1.6558
a01,DLC1.2-d-s1,0.19,center,30,38180.0,1.9675,-23.0558,1.7502
a01,DLC1.2-d-s2,0.19,center,30,38180.0,1.7028,-22.5255,1.5621
a01,DLC1.2-d-s3,0.18,center,30,38180.0,1.7062,-19.5523,1.5716
a01,DLC1.2-d-s4,0.18,center,30,38180.0,1.5412,-25.2126,1.3579
a01,DLC1.2-d-s5,0.2,center,30,38180.0,1.8335,-21.2313,1.634
