design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
a01,DLC1.2-a-s1,0.17,center,30,37800.0,1.6207,1.4833,0.031797320926425524,0.0007469701455188709,943.4757119763559,40162.24768817364,931.3175147660897,5.345
a01,DLC1.2-a-s2,0.16,center,30,37800.0,1.56,1.4637,0.03186897139485294,0.000753009910645979,941.3545115185365,39840.11309262068,929.1452985259837,3.262
a01,DLC1.2-a-s3,0.16,center,30,37800.0,1.6062,1.5188,0.032031315073141664,0.0007711806742032933,936.5834631358946,38901.38978261222,924.180636416448,3.135
a01,DLC1.2-a-s4,0.16,center,30,37800.0,1.5021,1.4205,0.032447839832134916,0.0007897896365591465,924.5607767790236,37984.79824412501,912.1679194261709,3.681
a01,DLC1.2-a-s5,0.18,center,30,37800.0,1.687,1.5877,0.032862382010329316,0.0008390110893531045,912.8979144168669,35756.3807924525,899.9960345919387,3.152
a01,DLC1.2-a-s6,0.17,center,30,37800.0,1.6114,1.5212,0.032124314931746216,0.000761683145903547,933.872054975812,39386.45637801593,921.7131423710468,3.256
a01,DLC1.2-b-s1,0.18,center,30,45700.0,1.6621,1.4553,0.030350068899436162,0.0005186658998239582,988.465630816322,57840.70248339516,979.5236372776822,2.539
a01,DLC1.2-b-s2,0.18,center,30,45700.0,1.566,1.4069,0.029689961979205492,0.0005114950092254414,1010.442519967242,58651.59866452871,1001.2191833031944,2.815
a01,DLC1.2-b-s3,0.18,center,30,45700.0,1.7932,1.5848,0.02941995580363023,0.0005139297764410406,1019.7160118200517,58373.733874207,1010.2629354859421,2.704
a01,DLC1.2-b-s4,0.18,center,30,45700.0,1.5526,1.3406,0.029624649336029686,0.0004930036184580882,1012.6702145808629,60851.480347806806,1003.7763376803082,2.731
a01,DLC1.2-b-s5,0.18,center,30,45700.0,1.8048,1.6154,0.030328191626012413,0.0005939237526504777,989.178661554917,50511.534293956596,978.7648970272703,2.74
a01,DLC1.2-b-s6,0.18,center,30,45700.0,1.7891,1.6087,0.029346089262666474,0.0004962642425172793,1022.2827216083411,60451.665523645774,1013.1424955969401,2.68
a01,DLC1.2-c-s1,0.17,center,30,45040.0,1.4906,1.2941,0.019664032810830435,0.0007320658921321343,1525.6280483562246,40979.91768558608,1492.9291141798915,2.694
a01,DLC1.2-c-s2,0.19,center,30,45040.0,1.8844,1.637,0.020150615442663333,0.0007084051702424222,1488.78827474834,42348.64631173393,1458.8283666034156,2.676
a01,DLC1.2-c-s3,0.18,center,30,45040.0,1.739,1.5096,0.020074628002869393,0.0006029307575274386,1494.4237071646812,49756.95737107049,1469.144128979187,2.756
a01,DLC1.2-c-s4,0.19,center,30,45040.0,1.6671,1.4067,0.018973689017449436,0.0007064922079277947,1581.1369087165945,42463.313343529575,1547.2415543063764,2.762
a01,DLC1.2-c-s5,0.17,center,30,45040.0,1.5544,1.2889,0.01940761191862256,0.0007468232434926038,1545.7852375548339,40170.14770416302,1511.4275665182765,2.705
a01,DLC1.2-c-s6,0.18,center,30,45040.0,1.5824,1.3226,0.020266826637997143,0.000866570600444407,1480.2514737928766,34619.22200524109,1443.3183385779193,2.695
a01,DLC1.2-d-s1,0.18,center,30,38180.0,1.9182,1.6599,0.022736004942853546,0.0011473261440082634,1319.4930277066858,26147.75245615246,1280.0394188927264,2.755
a01,DLC1.2-d-s2,0.18,center,30,38180.0,1.6897,1.5147,0.022077694306934608,0.0008948991610296422,1358.837548111942,33523.33012077357,1326.8617069097445,2.858
a01,DLC1.2-d-s3,0.17,center,30,38180.0,1.4817,1.3048,0.02148919992502535,0.0009451429279536165,1396.0501137626516,31741.23099556459,1360.1246666129298,2.738
a01,DLC1.2-d-s4,0.18,center,30,38180.0,1.9797,1.7542,0.02141005169243325,0.0009396706623210064,1401.2110027087238,31926.07921364637,1365.2361748258395,2.875
a01,DLC1.2-d-s5,0.19,center,30,38180.0,1.8049,1.5555,0.02256779465327074,0.0011863479614384787,1329.3279410291032,25287.69043748699,1287.7720229958966,2.884
a01,DLC1.2-d-s6,0.18,center,30,38180.0,1.6039,1.378,0.021234126723794874,0.0009676463496339851,1412.82005095986,31003.06223585464,1375.0249047452137,2.919
a01,DLC1.2-e-s1,0.21,center,30,28490.0,2.0186,1.6689,0.015838247292399465,0.0007713483576081021,1894.1489829115462,38892.933010226305,1839.6640952680757,2.677
a01,DLC1.2-e-s2,0.21,center,30,28490.0,1.5323,1.1556,0.015650748644935198,0.0007739288023164799,1916.8412119191769,38763.25562533104,1860.7791587856304,2.785
a01,DLC1.2-e-s3,0.19,center,30,28490.0,1.8863,1.6222,0.013188412826070433,0.0005231347418235172,2274.7240623751904,57346.60232166475,2222.4519680378103,2.922
a01,DLC1.2-e-s4,0.21,center,30,28490.0,1.6396,1.2748,0.014875079742129,0.0006631113979763775,2016.7959110185072,45241.2672916666,1964.1259206715577,2.662
