design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
a01,111,0.7952642791427516,0.02722139810071896,0.8111139501466169,37.72330882551175,1102.0741803562123,36.98617191157568,0,0,258.4
a02,111,0.7252408732141158,0.024952765426220134,0.7397788874817054,41.36556709365576,1202.2715513718683,40.55265770306522,0,0,241.3
a03,111,0.8037424583074168,0.025889223320671458,0.8187035924410438,37.32538910931286,1158.7833141385227,36.64329835240139,0,0,267.9
a04,111,0.7723001668876295,0.026720052972502482,0.7878785436152868,38.84500002233592,1122.7522651572922,38.0769348817915,0,0,249.4
a05,111,0.7528982126115359,0.025345037563312196,0.7676249789182725,39.84602366891094,1183.6636629580703,39.08158387742361,0,0,258.8
a06,111,0.6885299858146325,0.02449567766888247,0.7028608231523842,43.57108712484842,1224.705860581674,42.68270333442078,0,0,238.8
a07,111,0.673623796971872,0.023946446060420318,0.6876319475426564,44.53524375899192,1252.7955056172302,43.62799039109361,0,0,237.0
a08,111,0.7289823830434117,0.02352961226055779,0.7425833899288666,41.15325788087456,1274.9891357236002,40.39950314923386,0,0,271.4
a09,111,0.6636303460380351,0.02331072569787834,0.6772464764121974,45.205889361606424,1286.961220719546,44.2970189508094,0,0,242.1
a10,111,0.6661478707579616,0.02410059200569145,0.6802768411194576,45.03504599641693,1244.782700479531,44.099693222883,0,0,239.9
a55,111,0.33913914798976535,0.01603439627596096,0.3488546206038232,88.45926569617185,1870.9778331334192,85.9957077480407,1,1,243.4
a56,111,0.3086659936741329,0.01628385235347493,0.31866640411476405,97.19243653277795,1842.315893609664,94.14233697881703,1,1,234.8
a57,111,0.30497486510316174,0.016162028078189044,0.3149059700665667,98.3687622580048,1856.2026903347332,95.26653303415753,1,1,234.8
a58,111,0.2830738284627828,0.015186637497221314,0.2924196523699685,105.97941944302441,1975.4208267293582,102.59228392093186,1,1,227.0
a59,111,0.3400598154135146,0.01649933289847188,0.3500888643288424,88.21977381690876,1818.2553309642303,85.6925285456114,1,1,248.2
a60,111,0.3205872354681046,0.016596198678791974,0.33075584648681694,93.57827349612215,1807.6428572969867,90.70134456775422,1,1,243.3
a61,111,0.19197133985597106,0.008625030608074223,0.19716466705285465,156.27332716700255,3478.2485260882254,152.1570799090376,1,1,189.0
a62,111,0.18965066498668504,0.008540314124511004,0.194794433655962,158.18557768888516,3512.751353477612,154.00850751713358,1,1,188.5
a63,111,0.2698154743516545,0.018709348322436627,0.28169643432771974,111.18709952454601,1603.4764804727804,106.4976206447066,1,1,247.0
a64,111,0.2548329210078922,0.018181441883261526,0.266418855207517,117.72419309619302,1650.0341498007951,112.60464270305725,1,1,244.9
b01,111,0.8432058808358524,0.025929685732478603,0.8581046638364498,35.57849948847798,1156.9750713338985,34.96077024669084,0,0,302.8
b02,111,0.7870778666627312,0.027120548050626192,0.8028817754977364,38.11566970775361,1106.1723363406486,37.36540162641241,0,0,296.3
b03,111,0.5691627902863242,0.02782883416973437,0.5860944674408813,52.7089973413549,1078.0185694098143,51.186287649142606,0,0,240.8
b04,111,0.596791271292079,0.02828777208707221,0.6139365908864948,50.268831739191995,1060.528906541576,48.86498124616005,0,0,250.4
