design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a01,DLC1.2-a-s1,0.17,center,30,37800.0,1.6207,-2.7405,1.4833
a01,DLC1.2-a-s2,0.16,center,30,37800.0,1.56,-1.5277,1.4637
a01,DLC1.2-a-s3,0.16,center,30,37800.0,1.6062,-1.1535,1.5188
a01,DLC1.2-a-s4,0.16,center,30,37800.0,1.5021,-1.0326,1.4205
a01,DLC1.2-a-s5,0.18,center,30,37800.0,1.687,-1.1873,1.5877
a01,DLC1.2-a-s6,0.17,center,30,37800.0,1.6114,-1.2228,1.5212
a01,DLC1.2-b-s1,0.18,center,30,45700.0,1.6621,-6.3909,1.4553
a01,DLC1.2-b-s2,0.18,center,30,45700.0,1.566,-4.9685,1.4069
a01,DLC1.2-b-s3,0.18,center,30,45700.0,1.7932,-6.6926,1.5848
a01,DLC1.2-b-s4,0.18,center,30,45700.0,1.5526,-7.0488,1.3406
a01,DLC1.2-b-s5,0.18,center,30,45700.0,1.8048,-5.2456,1.6154
a01,DLC1.2-b-s6,0.18,center,30,45700.0,1.7891,-5.7044,1.6087
a01,DLC1.2-c-s1,0.17,center,30,45040.0,1.4906,-11.4111,1.2941
a01,DLC1.2-c-s2,0.19,center,30,45040.0,1.8844,-13.1751,1.637
a01,DLC1.2-c-s3,0.18,center,30,45040.0,1.739,-13.8135,1.5096
a01,DLC1.2-c-s4,0.19,center,30,45040.0,1.6671,-12.9532,1.4067
a01,DLC1.2-c-s5,0.17,center,30,45040.0,1.5544,-14.5709,1.2889
a01,DLC1.2-c-s6,0.18,center,30,45040.0,1.5824,-13.0323,1.3226
a01,DLC1.2-d-s1,0.18,center,30,38180.0,1.9182,-17.8918,1.6599
a01,DLC1.2-d-s2,0.18,center,30,38180.0,1.6897,-16.1802,1.5147
a01,DLC1.2-d-s3,0.17,center,30,38180.0,1.4817,-15.4929,1.3048
a01,DLC1.2-d-s4,0.18,center,30,38180.0,1.9797,-18.6761,1.7542
a01,DLC1.2-d-s5,0.19,center,30,38180.0,1.8049,-16.637,1.5555
a01,DLC1.2-d-s6,0.18,center,30,38180.0,1.6039,-17.4801,1.378
a01,DLC1.2-e-s1,0.21,center,30,28490.0,2.0186,-24.3286,1.6689
a01,DLC1.2-e-s2,0.21,center,30,28490.0,1.5323,-25.9127,1.1556
a01,DLC1.2-e-s3,0.19,center,30,28490.0,1.8863,-23.5667,1.6222
a01,DLC1.2-e-s4,0.21,center,30,28490.0,1.6396,-29.3366,1.2748
