rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_w_mm,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3713.0_22_215.60_515.90,1.0,6.0,3713.0,22.0,215.6,2.3929,49,3116.0,4295.0,672.0,650.0,548.0,6.48546,29467.6,105091.1,164026.3,2046.0,1,,0.25,515.9,507.3,2.3644,19.6356,29.4676,105.0911,164.0263,54.0
2,1.00_5.70_3710.0_26_229.40_492.30,1.0,5.7,3710.0,26.0,229.4,2.146,46,3094.0,4312.0,641.0,620.0,523.0,6.49555,28805.7,101276.8,158888.3,2081.9,1,,0.27,492.3,483.7,2.941,23.059,28.8057,101.2768,158.8882,18.1
3,1.00_5.90_3769.0_26_196.40_471.60,1.0,5.9,3769.0,26.0,196.4,2.4012,55,3200.0,4325.0,614.0,594.0,501.0,6.72155,26267.1,99343.8,151878.1,2090.7,1,,0.28,471.6,463.0,2.4996,23.5004,26.2671,99.3438,151.878,9.3
4,1.00_5.50_3848.0_20_210.50_495.40,1.0,5.5,3848.0,20.0,210.5,2.3534,52,3285.0,4397.0,645.0,624.0,527.0,5.88406,27540.8,89654.0,144735.6,2082.9,1,,0.29,495.4,486.8,2.0386,17.9614,27.5408,89.654,144.7356,17.1
5,1.00_6.00_3878.0_23_226.30_457.50,1.0,6.0,3878.0,23.0,226.3,2.0217,49,3310.0,4432.0,596.0,577.0,486.0,6.62895,25589.3,96051.9,147230.6,2060.3,1,,0.27,457.5,448.9,2.4787,20.5213,25.5893,96.0519,147.2305,39.7
6,1.00_5.30_3855.0_26_225.60_468.20,1.0,5.3,3855.0,26.0,225.6,2.0754,49,3262.0,4434.0,610.0,590.0,498.0,6.16484,27358.9,87444.4,142162.1,2097.7,1,,0.26,468.2,459.6,2.7915,23.2085,27.3589,87.4444,142.1622,2.3
7,1.00_5.70_3901.0_23_228.40_442.10,1.0,5.7,3901.0,23.0,228.4,1.9356,49,3344.0,4446.0,576.0,557.0,470.0,6.33878,24336.7,90368.2,139041.6,2096.7,1,,0.28,442.1,433.5,2.4865,20.5135,24.3367,90.3682,139.0416,3.3
8,1.00_5.10_3987.0_17_204.70_500.50,1.0,5.1,3987.0,17.0,204.7,2.445,56,3447.0,4512.0,652.0,631.0,532.0,5.30153,27633.5,78149.8,133416.9,2090.1,1,,0.29,500.5,491.9,1.6393,15.3607,27.6335,78.1498,133.4168,9.9
9,1.00_5.30_3991.0_16_229.40_492.30,1.0,5.3,3991.0,16.0,229.4,2.146,50,3441.0,4527.0,641.0,620.0,523.0,5.4275,27322.1,81231.9,135876.2,2072.2,1,,0.26,492.3,483.7,1.7202,14.2798,27.3221,81.2319,135.8761,27.8
10,1.00_5.80_4029.0_23_220.30_429.40,1.0,5.8,4029.0,23.0,220.3,1.9492,52,3489.0,4557.0,559.0,541.0,456.0,6.49159,23625.1,86618.3,133868.5,2084.1,1,,0.28,429.4,420.8,2.3301,20.6699,23.6251,86.6183,133.8685,15.9
11,1.00_5.00_4080.0_21_222.00_456.20,1.0,5.0,4080.0,21.0,222.0,2.055,53,3529.0,4618.0,594.0,575.0,485.0,5.54809,26097.7,74376.6,126572.0,2098.0,1,,0.29,456.2,447.6,2.1259,18.8741,26.0977,74.3766,126.572,2.0
12,1.00_5.90_4106.0_20_221.80_435.30,1.0,5.9,4106.0,20.0,221.8,1.9626,53,3577.0,4623.0,567.0,549.0,463.0,6.37513,23896.0,84974.6,132766.7,2049.0,1,,0.27,435.3,426.7,2.0143,17.9857,23.896,84.9746,132.7666,51.0
13,1.00_5.90_4198.0_15_192.90_465.70,1.0,5.9,4198.0,15.0,192.9,2.4142,62,3707.0,4675.0,606.0,587.0,495.0,6.00464,24428.0,81268.2,130124.2,2030.2,1,,0.28,465.7,457.1,1.3048,13.6952,24.428,81.2682,130.1242,69.8
14,1.00_6.00_4190.0_19_206.80_425.50,1.0,6.0,4190.0,19.0,206.8,2.0575,58,3688.0,4680.0,554.0,536.0,452.0,6.42261,22678.7,83179.1,128536.6,2045.7,1,,0.29,425.5,416.9,1.7589,17.2411,22.6787,83.1791,128.5365,54.3
15,1.00_6.00_4310.0_22_170.10_377.90,1.0,6.0,4310.0,22.0,170.1,2.2216,73,3862.0,4748.0,492.0,476.0,402.0,6.71849,18779.5,78422.5,115981.5,2099.0,1,,0.34,377.9,369.3,1.6341,20.3659,18.7795,78.4225,115.9815,1.0
16,1.00_5.10_4325.0_16_194.00_443.70,1.0,5.1,4325.0,16.0,194.0,2.2871,64,3841.0,4796.0,578.0,559.0,472.0,5.32008,23646.2,68164.8,115457.2,2094.6,1,,0.3,443.7,435.1,1.3581,14.6419,23.6462,68.1648,115.4572,5.4
17,1.00_4.90_4308.0_20_188.10_441.10,1.0,4.9,4308.0,20.0,188.1,2.345,66,3806.0,4797.0,574.0,556.0,469.0,5.44737,24548.0,66279.3,115375.3,2094.3,1,,0.31,441.1,432.5,1.6435,18.3565,24.548,66.2793,115.3753,5.7
18,1.00_5.20_4369.0_29_176.50_394.90,1.0,5.2,4369.0,29.0,176.5,2.2374,71,3867.0,4859.0,514.0,498.0,420.0,6.60011,22387.8,68611.0,113386.5,2095.4,1,,0.3,394.9,386.3,2.1671,26.8329,22.3878,68.611,113.3866,4.6
19,1.00_5.80_4435.0_26_189.90_361.20,1.0,5.8,4435.0,26.0,189.9,1.9021,67,3964.0,4896.0,470.0,455.0,384.0,6.94043,19135.5,73795.4,112066.3,2093.5,1,,0.28,361.2,352.6,2.0707,23.9293,19.1355,73.7954,112.0664,6.5
20,1.00_5.10_4435.0_15_199.30_433.20,1.0,5.1,4435.0,15.0,199.3,2.1736,64,3959.0,4898.0,564.0,546.0,460.0,5.26717,23117.6,65510.5,111745.6,2088.1,1,,0.3,433.2,424.6,1.2772,13.7228,23.1176,65.5105,111.7457,11.9
21,1.00_6.00_4524.0_16_166.40_384.70,1.0,6.0,4524.0,16.0,166.4,2.3119,78,4106.0,4931.0,501.0,485.0,409.0,6.27345,18564.5,72794.6,109923.7,2069.8,1,,0.3,384.7,376.1,1.122,14.878,18.5645,72.7946,109.9236,30.2
22,1.00_5.40_4479.0_29_165.30_371.30,1.0,5.4,4479.0,29.0,165.3,2.2462,78,4008.0,4940.0,484.0,468.0,395.0,6.86054,20324.7,67998.0,108647.4,2099.9,1,,0.33,371.3,362.7,1.9857,27.0143,20.3247,67.998,108.6474,0.1
