rank,stage,k_L,k_R,delta_mm,f_L,f_R,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,s1,s2,s3,s4,score,feasible
1,U1,1.5,0.3,0,0.0,0.0,2057.5,1468.5,71.37,7.919,1.505,828.4,40.26,5.624,1.069,51.77,0.2137,0.3563,0.6889,0.2863,0.90259,1
1,U1,1.5,0.3,10,0.0,0.0,2050.0,1451.7,70.82,7.98,1.516,850.6,41.49,5.556,1.056,46.66,0.2913,0.352,0.7068,0.2919,0.99809,1
1,U1,1.5,0.3,20,0.0,0.0,2043.2,1435.7,70.27,8.037,1.527,873.4,42.75,5.492,1.044,46.61,0.2921,0.348,0.7248,0.2973,1.01687,1
1,U1,1.5,0.3,30,0.0,0.0,2036.7,1421.9,69.81,8.112,1.541,896.2,44.0,5.432,1.032,46.53,0.2933,0.344,0.7419,0.3019,1.03517,1
1,U1,1.5,0.3,40,0.0,0.0,2030.3,1411.2,69.51,8.171,1.552,914.6,45.05,5.391,1.024,46.48,0.294,0.3413,0.7554,0.3049,1.04945,1
1,U1,1.5,0.4,0,0.0,0.0,2066.7,1478.1,71.52,7.836,1.489,711.2,34.41,6.82,1.296,52.09,0.2088,0.432,0.6289,0.2848,0.83776,1
1,U1,1.5,0.4,10,0.0,0.0,2059.1,1461.0,70.95,7.899,1.501,737.6,35.82,6.719,1.277,47.01,0.286,0.4257,0.6487,0.2905,0.93468,1
1,U1,1.5,0.4,20,0.0,0.0,2051.9,1444.7,70.41,7.959,1.512,763.1,37.19,6.615,1.257,46.94,0.2871,0.419,0.6678,0.2959,0.95488,1
1,U1,1.5,0.4,30,0.0,0.0,2044.9,1429.2,69.89,8.017,1.523,788.7,38.57,6.509,1.237,46.87,0.2881,0.4123,0.6868,0.3011,0.9749,1
1,U1,1.5,0.4,40,0.0,0.0,2038.2,1415.8,69.46,8.093,1.538,814.5,39.96,6.401,1.216,46.78,0.2895,0.4053,0.705,0.3054,0.99447,1
1,U1,1.5,0.5,0,0.0,0.0,2075.1,1486.1,71.62,7.753,1.473,606.3,29.22,8.163,1.551,47.47,0.279,0.491,0.576,0.2838,0.85503,1
1,U1,1.5,0.5,10,0.0,0.0,2067.3,1468.8,71.05,7.82,1.486,632.6,30.6,7.963,1.513,47.37,0.2805,0.4953,0.5955,0.2895,0.87604,1
1,U1,1.5,0.5,20,0.0,0.0,2059.8,1452.3,70.5,7.883,1.498,662.1,32.14,7.81,1.484,47.29,0.2817,0.4947,0.6164,0.2949,0.89811,1
1,U1,1.5,0.5,30,0.0,0.0,2052.4,1436.4,69.99,7.943,1.509,690.8,33.66,7.654,1.454,47.2,0.2831,0.4847,0.6367,0.3001,0.91983,1
