rank,stage,k_L,k_R,delta_mm,f_L,f_R,delta_over_a,geom_ok,s1,s2,s3,s4,score,feasible,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct
1,U4,2.5,0.3,40,0.0,0.04,15.0,1,,,,,,0,2066.9,1006.9,48.71,14.442,2.744,458.0,22.16,0.0,0.0,26.96
1,U4,2.5,0.4,40,0.0,0.04,15.0,1,0.5857,0.353,0.9902,0.5119,1.57589,1,2076.7,1013.7,48.81,14.304,2.718,993.4,47.83,5.573,1.059,27.28
1,U4,2.5,0.5,40,0.0,0.04,15.0,1,0.5802,0.4063,0.9431,0.5114,1.52334,1,2084.4,1018.4,48.86,14.173,2.693,899.9,43.17,6.416,1.219,27.64
1,U4,2.9,0.3,40,0.0,0.04,15.0,1,,,,,,0,2084.6,907.9,43.55,17.033,3.236,590.1,28.31,0.0,0.0,20.37
1,U4,2.9,0.4,40,0.0,0.04,15.0,1,0.6862,0.3387,0.9386,0.5018,1.6248,1,2095.8,915.5,43.68,16.875,3.206,1044.2,49.83,5.346,1.016,20.66
1,U4,2.9,0.5,40,0.0,0.04,15.0,1,,,,,,0,2103.8,920.0,43.73,16.728,3.178,951.7,45.24,6.126,1.164,21.03
1,U4,3.3,0.3,40,0.0,0.04,15.0,1,,,,,,0,2103.1,829.7,39.45,19.553,3.715,687.8,32.7,0.0,0.0,18.72
1,U4,3.3,0.4,40,0.0,0.04,15.0,1,,,,,,0,2115.1,837.3,39.58,19.388,3.684,1088.7,51.47,5.137,0.976,18.96
1,U4,3.3,0.5,40,0.0,0.04,15.0,1,,,,,,0,2123.3,841.6,39.63,19.227,3.653,996.0,46.91,5.86,1.113,19.32
1,U4,2.5,0.3,50,0.0,0.04,18.74,1,,,,,,0,2060.4,989.6,48.03,14.633,2.78,531.2,25.78,-0.0,-0.0,26.83
1,U4,2.5,0.4,50,0.0,0.04,18.74,1,0.5881,0.3483,0.9869,0.5058,1.575,1,2070.3,996.0,48.11,14.501,2.755,1023.1,49.42,5.498,1.045,27.12
1,U4,2.5,0.5,50,0.0,0.04,18.74,1,0.5829,0.3983,0.9675,0.5184,1.55039,1,2077.5,1000.6,48.16,14.376,2.731,933.0,44.91,6.287,1.195,27.46
1,U4,2.9,0.3,50,0.0,0.04,18.74,1,,,,,,0,2078.8,888.5,42.74,17.291,3.285,653.5,31.44,0.0,0.0,20.2
1,U4,2.9,0.4,50,0.0,0.04,18.74,1,0.6892,0.3337,0.914,0.4852,1.60322,1,2090.1,896.1,42.87,17.139,3.256,1075.9,51.48,5.269,1.001,20.46
1,U4,2.9,0.5,50,0.0,0.04,18.74,1,,,,,,0,2097.6,900.6,42.94,16.993,3.229,985.4,46.98,5.987,1.137,20.81
1,U4,3.3,0.3,50,0.0,0.04,18.74,1,,,,,,0,2097.0,809.9,38.62,19.863,3.774,747.0,35.62,0.0,0.0,18.51
1,U4,3.3,0.4,50,0.0,0.04,18.74,1,,,,,,0,2108.8,817.0,38.74,19.697,3.742,194.5,9.23,0.322,0.061,18.73
1,U4,3.3,0.5,50,0.0,0.04,18.74,1,,,,,,0,2116.7,820.9,38.78,19.544,3.713,1029.1,48.62,5.717,1.086,19.06
1,U4,2.5,0.3,60,0.0,0.04,22.49,1,,,,,,0,2053.8,972.3,47.34,14.813,2.815,597.2,29.08,-0.0,-0.0,26.71
1,U4,2.5,0.4,60,0.0,0.04,22.49,1,0.6642,0.3437,0.9642,0.4894,1.62843,1,2063.9,980.0,47.48,14.688,2.791,1053.8,51.06,5.428,1.031,22.11
1,U4,2.5,0.5,60,0.0,0.04,22.49,1,0.6592,0.39,0.9913,0.5249,1.65043,1,2070.9,983.9,47.51,14.569,2.768,965.8,46.64,6.155,1.17,22.44
1,U4,2.9,0.3,60,0.0,0.04,22.49,1,,,,,,0,2072.9,870.1,41.98,17.534,3.331,712.8,34.39,0.0,0.0,20.04
1,U4,2.9,0.4,60,0.0,0.04,22.49,1,,,,,,0,2083.9,877.5,42.11,17.39,3.304,187.4,8.99,0.401,0.076,20.28
1,U4,2.9,0.5,60,0.0,0.04,22.49,1,0.6873,0.3703,0.9346,0.5128,1.62186,1,2091.3,882.1,42.18,17.251,3.278,1018.9,48.72,5.845,1.111,20.59
1,U4,3.3,0.3,60,0.0,0.04,22.49,1,,,,,,0,2091.4,789.4,37.74,20.172,3.833,803.1,38.4,0.0,0.0,13.58
1,U4,3.3,0.4,60,0.0,0.04,22.49,1,,,,,,0,2103.0,797.7,37.93,20.011,3.802,313.1,14.89,0.254,0.048,13.77
1,U4,3.3,0.5,60,0.0,0.04,22.49,1,,,,,,0,2111.4,802.4,38.0,19.853,3.772,1065.0,50.44,5.631,1.07,14.11
1,U4,2.5,0.3,70,0.0,0.04,26.24,1,,,,,,0,2048.2,955.5,46.65,14.998,2.85,658.1,32.13,0.0,0.0,21.71
1,U4,2.5,0.4,70,0.0,0.04,26.24,1,,,,,,0,2058.3,962.8,46.78,14.867,2.825,133.6,6.49,0.502,0.095,21.97
1,U4,2.5,0.5,70,0.0,0.04,26.24,1,0.6616,0.3813,0.9853,0.5164,1.64693,1,2065.0,968.4,46.9,14.752,2.803,998.7,48.36,6.021,1.144,22.28
1,U4,2.9,0.3,70,0.0,0.04,26.24,1,,,,,,0,2066.9,853.2,41.28,17.764,3.375,768.9,37.2,0.0,0.0,19.89
1,U4,2.9,0.4,70,0.0,0.04,26.24,1,,,,,,0,2077.6,860.4,41.41,17.628,3.349,307.1,14.78,0.338,0.064,15.31
1,U4,2.9,0.5,70,0.0,0.04,26.24,1,0.7628,0.3633,0.9095,0.4949,1.67222,1,2085.2,864.4,41.46,17.495,3.324,1053.2,50.51,5.736,1.09,15.62
1,U4,3.3,0.3,70,0.0,0.04,26.24,1,,,,,,0,2086.3,770.1,36.91,20.464,3.888,857.1,41.08,-0.0,-0.0,13.39
1,U4,3.3,0.4,70,0.0,0.04,26.24,1,,,,,,0,2097.5,778.1,37.1,20.311,3.859,403.6,19.24,0.189,0.036,13.56
1,U4,3.3,0.5,70,0.0,0.04,26.24,1,,,,,,0,2106.0,782.6,37.16,20.159,3.83,1101.0,52.28,5.549,1.054,13.89
1,U4,2.5,0.3,80,0.0,0.04,29.99,1,,,,,,0,2042.7,940.3,46.03,15.179,2.884,715.4,35.02,-0.0,-0.0,21.59
1,U4,2.5,0.4,80,0.0,0.04,29.99,1,,,,,,0,2052.5,947.4,46.16,15.055,2.86,274.2,13.36,0.442,0.084,21.83
1,U4,2.5,0.5,80,0.0,0.04,29.99,1,0.6642,0.3727,0.9613,0.499,1.62553,1,2059.1,952.1,46.24,14.937,2.838,1031.7,50.1,5.882,1.118,22.11
1,U4,2.9,0.3,80,0.0,0.04,29.99,1,,,,,,0,2061.8,836.2,40.56,18.0,3.42,822.7,39.9,0.0,0.0,14.95
1,U4,2.9,0.4,80,0.0,0.04,29.99,1,,,,,,0,2072.2,843.9,40.72,17.859,3.393,397.7,19.19,0.277,0.053,15.14
