rank,stage,k_L,k_R,delta_mm,f_over_a,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,y_star_mm,score,feasible
1,T0,1.0,1.0,0.0,0.0,2097.0,980.5,46.76,0.581,0.11,163.9,7.81,17.161,3.261,65.85,-175.64,,0
103,T0,1.0,1.0,0.0,0.0,2093.0,937.4,44.79,0.659,0.125,418.9,20.01,14.083,2.676,60.34,-129.07,,0
210,T0,1.0,1.0,0.0,0.0,2099.8,940.2,44.78,0.634,0.12,522.9,24.9,12.694,2.412,60.07,-104.4,0.00904,1
1,T1,1.0,0.2,0.0,0.0,2042.6,934.5,45.75,0.774,0.147,101.2,4.95,0.0,0.0,63.47,-169.3,0.08302,1
1,T1,1.0,0.3,0.0,0.0,2051.9,949.6,46.28,0.74,0.141,711.8,34.69,6.125,1.164,63.68,-169.87,0.78559,1
1,T1,1.0,0.4,0.0,0.0,2060.5,960.7,46.63,0.71,0.135,590.8,28.67,7.542,1.433,63.97,-170.63,0.60963,1
1,T1,1.0,0.6,0.0,0.0,2075.2,976.4,47.05,0.659,0.125,408.2,19.67,10.841,2.06,64.62,-172.37,0.34315,1
1,T1,1.0,0.8,0.0,0.0,2087.0,986.1,47.25,0.617,0.117,278.1,13.33,14.144,2.687,65.26,-174.08,0.15384,1
1,T1,1.0,1.0,0.0,0.0,2097.0,980.5,46.76,0.581,0.11,163.9,7.81,17.161,3.261,65.85,-175.64,,0
1,T1,1.0,1.2,0.0,0.0,2105.5,975.2,46.31,0.549,0.104,686.5,32.6,24.596,4.673,66.37,-177.04,,0
1,T1,1.0,1.5,0.0,0.0,2116.1,967.7,45.73,0.508,0.096,675.9,31.94,28.072,5.334,62.43,-166.53,,0
103,T1,1.0,0.2,0.0,0.0,2026.0,843.3,41.63,0.871,0.166,780.3,38.51,0.0,0.0,58.28,-124.66,1.01751,1
103,T1,1.0,0.4,0.0,0.0,2049.8,883.0,43.08,0.803,0.153,855.4,41.73,6.267,1.191,58.58,-125.3,1.03756,1
103,T1,1.0,0.6,0.0,0.0,2066.7,907.1,43.89,0.747,0.142,659.3,31.9,8.627,1.639,59.12,-126.46,0.57958,1
103,T1,1.0,0.8,0.0,0.0,2080.9,924.1,44.41,0.7,0.133,520.1,24.99,11.371,2.161,59.74,-127.78,0.25081,1
103,T1,1.0,1.0,0.0,0.0,2093.0,937.4,44.79,0.659,0.125,418.9,20.01,14.083,2.676,60.34,-129.07,,0
103,T1,1.0,1.2,0.0,0.0,2103.3,941.8,44.77,0.623,0.118,340.8,16.2,16.634,3.16,60.9,-130.28,,0
103,T1,1.0,1.5,0.0,0.0,2116.6,937.3,44.28,0.576,0.109,245.3,11.59,20.099,3.819,61.67,-131.92,,0
210,T1,1.0,0.2,0.0,0.0,2028.9,834.7,41.14,0.855,0.162,959.8,47.31,-0.0,-0.0,58.29,-101.32,0.84782,1
210,T1,1.0,0.3,0.0,0.0,2043.5,859.8,42.07,0.818,0.156,485.5,23.76,-0.0,-0.0,58.32,-101.37,0.22766,1
210,T1,1.0,0.4,0.0,0.0,2054.8,878.2,42.74,0.785,0.149,973.7,47.39,5.8,1.102,58.5,-101.67,0.86781,1
210,T1,1.0,0.6,0.0,0.0,2072.2,905.2,43.68,0.727,0.138,777.3,37.51,7.783,1.479,58.96,-102.47,0.75385,1
210,T1,1.0,0.8,0.0,0.0,2087.2,924.9,44.31,0.677,0.129,628.8,30.13,10.188,1.936,59.51,-103.42,0.32327,1
210,T1,1.0,1.0,0.0,0.0,2099.8,940.2,44.78,0.634,0.12,522.9,24.9,12.694,2.412,60.07,-104.4,0.00904,1
210,T1,1.0,1.2,0.0,0.0,2110.9,944.9,44.76,0.596,0.113,440.0,20.84,15.109,2.871,60.61,-105.33,,0
210,T1,1.0,1.5,0.0,0.0,2125.0,942.4,44.35,0.546,0.104,345.8,16.27,18.455,3.506,56.59,-98.35,,0
1,T2,1.0,0.2,0.0,0.0,2042.6,934.5,45.75,0.774,0.147,101.2,4.95,0.0,0.0,63.47,-169.3,0.08302,1
1,T2,1.0,0.4,0.0,0.0,2060.5,960.7,46.63,0.71,0.135,590.8,28.67,7.542,1.433,63.97,-170.63,0.60963,1
1,T2,1.0,0.6,0.0,0.0,2075.2,976.4,47.05,0.659,0.125,408.2,19.67,10.841,2.06,64.62,-172.37,0.34315,1
1,T2,1.0,0.8,0.0,0.0,2087.0,986.1,47.25,0.617,0.117,278.1,13.33,14.144,2.687,65.26,-174.08,0.15384,1
1,T2,1.0,1.0,0.0,0.0,2097.0,980.5,46.76,0.581,0.11,163.9,7.81,17.161,3.261,65.85,-175.64,,0
1,T2,1.0,1.5,0.0,0.0,2116.1,967.7,45.73,0.508,0.096,675.9,31.94,28.072,5.334,62.43,-166.53,,0
1,T2,1.5,0.2,0.0,0.0,2045.8,1454.6,71.1,7.993,1.519,502.7,24.57,-0.0,-0.0,51.58,-137.6,-0.33365,1
1,T2,1.5,0.4,0.0,0.0,2066.7,1478.1,71.52,7.836,1.489,711.2,34.41,6.82,1.296,52.09,-138.95,-0.14265,1
1,T2,1.5,0.6,0.0,0.0,2083.0,1491.9,71.62,7.671,1.457,523.3,25.12,9.666,1.837,47.9,-127.77,-0.33897,1
1,T2,1.5,0.8,0.0,0.0,2096.6,1499.0,71.5,7.516,1.428,393.9,18.79,12.692,2.412,48.75,-130.04,-0.52597,1
1,T2,1.5,1.0,0.0,0.0,2107.8,1505.1,71.4,7.375,1.401,295.3,14.01,15.552,2.955,49.55,-132.18,,0
1,T2,1.5,1.5,0.0,0.0,2129.6,1517.2,71.24,7.083,1.346,67.3,3.16,21.648,4.113,51.26,-136.73,,0
1,T2,2.0,0.2,0.0,0.0,2061.4,1233.7,59.85,10.754,2.043,665.9,32.3,0.0,0.0,39.44,-105.22,0.56729,1
1,T2,2.0,0.4,0.0,0.0,2084.9,1252.2,60.06,10.533,2.001,801.5,38.44,6.355,1.207,39.98,-106.64,0.68,1
1,T2,2.0,0.6,0.0,0.0,2102.0,1263.3,60.1,10.302,1.957,606.3,28.85,8.808,1.674,40.81,-108.86,,0
1,T2,2.0,0.8,0.0,0.0,2116.2,1269.9,60.01,10.088,1.917,472.6,22.33,11.62,2.208,41.73,-111.3,,0
1,T2,2.0,1.0,0.0,0.0,2128.0,1274.8,59.9,9.895,1.88,373.9,17.57,14.339,2.724,37.85,-100.97,,0
1,T2,2.0,1.5,0.0,0.0,2152.6,1278.5,59.39,9.513,1.808,194.9,9.05,20.262,3.85,39.88,-106.38,,0
1,T2,2.5,0.2,0.0,0.0,2081.8,1077.2,51.74,13.722,2.607,784.1,37.66,0.0,0.0,32.36,-86.31,1.19578,1
1,T2,2.5,0.4,0.0,0.0,2107.2,1096.6,52.04,13.427,2.551,866.3,41.11,5.966,1.134,32.88,-87.71,,0
1,T2,2.5,0.6,0.0,0.0,2125.4,1104.5,51.97,13.165,2.501,672.8,31.66,8.195,1.557,33.73,-89.96,,0
1,T2,2.5,0.8,0.0,0.0,2140.6,1110.3,51.87,12.907,2.452,532.9,24.89,10.783,2.049,34.68,-92.5,,0
1,T2,2.5,1.0,0.0,0.0,2153.4,1111.8,51.63,12.677,2.409,430.6,19.99,13.387,2.544,35.61,-95.0,,0
1,T2,2.5,1.5,0.0,0.0,2179.6,1114.5,51.13,12.233,2.324,256.5,11.77,19.148,3.638,33.08,-88.24,,0
1,T2,3.0,0.2,0.0,0.0,2102.9,965.1,45.9,16.662,3.166,873.1,41.52,0.0,0.0,30.27,-80.74,,0
1,T2,3.0,0.4,0.0,0.0,2129.7,984.4,46.22,16.318,3.1,922.9,43.33,5.666,1.076,30.76,-82.05,,0
1,T2,3.0,0.6,0.0,0.0,2148.4,991.9,46.17,16.018,3.043,726.4,33.81,7.687,1.461,26.81,-71.5,,0
1,T2,3.0,0.8,0.0,0.0,2165.1,995.4,45.97,15.722,2.987,581.8,26.87,10.147,1.928,27.8,-74.17,,0
1,T2,3.0,1.0,0.0,0.0,2179.1,996.2,45.72,15.473,2.94,474.7,21.78,12.611,2.396,28.77,-76.74,,0
1,T2,3.0,1.5,0.0,0.0,2206.0,998.4,45.26,14.953,2.841,297.5,13.49,18.232,3.464,30.94,-82.54,,0
1,T2,4.0,0.2,0.0,0.0,2142.4,821.6,38.35,22.099,4.199,1002.3,46.78,0.0,0.0,21.72,-57.94,,0
1,T2,4.0,0.4,0.0,0.0,2171.9,839.8,38.67,21.676,4.118,1009.0,46.46,5.198,0.988,22.18,-59.15,,0
1,T2,4.0,0.6,0.0,0.0,2192.3,846.4,38.61,21.302,4.047,808.9,36.9,7.023,1.334,23.02,-61.4,,0
1,T2,4.0,0.8,0.0,0.0,2209.7,849.2,38.43,20.99,3.988,656.9,29.73,9.177,1.744,23.93,-63.83,,0
1,T2,4.0,1.0,0.0,0.0,2224.4,847.8,38.11,20.684,3.93,541.3,24.33,11.456,2.177,24.87,-66.35,,0
1,T2,4.0,1.5,0.0,0.0,2255.5,843.8,37.41,20.062,3.812,356.2,15.79,16.816,3.195,22.62,-60.35,,0
103,T2,1.0,0.2,0.0,0.0,2026.0,843.3,41.63,0.871,0.166,780.3,38.51,0.0,0.0,58.28,-124.66,1.01751,1
103,T2,1.0,0.4,0.0,0.0,2049.8,883.0,43.08,0.803,0.153,855.4,41.73,6.267,1.191,58.58,-125.3,1.03756,1
103,T2,1.0,0.6,0.0,0.0,2066.7,907.1,43.89,0.747,0.142,659.3,31.9,8.627,1.639,59.12,-126.46,0.57958,1
103,T2,1.0,0.8,0.0,0.0,2080.9,924.1,44.41,0.7,0.133,520.1,24.99,11.371,2.161,59.74,-127.78,0.25081,1
103,T2,1.0,1.0,0.0,0.0,2093.0,937.4,44.79,0.659,0.125,418.9,20.01,14.083,2.676,60.34,-129.07,,0
103,T2,1.0,1.5,0.0,0.0,2116.6,937.3,44.28,0.576,0.109,245.3,11.59,20.099,3.819,61.67,-131.92,,0
103,T2,1.5,0.2,0.0,0.0,2038.1,1402.8,68.83,8.203,1.559,927.6,45.51,0.0,0.0,46.37,-99.19,-0.09843,1
103,T2,1.5,0.4,0.0,0.0,2064.5,1431.4,69.33,8.02,1.524,955.6,46.29,5.825,1.107,46.7,-99.89,-0.13734,1
103,T2,1.5,0.6,0.0,0.0,2082.6,1450.6,69.65,7.868,1.495,757.4,36.37,7.854,1.492,47.31,-101.19,-0.58686,1
103,T2,1.5,0.8,0.0,0.0,2098.0,1465.0,69.83,7.72,1.467,612.0,29.17,10.328,1.962,43.1,-92.2,,0
103,T2,1.5,1.0,0.0,0.0,2111.5,1473.4,69.78,7.581,1.44,506.2,23.97,12.84,2.44,43.88,-93.87,,0
103,T2,1.5,1.5,0.0,0.0,2137.7,1489.5,69.68,7.283,1.384,333.0,15.58,18.608,3.535,45.66,-97.67,,0
103,T2,2.0,0.2,0.0,0.0,2058.8,1181.2,57.37,11.072,2.104,1032.7,50.16,0.0,0.0,34.24,-73.24,0.9947,1
103,T2,2.0,0.4,0.0,0.0,2087.5,1210.6,57.99,10.831,2.058,1029.6,49.32,5.477,1.041,34.56,-73.92,0.89327,1
103,T2,2.0,0.6,0.0,0.0,2106.7,1226.7,58.23,10.604,2.015,833.2,39.55,7.324,1.392,35.27,-75.43,,0
103,T2,2.0,0.8,0.0,0.0,2123.3,1236.9,58.25,10.393,1.975,681.2,32.08,9.554,1.815,36.08,-77.17,,0
103,T2,2.0,1.0,0.0,0.0,2137.5,1244.5,58.22,10.198,1.938,570.3,26.68,11.909,2.263,36.92,-78.96,,0
103,T2,2.0,1.5,0.0,0.0,2165.2,1256.8,58.05,9.779,1.858,390.8,18.05,17.453,3.316,34.19,-73.13,,0
103,T2,2.5,0.2,0.0,0.0,2082.6,1029.2,49.42,14.131,2.685,1113.5,53.47,0.0,0.0,32.06,-68.59,1.34672,1
103,T2,2.5,0.4,0.0,0.0,2112.7,1056.7,50.02,13.818,2.625,1088.8,51.54,5.168,0.982,32.37,-69.23,,0
103,T2,2.5,0.6,0.0,0.0,2132.7,1070.3,50.18,13.536,2.572,891.8,41.81,6.863,1.304,28.22,-60.35,,0
103,T2,2.5,0.8,0.0,0.0,2150.3,1079.2,50.19,13.276,2.522,735.9,34.22,8.943,1.699,29.07,-62.17,,0
103,T2,2.5,1.0,0.0,0.0,2165.5,1085.6,50.13,13.037,2.477,620.2,28.64,11.187,2.125,29.95,-64.07,,0
103,T2,2.5,1.5,0.0,0.0,2195.1,1091.9,49.74,12.54,2.383,432.6,19.71,16.52,3.139,32.02,-68.49,,0
103,T2,3.0,0.2,0.0,0.0,2106.1,921.4,43.75,17.125,3.254,1178.4,55.95,0.0,0.0,25.13,-53.74,,0
103,T2,3.0,0.6,0.0,0.0,2158.6,958.8,44.42,16.432,3.122,943.3,43.7,6.587,1.252,26.17,-55.98,,0
103,T2,3.0,0.8,0.0,0.0,2176.4,967.3,44.44,16.134,3.065,780.5,35.86,8.48,1.611,26.98,-57.72,,0
103,T2,3.0,1.0,0.0,0.0,2191.8,973.2,44.4,15.86,3.013,659.8,30.1,10.586,2.011,27.85,-59.58,,0
103,T2,3.0,1.5,0.0,0.0,2224.0,976.0,43.88,15.303,2.908,466.8,20.99,15.759,2.994,25.34,-54.2,,0
103,T2,4.0,0.2,0.0,0.0,2147.5,782.1,36.42,22.601,4.294,1277.4,59.48,-0.0,-0.0,21.38,-45.73,,0
103,T2,4.0,0.4,0.0,0.0,2180.1,805.7,36.96,22.182,4.215,445.1,20.42,-0.0,-0.0,21.66,-46.34,,0
103,T2,4.0,0.6,0.0,0.0,2203.0,816.7,37.07,21.777,4.138,1022.1,46.4,6.126,1.164,22.41,-47.93,,0
103,T2,4.0,0.8,0.0,0.0,2222.4,821.7,36.97,21.428,4.071,851.4,38.31,7.753,1.473,18.55,-39.69,,0
103,T2,4.0,1.0,0.0,0.0,2239.8,826.0,36.88,21.114,4.012,722.6,32.26,9.688,1.841,19.44,-41.58,,0
103,T2,4.0,1.5,0.0,0.0,2274.0,824.1,36.24,20.44,3.884,513.4,22.58,14.573,2.769,21.59,-46.18,,0
210,T2,1.0,0.2,0.0,0.0,2028.9,834.7,41.14,0.855,0.162,959.8,47.31,-0.0,-0.0,58.29,-101.32,0.84782,1
210,T2,1.0,0.4,0.0,0.0,2054.8,878.2,42.74,0.785,0.149,973.7,47.39,5.8,1.102,58.5,-101.67,0.86781,1
210,T2,1.0,0.6,0.0,0.0,2072.2,905.2,43.68,0.727,0.138,777.3,37.51,7.783,1.479,58.96,-102.47,0.75385,1
210,T2,1.0,0.8,0.0,0.0,2087.2,924.9,44.31,0.677,0.129,628.8,30.13,10.188,1.936,59.51,-103.42,0.32327,1
210,T2,1.0,1.0,0.0,0.0,2099.8,940.2,44.78,0.634,0.12,522.9,24.9,12.694,2.412,60.07,-104.4,0.00904,1
210,T2,1.0,1.5,0.0,0.0,2125.0,942.4,44.35,0.546,0.104,345.8,16.27,18.455,3.506,56.59,-98.35,,0
210,T2,1.5,0.2,0.0,0.0,2042.8,1396.1,68.34,8.171,1.553,1084.9,53.11,0.0,0.0,41.35,-71.86,0.16477,1
210,T2,1.5,0.4,0.0,0.0,2071.6,1428.2,68.94,8.006,1.521,1066.1,51.46,5.411,1.028,41.57,-72.24,0.00431,1
210,T2,1.5,0.6,0.0,0.0,2090.5,1449.0,69.31,7.859,1.493,871.3,41.68,7.173,1.363,42.15,-73.26,-0.54163,1
210,T2,1.5,0.8,0.0,0.0,2107.0,1465.1,69.54,7.715,1.466,718.1,34.08,9.328,1.772,42.84,-74.45,,0
210,T2,1.5,1.0,0.0,0.0,2121.1,1475.2,69.55,7.579,1.44,605.3,28.54,11.631,2.21,43.56,-75.71,,0
210,T2,1.5,1.5,0.0,0.0,2148.8,1494.3,69.54,7.28,1.383,422.6,19.67,17.114,3.252,45.26,-78.66,,0
210,T2,2.0,0.2,0.0,0.0,2065.8,1173.6,56.81,11.031,2.096,1177.1,56.98,0.0,0.0,34.27,-59.56,1.27946,1
210,T2,2.0,0.6,0.0,0.0,2116.0,1223.4,57.82,10.577,2.01,946.0,44.71,6.759,1.284,35.12,-61.03,,0
210,T2,2.0,0.8,0.0,0.0,2133.0,1235.7,57.93,10.369,1.97,786.3,36.86,8.677,1.649,35.83,-62.28,,0
210,T2,2.0,1.0,0.0,0.0,2147.7,1244.9,57.97,10.174,1.933,666.7,31.04,10.81,2.054,36.61,-63.62,,0
210,T2,2.0,1.5,0.0,0.0,2178.0,1259.7,57.84,9.751,1.853,476.5,21.88,16.068,3.053,33.76,-58.67,,0
210,T2,2.5,0.2,0.0,0.0,2090.1,1021.0,48.85,14.084,2.676,1249.5,59.78,0.0,0.0,27.21,-47.28,1.0547,1
210,T2,2.5,0.4,0.0,0.0,2121.2,1050.7,49.53,13.781,2.618,398.7,18.79,0.0,0.0,27.41,-47.64,,0
210,T2,2.5,0.6,0.0,0.0,2143.1,1065.5,49.72,13.496,2.564,1004.0,46.85,6.452,1.226,28.11,-48.85,,0
210,T2,2.5,0.8,0.0,0.0,2161.0,1076.8,49.83,13.24,2.516,839.6,38.85,8.18,1.554,28.84,-50.13,,0
210,T2,2.5,1.0,0.0,0.0,2176.6,1084.8,49.84,13.001,2.47,715.9,32.89,10.191,1.936,29.66,-51.54,,0
