rank,case,brg,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_mm,y_star_pct
1,offset,UW,2105.8,1003.5,47.65,0.551,0.105,163.7,7.77,17.09,3.247,-175.67,65.86
1,offset,DW,1679.1,782.8,46.62,10.531,2.001,868.5,51.73,9.675,1.838,20.59,7.72
1,offset_adin,UW,2092.9,873.8,41.75,17.341,3.295,1057.2,50.51,5.731,1.089,-41.91,15.71
1,offset_adin,DW,1793.9,847.3,47.23,0.0,0.0,235.7,13.14,32.224,6.123,-54.76,20.53
103,offset,UW,2097.7,948.3,45.2,0.642,0.122,419.4,19.99,14.048,2.669,-129.08,60.34
103,offset,DW,1720.8,736.9,42.82,10.986,2.087,1002.0,58.23,8.568,1.628,39.1,18.28
103,offset_adin,UW,2081.9,993.2,47.71,13.628,2.589,1047.7,50.33,6.64,1.262,-39.28,18.36
103,offset_adin,DW,1809.1,244.5,13.51,1.094,0.208,424.0,23.44,24.103,4.58,-34.45,16.1
210,offset,UW,2102.3,946.3,45.01,0.625,0.119,521.7,24.82,12.672,2.408,-104.4,60.07
210,offset,DW,1740.5,722.0,41.48,11.073,2.104,1066.2,61.26,8.096,1.538,32.32,18.59
210,offset_adin,UW,2091.1,924.8,44.23,14.633,2.78,1201.0,57.43,6.158,1.17,-22.1,12.71
210,offset_adin,DW,1831.6,288.3,15.74,1.04,0.198,410.3,22.4,24.589,4.672,-36.41,20.95
