rank,case,e_off,lc,a_mm,L_eff_mm,sigma_MPa,edge_L_MPa,y_star_mm,tilt_mrad
1,현행,20.742,Mx_max,812.0,5918.0,1110.2,387.9,-56.04,0.1357
1,현행,20.742,Mx_min,812.0,5918.0,1199.1,451.3,-53.24,0.1178
1,현행,20.742,My_max,812.0,5918.0,1390.4,819.2,-130.21,0.38
1,현행,20.742,My_min,812.0,5918.0,2006.8,825.3,-163.05,0.5355
1,현행,20.742,Mz_max,812.0,5918.0,1833.6,406.2,-151.88,0.496
1,현행,20.742,Mz_min,812.0,5918.0,1974.1,755.4,-163.18,0.5253
1,현행,20.742,Myz_max,812.0,5918.0,2096.9,988.4,-175.64,0.566
1,현행,20.742,Myz_min,812.0,5918.0,995.5,208.5,-9.05,0.0169
1,현행,20.742,Fx_max,812.0,5918.0,1367.8,672.1,-68.95,0.1833
1,현행,20.742,Fx_min,812.0,5918.0,1192.3,422.2,-39.1,0.0904
1,현행,20.742,Fy_max,812.0,5918.0,1183.0,414.7,-39.24,0.0911
1,현행,20.742,Fy_min,812.0,5918.0,1326.9,600.0,-66.61,0.1481
1,현행,20.742,Fz_max,812.0,5918.0,975.4,251.3,-39.9,0.0856
1,현행,20.742,Fz_min,812.0,5918.0,1399.5,739.0,-83.6,0.2255
1,현행,20.742,Fyz_max,812.0,5918.0,1068.2,334.8,-42.31,0.1084
1,현행,20.742,Fyz_min,812.0,5918.0,975.4,251.3,-39.9,0.0856
1,가설B,76.5,Mx_max,756.24,5806.5,1116.0,394.4,-56.28,0.1382
1,가설B,76.5,Mx_min,756.24,5806.5,1205.0,459.2,-53.52,0.121
1,가설B,76.5,My_max,756.24,5806.5,1402.4,835.6,-130.33,0.3849
1,가설B,76.5,My_min,756.24,5806.5,2023.8,861.8,-163.09,0.5445
1,가설B,76.5,Mz_max,756.24,5806.5,1850.2,456.0,-151.91,0.5039
1,가설B,76.5,Mz_min,756.24,5806.5,1990.4,793.6,-163.21,0.5337
1,가설B,76.5,Myz_max,756.24,5806.5,2114.7,1018.4,-175.71,0.5754
1,가설B,76.5,Myz_min,756.24,5806.5,1001.0,215.4,-9.56,0.0205
1,가설B,76.5,Fx_max,756.24,5806.5,1375.0,683.2,-81.08,0.1874
1,가설B,76.5,Fx_min,756.24,5806.5,1198.1,429.5,-39.32,0.0929
1,가설B,76.5,Fy_max,756.24,5806.5,1189.2,422.3,-39.47,0.0937
1,가설B,76.5,Fy_min,756.24,5806.5,1334.9,611.2,-66.82,0.1516
1,가설B,76.5,Fz_max,756.24,5806.5,981.3,256.5,-40.14,0.0874
1,가설B,76.5,Fz_min,756.24,5806.5,1409.7,754.1,-83.79,0.2302
1,가설B,76.5,Fyz_max,756.24,5806.5,1073.4,340.6,-42.55,0.1108
1,가설B,76.5,Fyz_min,756.24,5806.5,981.3,256.5,-40.14,0.0874
103,현행,20.742,Mx_max,813.23,5958.5,1125.1,382.7,-33.76,0.1268
103,현행,20.742,Mx_min,813.23,5958.5,1213.3,448.4,-31.85,0.1115
103,현행,20.742,My_max,813.23,5958.5,1391.8,794.5,-91.93,0.3665
103,현행,20.742,My_min,813.23,5958.5,1998.4,750.6,-118.84,0.5142
103,현행,20.742,Mz_max,813.23,5958.5,1831.7,301.1,-119.66,0.4773
103,현행,20.742,Mz_min,813.23,5958.5,1973.3,688.6,-118.86,0.5035
103,현행,20.742,Myz_max,813.23,5958.5,2092.9,939.3,-129.06,0.5459
103,현행,20.742,Myz_min,813.23,5958.5,988.0,201.0,-6.87,0.0166
103,현행,20.742,Fx_max,813.23,5958.5,1382.2,665.6,-53.46,0.1756
103,현행,20.742,Fx_min,813.23,5958.5,1205.7,421.1,-30.02,0.0855
103,현행,20.742,Fy_max,813.23,5958.5,1196.7,413.9,-30.11,0.0863
103,현행,20.742,Fy_min,813.23,5958.5,1341.2,594.9,-42.24,0.1407
103,현행,20.742,Fz_max,813.23,5958.5,985.6,249.9,-22.32,0.0842
103,현행,20.742,Fz_min,813.23,5958.5,1405.1,714.4,-64.63,0.2087
103,현행,20.742,Fyz_max,813.23,5958.5,1083.0,334.2,-32.11,0.1043
103,현행,20.742,Fyz_min,813.23,5958.5,985.6,249.9,-22.32,0.0842
103,가설B,61.0,Mx_max,772.97,5877.9,1129.2,387.3,-33.88,0.1288
103,가설B,61.0,Mx_min,772.97,5877.9,1217.4,453.9,-31.98,0.1138
103,가설B,61.0,My_max,772.97,5877.9,1400.4,806.6,-92.03,0.3706
103,가설B,61.0,My_min,772.97,5877.9,2010.8,780.8,-129.2,0.5215
103,가설B,61.0,Mz_max,772.97,5877.9,1843.6,347.0,-119.7,0.4837
103,가설B,61.0,Mz_min,772.97,5877.9,1985.0,719.5,-118.88,0.5103
103,가설B,61.0,Myz_max,772.97,5877.9,2105.7,963.3,-129.1,0.5535
103,가설B,61.0,Myz_min,772.97,5877.9,991.4,204.4,-7.01,0.0179
103,가설B,61.0,Fx_max,772.97,5877.9,1387.3,673.4,-53.58,0.1787
103,가설B,61.0,Fx_min,772.97,5877.9,1210.0,426.4,-30.14,0.0874
103,가설B,61.0,Fy_max,772.97,5877.9,1201.3,419.4,-30.23,0.0882
103,가설B,61.0,Fy_min,772.97,5877.9,1346.9,602.9,-42.35,0.1433
103,가설B,61.0,Fz_max,772.97,5877.9,989.9,253.8,-22.43,0.0856
103,가설B,61.0,Fz_min,772.97,5877.9,1412.6,725.1,-64.75,0.2123
103,가설B,61.0,Fyz_max,772.97,5877.9,1086.8,338.3,-32.25,0.1061
