rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
103,base,DIN off 0,,,,,,,2092.9,939.3,1.41,-129.06,60.3,418.5,30.11,396.3,0.0,1
103,S1,sym K1=1.0 K2=0.4 zm=40,1.0,0.4,40.0,1.0,0.4,40.0,2464.4,2464.4,0.0,-213.9,100.0,749.8,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.4 zm=80,1.0,0.4,80.0,1.0,0.4,80.0,2348.5,2348.5,0.0,-213.9,100.0,244.6,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.4 zm=150,1.0,0.4,150.0,1.0,0.4,150.0,2284.4,2195.0,0.0,-203.01,94.9,652.7,3.13,424.7,,0
103,S1,sym K1=1.0 K2=0.4 zm=250,1.0,0.4,250.0,1.0,0.4,250.0,2330.4,1974.7,0.0,-203.06,94.9,749.8,4.97,422.8,,0
103,S1,sym K1=1.0 K2=0.4 zm=400,1.0,0.4,400.0,1.0,0.4,400.0,2297.5,2171.4,1.26,-201.85,94.4,795.5,5.85,420.7,,0
103,S1,sym K1=1.0 K2=0.4 zm=600,1.0,0.4,600.0,1.0,0.4,600.0,2425.0,2425.0,3.37,-210.53,98.4,818.4,6.3,418.1,,0
103,S1,sym K1=1.0 K2=0.55 zm=40,1.0,0.55,40.0,1.0,0.55,40.0,2467.6,2467.6,0.0,-213.9,100.0,753.7,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.55 zm=80,1.0,0.55,80.0,1.0,0.55,80.0,2342.9,2342.9,0.0,-213.9,100.0,161.7,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.55 zm=150,1.0,0.55,150.0,1.0,0.55,150.0,2264.1,2184.7,0.0,-203.01,94.9,567.8,3.17,424.6,,0
103,S1,sym K1=1.0 K2=0.55 zm=250,1.0,0.55,250.0,1.0,0.55,250.0,2310.3,1962.9,0.0,-203.06,94.9,678.5,5.06,422.7,,0
103,S1,sym K1=1.0 K2=0.55 zm=400,1.0,0.55,400.0,1.0,0.55,400.0,2281.9,2139.2,1.23,-201.88,94.4,728.7,5.91,420.7,,0
103,S1,sym K1=1.0 K2=0.55 zm=600,1.0,0.55,600.0,1.0,0.55,600.0,2402.9,2402.9,3.37,-210.53,98.4,753.0,6.34,418.1,,0
103,S1,sym K1=1.0 K2=0.7 zm=40,1.0,0.7,40.0,1.0,0.7,40.0,2473.8,2473.8,0.0,-213.9,100.0,766.8,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.7 zm=80,1.0,0.7,80.0,1.0,0.7,80.0,2343.3,2343.3,0.0,-213.9,100.0,133.4,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.7 zm=150,1.0,0.7,150.0,1.0,0.7,150.0,2251.5,2181.3,0.0,-203.01,94.9,505.7,3.16,424.6,,0
103,S1,sym K1=1.0 K2=0.7 zm=250,1.0,0.7,250.0,1.0,0.7,250.0,2297.8,1958.6,0.0,-203.06,94.9,629.4,5.1,422.7,,0
103,S1,sym K1=1.0 K2=0.7 zm=400,1.0,0.7,400.0,1.0,0.7,400.0,2273.9,2112.9,1.2,-201.92,94.4,683.5,5.95,420.7,,0
103,S1,sym K1=1.0 K2=0.7 zm=600,1.0,0.7,600.0,1.0,0.7,600.0,2389.7,2389.7,3.37,-210.53,98.4,708.9,6.37,418.1,,0
103,S1,sym K1=1.0 K2=0.85 zm=40,1.0,0.85,40.0,1.0,0.85,40.0,2481.4,2481.4,0.0,-213.9,100.0,784.0,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.85 zm=80,1.0,0.85,80.0,1.0,0.85,80.0,2347.1,2347.1,0.0,-213.9,100.0,155.1,0.0,427.8,,0
103,S1,sym K1=1.0 K2=0.85 zm=150,1.0,0.85,150.0,1.0,0.85,150.0,2243.7,2181.8,0.0,-203.01,94.9,459.3,3.12,424.7,,0
103,S1,sym K1=1.0 K2=0.85 zm=250,1.0,0.85,250.0,1.0,0.85,250.0,2290.0,1958.7,0.0,-203.06,94.9,595.3,5.13,422.7,,0
103,S1,sym K1=1.0 K2=0.85 zm=400,1.0,0.85,400.0,1.0,0.85,400.0,2270.7,2090.2,1.15,-201.96,94.4,652.7,5.97,420.7,,0
103,S1,sym K1=1.0 K2=0.85 zm=600,1.0,0.85,600.0,1.0,0.85,600.0,2381.8,2381.8,3.36,-210.54,98.4,679.0,6.39,418.1,,0
103,S1,sym K1=1.0 K2=1.0 zm=40,1.0,1.0,40.0,1.0,1.0,40.0,2489.8,2489.8,0.0,-213.9,100.0,803.1,0.0,427.8,,0
103,S1,sym K1=1.0 K2=1.0 zm=80,1.0,1.0,80.0,1.0,1.0,80.0,2353.1,2353.1,0.0,-213.9,100.0,199.4,0.0,427.8,,0
103,S1,sym K1=1.0 K2=1.0 zm=150,1.0,1.0,150.0,1.0,1.0,150.0,2239.1,2184.9,0.0,-203.01,94.9,424.6,3.06,424.7,,0
103,S1,sym K1=1.0 K2=1.0 zm=250,1.0,1.0,250.0,1.0,1.0,250.0,2285.4,1961.9,0.0,-203.06,94.9,572.2,5.13,422.7,,0
103,S1,sym K1=1.0 K2=1.0 zm=400,1.0,1.0,400.0,1.0,1.0,400.0,2270.8,2069.8,1.11,-202.01,94.4,632.6,5.98,420.7,,0
103,S1,sym K1=1.0 K2=1.0 zm=600,1.0,1.0,600.0,1.0,1.0,600.0,2377.6,2377.6,3.34,-210.56,98.4,659.6,6.4,418.1,,0
103,S1,sym K1=2.0 K2=0.4 zm=40,2.0,0.4,40.0,2.0,0.4,40.0,2457.2,2457.2,0.0,-213.9,100.0,724.4,0.0,427.8,,0
103,S1,sym K1=2.0 K2=0.4 zm=80,2.0,0.4,80.0,2.0,0.4,80.0,2295.1,2295.1,0.0,-213.9,100.0,803.8,10.97,416.8,,0
103,S1,sym K1=2.0 K2=0.4 zm=150,2.0,0.4,150.0,2.0,0.4,150.0,2189.6,2055.9,0.0,-203.04,94.9,838.0,14.95,412.9,,0
103,S1,sym K1=2.0 K2=0.4 zm=250,2.0,0.4,250.0,2.0,0.4,250.0,2227.7,1783.8,0.0,-203.08,94.9,882.8,16.75,411.1,,0
103,S1,sym K1=2.0 K2=0.4 zm=400,2.0,0.4,400.0,2.0,0.4,400.0,2212.5,1948.2,1.31,-201.82,94.4,893.7,17.25,409.2,,0
103,S1,sym K1=2.0 K2=0.4 zm=600,2.0,0.4,600.0,2.0,0.4,600.0,2208.1,2208.1,3.56,-210.34,98.3,898.1,17.43,406.8,,0
103,S1,sym K1=2.0 K2=0.55 zm=40,2.0,0.55,40.0,2.0,0.55,40.0,2466.0,2466.0,0.0,-213.9,100.0,744.2,0.0,427.8,,0
103,S1,sym K1=2.0 K2=0.55 zm=80,2.0,0.55,80.0,2.0,0.55,80.0,2301.5,2301.5,0.0,-213.9,100.0,738.0,10.97,416.8,,0
103,S1,sym K1=2.0 K2=0.55 zm=150,2.0,0.55,150.0,2.0,0.55,150.0,2149.5,2043.3,0.0,-203.04,94.9,749.0,15.16,412.6,,0
103,S1,sym K1=2.0 K2=0.55 zm=250,2.0,0.55,250.0,2.0,0.55,250.0,2183.1,1756.4,0.0,-203.09,94.9,791.0,17.04,410.8,,0
103,S1,sym K1=2.0 K2=0.55 zm=400,2.0,0.55,400.0,2.0,0.55,400.0,2175.9,1874.6,1.25,-201.88,94.4,802.0,17.43,409.1,,0
103,S1,sym K1=2.0 K2=0.55 zm=600,2.0,0.55,600.0,2.0,0.55,600.0,2156.6,2156.6,3.59,-210.31,98.3,805.7,17.54,406.7,,0
103,S1,sym K1=2.0 K2=0.7 zm=40,2.0,0.7,40.0,2.0,0.7,40.0,2476.8,2476.8,0.0,-213.9,100.0,769.7,0.0,427.8,,0
103,S1,sym K1=2.0 K2=0.7 zm=80,2.0,0.7,80.0,2.0,0.7,80.0,2314.6,2314.6,0.0,-213.9,100.0,704.9,10.97,416.8,,0
103,S1,sym K1=2.0 K2=0.7 zm=150,2.0,0.7,150.0,2.0,0.7,150.0,2126.0,2044.6,0.0,-203.04,94.9,686.4,15.21,412.6,,0
103,S1,sym K1=2.0 K2=0.7 zm=250,2.0,0.7,250.0,2.0,0.7,250.0,2155.0,1746.2,0.0,-203.1,94.9,727.0,17.23,410.6,,0
103,S1,sym K1=2.0 K2=0.7 zm=400,2.0,0.7,400.0,2.0,0.7,400.0,2155.7,1814.1,1.17,-201.97,94.4,737.7,17.55,409.1,,0
103,S1,sym K1=2.0 K2=0.7 zm=600,2.0,0.7,600.0,2.0,0.7,600.0,2130.3,2124.7,3.59,-188.91,88.3,740.9,17.62,406.6,,0
103,S1,sym K1=2.0 K2=0.85 zm=40,2.0,0.85,40.0,2.0,0.85,40.0,2488.2,2488.2,0.0,-213.9,100.0,796.8,0.0,427.8,,0
103,S1,sym K1=2.0 K2=0.85 zm=80,2.0,0.85,80.0,2.0,0.85,80.0,2331.0,2331.0,0.0,-213.9,100.0,692.4,10.97,416.8,,0
103,S1,sym K1=2.0 K2=0.85 zm=150,2.0,0.85,150.0,2.0,0.85,150.0,2112.7,2054.0,0.0,-203.04,94.9,641.2,15.13,412.7,,0
