rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
1,base,DIN off 0,,,,,,,2096.9,988.4,1.55,-175.64,65.8,162.9,45.77,486.2,0.0,1
130,base,DIN off 0,,,,,,,2097.9,1003.6,1.08,-136.63,65.5,327.2,31.43,384.6,0.0,1
210,base,DIN off 0,,,,,,,2099.8,941.7,1.1,-104.39,60.1,521.2,22.05,324.5,0.0,1
1,S0,JG 대조 ×1,1.0,1.0,67.7,1.0,1.0,67.7,2463.3,2461.1,0.0,-266.75,100.0,539.2,13.68,519.8,,0
1,S0,JG 대조 ×4,1.0,1.0,270.6,1.0,1.0,270.6,2080.5,1643.0,0.0,-188.69,70.7,8.0,39.12,494.4,-0.74243,1
1,S0,JG 대조 ×8,1.0,1.0,541.3,1.0,1.0,541.3,2137.0,1363.2,16.37,-126.96,47.6,720.6,72.81,444.3,,0
130,S0,JG 대조 ×1,1.0,1.0,54.6,1.0,1.0,54.6,2441.5,2441.5,0.0,-208.55,100.0,100.2,0.0,417.1,,0
130,S0,JG 대조 ×4,1.0,1.0,218.6,1.0,1.0,218.6,2081.1,1575.5,0.0,-136.75,65.6,263.1,27.32,389.8,-0.57593,1
130,S0,JG 대조 ×8,1.0,1.0,437.1,1.0,1.0,437.1,2152.5,1333.6,13.65,-88.06,42.2,167.6,44.07,359.4,,0
210,S0,JG 대조 ×1,1.0,1.0,56.5,1.0,1.0,56.5,2383.4,2383.4,0.0,-173.8,100.0,702.9,0.0,347.6,,0
210,S0,JG 대조 ×4,1.0,1.0,225.9,1.0,1.0,225.9,2083.1,1413.1,0.0,-104.66,60.2,483.6,19.17,328.4,-0.50954,1
210,S0,JG 대조 ×8,1.0,1.0,451.8,1.0,1.0,451.8,2182.9,1271.0,12.69,-63.38,36.5,317.4,33.56,301.3,,0
1,S1,sym K1=1.0 K2=0.4 zm=40,1.0,0.4,40.0,1.0,0.4,40.0,2529.4,2527.1,0.0,-266.75,100.0,235.4,0.0,533.5,,0
1,S1,sym K1=1.0 K2=0.4 zm=80,1.0,0.4,80.0,1.0,0.4,80.0,9000000000.0,9000000000.0,0.0,,,9000000000.0,0.0,0.0,,0
1,S1,sym K1=1.0 K2=0.4 zm=150,1.0,0.4,150.0,1.0,0.4,150.0,2321.6,2285.1,0.0,-253.21,94.9,727.1,19.15,514.3,,0
1,S1,sym K1=1.0 K2=0.4 zm=250,1.0,0.4,250.0,1.0,0.4,250.0,2362.7,2095.7,0.0,-253.25,94.9,281.7,7.12,526.4,,0
1,S1,sym K1=1.0 K2=0.4 zm=400,1.0,0.4,400.0,1.0,0.4,400.0,2399.8,1917.8,0.42,-252.86,94.8,364.8,7.83,525.3,,0
1,S1,sym K1=1.0 K2=0.4 zm=600,1.0,0.4,600.0,1.0,0.4,600.0,2478.4,2476.2,3.47,-263.28,98.7,397.6,8.2,521.8,,0
