rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
1,K2cap,K1=4.0 K2=0.35 zmL=250 r=0.15,4.0,0.35,250.0,4.0,0.35,37.5,2190.7,1685.6,0.0,-225.71,84.6,429.9,0.0,533.5,,0
1,K2cap,K1=4.0 K2=0.35 zmL=250 r=0.3,4.0,0.35,250.0,4.0,0.35,75.0,2193.7,1693.6,0.0,-225.71,84.6,487.9,13.68,519.8,,0
1,K2cap,K1=4.0 K2=0.35 zmL=250 r=0.5,4.0,0.35,250.0,4.0,0.35,125.0,2194.8,1689.2,0.0,-226.31,84.8,513.7,21.28,512.2,,0
1,K2cap,K1=4.0 K2=0.35 zmL=400 r=0.15,4.0,0.35,400.0,4.0,0.35,60.0,2206.3,1269.6,0.33,-225.4,84.5,603.4,13.67,519.5,,0
1,K2cap,K1=4.0 K2=0.35 zmL=400 r=0.3,4.0,0.35,400.0,4.0,0.35,120.0,2208.2,1231.7,0.27,-225.99,84.7,524.7,20.3,512.9,,0
1,K2cap,K1=4.0 K2=0.35 zmL=400 r=0.5,4.0,0.35,400.0,4.0,0.35,200.0,2209.9,1197.0,0.23,-226.57,84.9,592.7,27.29,506.0,,0
1,K2cap,K1=4.0 K2=0.35 zmL=600 r=0.15,4.0,0.35,600.0,4.0,0.35,90.0,9000000000.0,9000000000.0,0.0,,,9000000000.0,0.0,0.0,,0
1,K2cap,K1=4.0 K2=0.35 zmL=600 r=0.3,4.0,0.35,600.0,4.0,0.35,180.0,2197.6,1847.5,4.17,-222.84,83.5,568.6,25.92,503.4,,0
1,K2cap,K1=4.0 K2=0.35 zmL=600 r=0.5,4.0,0.35,600.0,4.0,0.35,300.0,2197.6,1847.4,4.16,-223.14,83.7,627.9,29.63,499.7,,0
1,K2cap,K1=4.0 K2=0.35 zmL=900 r=0.15,4.0,0.35,900.0,4.0,0.35,135.0,2202.0,1932.3,6.1,-220.73,82.7,528.5,21.67,505.7,,0
1,K2cap,K1=4.0 K2=0.35 zmL=900 r=0.3,4.0,0.35,900.0,4.0,0.35,270.0,2201.9,1932.6,6.08,-221.33,83.0,621.2,29.09,498.3,,0
1,K2cap,K1=4.0 K2=0.35 zmL=900 r=0.5,4.0,0.35,900.0,4.0,0.35,450.0,2201.9,1932.7,6.08,-221.43,83.0,628.9,30.38,497.0,,0
1,K2cap,K1=6.0 K2=0.35 zmL=250 r=0.15,6.0,0.35,250.0,6.0,0.35,37.5,2188.6,1562.2,0.0,-212.03,79.5,464.0,0.0,533.5,,0
1,K2cap,K1=6.0 K2=0.35 zmL=250 r=0.3,6.0,0.35,250.0,6.0,0.35,75.0,2192.4,1572.3,0.0,-212.03,79.5,467.1,13.68,519.8,,0
1,K2cap,K1=6.0 K2=0.35 zmL=250 r=0.5,6.0,0.35,250.0,6.0,0.35,125.0,2192.4,1571.9,0.0,-212.9,79.8,452.2,21.96,511.5,,0
1,K2cap,K1=6.0 K2=0.35 zmL=400 r=0.15,6.0,0.35,400.0,6.0,0.35,60.0,2213.5,779.2,0.24,-211.81,79.4,615.6,13.67,519.6,,0
1,K2cap,K1=6.0 K2=0.35 zmL=400 r=0.3,6.0,0.35,400.0,6.0,0.35,120.0,2214.0,728.4,0.14,-212.62,79.7,471.9,20.48,512.9,,0
1,K2cap,K1=6.0 K2=0.35 zmL=400 r=0.5,6.0,0.35,400.0,6.0,0.35,200.0,2214.5,667.6,0.08,-200.4,75.1,578.6,29.74,503.7,,0
1,K2cap,K1=6.0 K2=0.35 zmL=600 r=0.15,6.0,0.35,600.0,6.0,0.35,90.0,2213.6,1375.8,4.9,-207.63,77.8,394.6,13.55,515.0,,0
1,K2cap,K1=6.0 K2=0.35 zmL=600 r=0.3,6.0,0.35,600.0,6.0,0.35,180.0,2216.4,1370.8,4.85,-209.19,78.4,551.8,27.89,500.8,,0
1,K2cap,K1=6.0 K2=0.35 zmL=600 r=0.5,6.0,0.35,600.0,6.0,0.35,300.0,2216.8,1368.8,4.83,-209.86,78.7,614.9,34.14,494.5,,0
1,K2cap,K1=6.0 K2=0.35 zmL=900 r=0.15,6.0,0.35,900.0,6.0,0.35,135.0,2214.7,1484.4,6.74,-206.9,77.6,478.1,22.22,504.5,,0
1,K2cap,K1=6.0 K2=0.35 zmL=900 r=0.3,6.0,0.35,900.0,6.0,0.35,270.0,2217.1,1481.8,6.72,-208.05,78.0,600.6,32.95,493.8,,0
1,K2cap,K1=6.0 K2=0.35 zmL=900 r=0.5,6.0,0.35,900.0,6.0,0.35,450.0,2217.8,1481.0,6.72,-208.43,78.1,654.1,36.55,490.2,,0
1,K2cap,K1=8.0 K2=0.35 zmL=250 r=0.15,8.0,0.35,250.0,8.0,0.35,37.5,2188.1,1504.9,0.0,-212.03,79.5,483.8,0.0,533.5,,0
1,K2cap,K1=8.0 K2=0.35 zmL=250 r=0.3,8.0,0.35,250.0,8.0,0.35,75.0,2192.5,1516.3,0.0,-212.03,79.5,459.5,13.68,519.8,,0
1,K2cap,K1=8.0 K2=0.35 zmL=250 r=0.5,8.0,0.35,250.0,8.0,0.35,125.0,2194.6,1518.5,0.0,-199.48,74.8,416.2,22.28,511.2,,0
1,K2cap,K1=8.0 K2=0.35 zmL=400 r=0.15,8.0,0.35,400.0,8.0,0.35,60.0,2223.2,150.8,0.14,-198.23,74.3,629.0,13.68,519.7,,0
1,K2cap,K1=8.0 K2=0.35 zmL=400 r=0.3,8.0,0.35,400.0,8.0,0.35,120.0,2226.6,1849.0,13.51,-199.23,74.7,440.2,20.39,499.6,,0
1,K2cap,K1=8.0 K2=0.35 zmL=400 r=0.5,8.0,0.35,400.0,8.0,0.35,200.0,2229.0,1843.9,13.23,-200.62,75.2,553.6,30.94,489.3,,0
1,K2cap,K1=8.0 K2=0.35 zmL=600 r=0.15,8.0,0.35,600.0,8.0,0.35,90.0,2228.8,907.8,5.7,-206.92,77.6,402.3,13.53,514.3,,0
1,K2cap,K1=8.0 K2=0.35 zmL=600 r=0.3,8.0,0.35,600.0,8.0,0.35,180.0,2230.3,895.1,5.63,-208.57,78.2,539.9,28.65,499.2,,0
