rank,lc,y_star_mm,sign,sigma_MPa,tilt_mrad,margin_L_mm,margin_R_mm,edge_L_MPa,edge_R_MPa
1,Mx_max,-56.04,-1,1110.2,0.1357,47.9,94.85,387.9,407.7
1,Mx_min,-53.24,-1,1199.1,0.1178,43.25,70.28,451.3,162.5
1,My_max,-130.21,-1,1390.4,0.38,24.67,106.11,819.2,362.8
1,My_min,-163.05,-1,2006.8,0.5355,2.32,49.64,825.3,43.9
1,Mz_max,-151.88,-1,1833.6,0.496,3.99,73.67,406.2,543.9
1,Mz_min,-163.18,-1,1974.1,0.5253,2.6,63.9,755.4,637.1
1,Myz_max,-175.64,-1,2096.9,0.566,1.55,45.77,988.4,162.9
1,Myz_min,-9.05,-1,995.5,0.0169,70.02,77.7,208.5,155.4
1,Fx_max,-68.95,-1,1367.8,0.1833,31.29,62.15,672.1,196.1
1,Fx_min,-39.1,-1,1192.3,0.0904,45.63,66.96,422.2,199.5
1,Fy_max,-39.24,-1,1183.0,0.0911,46.21,68.03,414.7,191.3
1,Fy_min,-66.61,-1,1326.9,0.1481,34.57,61.34,600.0,221.4
1,Fz_max,-39.9,-1,975.4,0.0856,63.53,102.51,251.3,362.5
1,Fz_min,-83.6,-1,1399.5,0.2255,28.63,65.1,739.0,135.7
1,Fyz_max,-42.31,-1,1068.2,0.1084,53.22,84.33,334.8,62.3
1,Fyz_min,-39.9,-1,975.4,0.0856,63.53,102.51,251.3,362.5
103,Mx_max,-33.76,-1,1125.1,0.1268,38.99,62.39,382.7,110.7
103,Mx_min,-31.85,-1,1213.3,0.1115,34.96,52.68,448.4,205.8
103,My_max,-91.93,-1,1391.8,0.3665,20.8,75.92,794.5,416.1
103,My_min,-118.84,-1,1998.4,0.5142,2.07,33.08,750.6,347.7
103,Mz_max,-119.66,-1,1831.7,0.4773,3.47,41.09,301.1,167.0
103,Mz_min,-118.86,-1,1973.3,0.5035,2.25,33.77,688.6,334.5
103,Myz_max,-129.06,-1,2092.9,0.5459,1.41,30.11,939.3,418.5
103,Myz_min,-6.87,-1,988.0,0.0166,57.06,62.46,201.0,155.0
103,Fx_max,-53.46,-1,1382.2,0.1756,25.45,45.59,665.6,260.9
103,Fx_min,-30.02,-1,1205.7,0.0855,36.7,50.74,421.1,232.5
103,Fy_max,-30.11,-1,1196.7,0.0863,37.15,51.54,413.9,224.6
103,Fy_min,-42.24,-1,1341.2,0.1407,28.03,45.48,594.9,273.7
103,Fz_max,-22.32,-1,985.6,0.0842,51.15,71.01,249.9,64.8
103,Fz_min,-64.63,-1,1405.1,0.2087,23.86,47.0,714.4,230.0
103,Fyz_max,-32.11,-1,1083.0,0.1043,42.85,63.65,334.2,113.3
103,Fyz_min,-22.32,-1,985.6,0.0842,51.15,71.01,249.9,64.8
210,Mx_max,-26.32,-1,1135.8,0.1176,31.57,48.0,384.1,147.1
210,Mx_min,-25.06,-1,1227.6,0.1045,28.03,40.43,455.1,237.2
210,My_max,-73.64,-1,1390.6,0.3561,17.12,58.72,786.6,438.2
210,My_min,-95.99,-1,2000.9,0.4977,1.67,24.46,744.5,439.9
210,Mz_max,-88.41,-1,1833.5,0.4703,2.76,30.86,313.3,256.7
210,Mz_min,-95.98,-1,1981.7,0.4882,1.78,24.79,695.9,431.7
210,Myz_max,-104.39,-1,2099.8,0.5291,1.1,22.05,941.7,521.2
210,Myz_min,-5.12,-1,994.5,0.0138,45.94,49.36,203.3,167.1
210,Fx_max,-42.65,-1,1397.0,0.1667,20.44,34.58,674.1,303.8
210,Fx_min,-16.2,-1,1221.2,0.0799,29.28,39.04,430.1,260.9
210,Fy_max,-16.32,-1,1210.0,0.0812,29.73,39.83,421.2,250.7
210,Fy_min,-33.63,-1,1354.7,0.1338,22.48,34.83,602.8,308.6
210,Fz_max,-17.3,-1,993.3,0.0795,41.34,55.61,251.3,91.4
210,Fz_min,-43.9,-1,1412.0,0.2008,19.34,36.06,715.7,268.8
210,Fyz_max,-24.64,-1,1094.1,0.0897,34.99,48.59,331.2,152.5
210,Fyz_min,-17.3,-1,993.3,0.0795,41.34,55.61,251.3,91.4
