rank,lc,y_star_mm,sign,sigma_MPa,tilt_mrad,margin_L_mm,margin_R_mm,edge_L_MPa,edge_R_MPa
103,Mx_max,-33.76,-1,1125.1,0.1268,38.99,62.39,382.7,110.7
103,Mx_min,-31.85,-1,1213.3,0.1115,34.96,52.68,448.4,205.8
103,My_max,-91.93,-1,1391.8,0.3665,20.8,75.92,794.5,416.1
103,My_min,-118.84,-1,1998.4,0.5142,2.07,33.08,750.6,347.7
103,Mz_max,-119.66,-1,1831.7,0.4773,3.47,41.09,301.1,167.0
103,Mz_min,-118.86,-1,1973.3,0.5035,2.25,33.77,688.6,334.5
103,Myz_max,-129.06,-1,2092.9,0.5459,1.41,30.11,939.3,418.5
103,Myz_min,-6.87,-1,988.0,0.0166,57.06,62.46,201.0,155.0
103,Fx_max,-53.46,-1,1382.2,0.1756,25.45,45.59,665.6,260.9
103,Fx_min,-30.02,-1,1205.7,0.0855,36.7,50.74,421.1,232.5
103,Fy_max,-30.11,-1,1196.7,0.0863,37.15,51.54,413.9,224.6
103,Fy_min,-42.24,-1,1341.2,0.1407,28.03,45.48,594.9,273.7
103,Fz_max,-22.32,-1,985.6,0.0842,51.15,71.01,249.9,64.8
103,Fz_min,-64.63,-1,1405.1,0.2087,23.86,47.0,714.4,230.0
103,Fyz_max,-32.11,-1,1083.0,0.1043,42.85,63.65,334.2,113.3
103,Fyz_min,-22.32,-1,985.6,0.0842,51.15,71.01,249.9,64.8
