rank,case,DLC,D30_UW,D30_DW,k
1,off,DLC1.2-a-s1,0.0067421588456078934,0.00020394509633094772,0.17
1,off,DLC1.2-a-s2,0.006757094181468129,0.0002058535457150071,0.16
1,off,DLC1.2-a-s3,0.006793486542098708,0.00021053167545597617,0.16
1,off,DLC1.2-a-s4,0.006881553324992555,0.00021547384593301866,0.16
1,off,DLC1.2-a-s5,0.00697316670249832,0.0002283066816470797,0.18
1,off,DLC1.2-a-s6,0.006810484800011449,0.00020860246751191162,0.17
1,off,DLC1.2-b-s1,0.0063072792234190635,0.00015601222764252413,0.18
1,off,DLC1.2-b-s2,0.006190795029267428,0.00015313849690867085,0.18
1,off,DLC1.2-b-s3,0.006128381191953861,0.00015384256157455648,0.18
1,off,DLC1.2-b-s4,0.006157743697283443,0.00014871728762882793,0.18
1,off,DLC1.2-b-s5,0.006331181889174137,0.00017477739753224487,0.18
1,off,DLC1.2-b-s6,0.006097302189491593,0.00014942957046491806,0.18
1,off,DLC1.2-c-s1,0.0040091323618116825,0.0001965247398340511,0.17
1,off,DLC1.2-c-s2,0.004115235806358987,0.00019231749421226975,0.19
1,off,DLC1.2-c-s3,0.004079064919215617,0.0001669123960870286,0.18
1,off,DLC1.2-c-s4,0.0038859689878247387,0.00019285436903134894,0.19
1,off,DLC1.2-c-s5,0.003962158998796086,0.00019983192666154785,0.17
1,off,DLC1.2-c-s6,0.004140798983193805,0.00022752339384169408,0.18
1,off,DLC1.2-d-s1,0.00449534078864642,0.0002749737055723302,0.18
1,off,DLC1.2-d-s2,0.004350064251466077,0.00022020921413761535,0.18
1,off,DLC1.2-d-s3,0.004247259155595794,0.00023024441674986945,0.17
1,off,DLC1.2-d-s4,0.00422732269225018,0.00022745911816675885,0.18
1,off,DLC1.2-d-s5,0.004465852038279164,0.00028412270816526367,0.19
1,off,DLC1.2-d-s6,0.004201326306550507,0.00023644867822848796,0.18
1,off,DLC1.2-e-s1,0.0031019881018654306,0.00018307663262765746,0.21
1,off,DLC1.2-e-s2,0.0030712866855599924,0.0001844764721146546,0.21
1,off,DLC1.2-e-s3,0.0025901392462783063,0.00012823751688595137,0.19
1,off,DLC1.2-e-s4,0.0029079612996802296,0.00015827473420565794,0.21
1,off,DLC1.2-e-s5,0.002903347968755357,0.0001909313729676388,0.2
1,off,DLC1.2-e-s6,0.0028601661027760025,0.0001535024433526888,0.2
1,off,DLC1.2-f-s1,0.0012844899943985871,6.847622472609579e-05,0.25
1,off,DLC1.2-f-s2,0.0012156730327191792,5.3623858604466535e-05,0.25
1,off,DLC1.2-f-s3,0.001377047865991678,9.677441751700372e-05,0.25
1,off,DLC1.2-f-s4,0.0013176203793472544,7.700306607581212e-05,0.25
1,off,DLC1.2-f-s5,0.0013443846364083237,8.230650990677694e-05,0.24
1,off,DLC1.2-f-s6,0.001321823646382465,7.406983187684959e-05,0.27
1,off,DLC1.2-g-s1,0.0005716496768069187,3.408339210595271e-05,0.29
1,off,DLC1.2-g-s2,0.0005999547452643639,4.095850221558934e-05,0.28
1,off,DLC1.2-g-s3,0.0005539086059074027,2.7805359270460257e-05,0.29
1,off,DLC1.2-g-s4,0.0006252272150077955,3.6386084086898645e-05,0.29
1,off,DLC1.2-g-s5,0.00059772357509911,3.1659483663843645e-05,0.32
1,off,DLC1.2-g-s6,0.0006155280547088341,3.933321528030071e-05,0.31
1,off,DLC1.2-h-s1,0.0002974120319456383,2.757908563471297e-05,0.37
1,off,DLC1.2-h-s2,0.00027806505720405635,1.6988567170790497e-05,0.4
1,off,DLC1.2-h-s3,0.00026728368708100895,1.794809536386884e-05,0.36
1,off,DLC1.2-h-s4,0.0002667608093260773,1.8356227400823827e-05,0.36
1,off,DLC1.2-h-s5,0.00027702960861016545,1.8095671022003596e-05,0.38
1,off,DLC1.2-h-s6,0.0002583614737624971,1.454845630798794e-05,0.39
1,off,DLC1.2-i-s1,0.00010942197958126784,7.484001389766604e-06,0.48
1,off,DLC1.2-i-s2,0.0001098405916470683,9.904371827834309e-06,0.4
1,off,DLC1.2-i-s3,0.00011462322572500611,9.78980757055048e-06,0.41
1,off,DLC1.2-i-s4,9.988163959458528e-05,7.855700722249046e-06,0.45
1,off,DLC1.2-i-s5,0.00011346545102187127,1.287573034883782e-05,0.45
1,off,DLC1.2-i-s6,0.00010006530752801806,8.83032261775717e-06,0.45
1,off,DLC1.2-j-s1,3.82036358242485e-05,5.305595671056981e-06,0.47
1,off,DLC1.2-j-s2,4.169054178320399e-05,5.597760034663669e-06,0.52
1,off,DLC1.2-j-s3,4.074742929108239e-05,4.78002600112124e-06,0.5
1,off,DLC1.2-j-s4,3.929432435633833e-05,4.515688217434778e-06,0.48
1,off,DLC1.2-j-s5,3.9260027610120685e-05,6.21853322568358e-06,0.52
1,off,DLC1.2-j-s6,4.036421809766882e-05,3.4583687960479638e-06,0.54
1,off,DLC1.2-k-s1,1.4331639886665678e-05,3.631630416525153e-06,0.58
1,off,DLC1.2-k-s2,1.0709467968110794e-05,2.698610112370019e-06,0.6
1,off,DLC1.2-k-s3,1.3192619244572944e-05,3.952803355954887e-06,0.6
1,off,DLC1.2-k-s4,1.789349366469059e-05,5.495731499283988e-06,0.59
1,off,DLC1.2-k-s5,1.3298976979300527e-05,5.210637307223911e-06,0.5
1,off,DLC1.2-k-s6,1.3577202295539997e-05,3.879649382912675e-06,0.56
1,off,DLC2.4.1-a-s1,1.1055426565065759e-06,1.62534272832546e-07,0.32
1,off,DLC2.4.1-a-s2,1.2589051929465313e-06,1.842151241115587e-07,0.37
1,off,DLC2.4.1-a-s3,1.328277172144665e-06,1.96554558715246e-07,0.35
1,off,DLC2.4.1-a-s4,1.356883271848089e-06,1.9204030944449348e-07,0.33
1,off,DLC2.4.1-a-s5,1.297791062325188e-06,1.9403568478222923e-07,0.38
1,off,DLC2.4.1-a-s6,1.1107326975908033e-06,1.597199357137728e-07,0.32
1,off,DLC2.4.1-b-s1,1.1178394134265063e-06,1.30902096305143e-07,0.63
1,off,DLC2.4.1-b-s2,8.129446976162762e-07,9.80937332191675e-08,0.51
1,off,DLC2.4.1-b-s3,1.1519683444256608e-06,1.2610631426781629e-07,0.41
1,off,DLC2.4.1-b-s4,1.0216460106136077e-06,1.1582840044300573e-07,0.49
1,off,DLC2.4.1-b-s5,1.4402115239682876e-06,2.0541536448454574e-07,0.52
1,off,DLC2.4.1-b-s6,1.1403147180324847e-06,1.4374211210855844e-07,0.38
1,off,DLC2.4.2-a-s1,1.5856215131605821e-06,1.0855573973611879e-07,0.25
1,off,DLC2.4.2-a-s2,1.1022042403212952e-06,7.425816463176939e-08,0.19
1,off,DLC2.4.2-a-s3,1.1440998306033505e-06,7.645382138670449e-08,0.24
1,off,DLC2.4.2-a-s4,1.010442125434971e-06,6.460065267694763e-08,0.22
1,off,DLC2.4.2-a-s5,1.195806841329684e-06,8.186216391737287e-08,0.26
1,off,DLC2.4.2-a-s6,1.1083387503184325e-06,6.654155376040987e-08,0.22
1,off,DLC2.4.2-b-s1,5.829487281323487e-07,7.481545266461851e-08,0.37
1,off,DLC2.4.2-b-s2,7.206865719840195e-07,1.0614536576752027e-07,0.5
1,off,DLC2.4.2-b-s3,8.046672707682522e-07,6.645773009545451e-08,0.42
1,off,DLC2.4.2-b-s4,6.381497781757445e-07,6.072447791614707e-08,0.42
