rank,profile,param,L_we,sigma_MPa,edge_MPa,contact_mm,loss_mm,loss_pct,n_contact,tilt_mrad
1,DIN_LUNDBERG,axial_offset=-60,533.5,2486.3,2486.3,435.2,98.3,18.4,20,0.5595
1,DIN_LUNDBERG,axial_offset=-50,533.5,2412.3,2412.3,443.6,89.9,16.9,20,0.5604
1,DIN_LUNDBERG,axial_offset=-40,533.5,2320.2,2320.2,452.1,81.4,15.3,20,0.5613
1,DIN_LUNDBERG,axial_offset=-30,533.5,2198.1,2198.1,460.7,72.8,13.7,20,0.5625
1,DIN_LUNDBERG,axial_offset=-20,533.5,2098.4,2019.1,469.4,64.1,12.0,20,0.564
1,DIN_LUNDBERG,axial_offset=-10,533.5,2091.7,1702.8,478.5,55.0,10.3,20,0.5659
1,DIN_LUNDBERG,axial_offset=0,533.5,2096.9,991.0,486.5,47.0,8.8,20,0.5682
1,DIN_LUNDBERG,axial_offset=10,533.5,2100.3,997.0,486.6,46.9,8.8,20,0.5703
1,DIN_LUNDBERG,axial_offset=20,533.5,2103.8,1003.0,486.6,46.9,8.8,20,0.5725
1,JOHNS_GOHAR,design_load=4.36MN (x1.0) · end_drop=68um,533.5,2471.2,2471.2,520.2,13.3,2.5,20,0.5523
1,JOHNS_GOHAR,design_load=8.72MN (x2.0) · end_drop=135um,533.5,2247.5,2247.5,512.8,20.7,3.9,20,0.5567
1,JOHNS_GOHAR,design_load=17.45MN (x4.0) · end_drop=271um,533.5,2079.8,1697.9,482.4,51.1,9.6,20,0.5646
1,JOHNS_GOHAR,design_load=34.89MN (x8.0) · end_drop=541um,533.5,2133.6,0.0,446.6,86.9,16.3,20,0.5774
1,JOHNS_GOHAR,design_load=69.78MN (x16.0) · end_drop=1083um,533.5,2282.6,0.0,402.2,131.3,24.6,20,0.5931
1,LUNDBERG,load=4.36MN (x1.0),533.5,2391.3,2391.3,520.2,13.3,2.5,20,0.5529
1,LUNDBERG,load=8.72MN (x2.0),533.5,2143.3,2071.2,507.5,26.0,4.9,20,0.5578
1,LUNDBERG,load=17.45MN (x4.0),533.5,2092.9,1165.3,491.5,42.0,7.9,20,0.5662
1,LUNDBERG,load=34.89MN (x8.0),533.5,2146.7,0.0,458.7,74.8,14.0,20,0.5788
103,DIN_LUNDBERG,axial_offset=-60,427.8,2552.8,2552.8,344.1,83.7,19.6,26,0.5369
103,DIN_LUNDBERG,axial_offset=-50,427.8,2475.4,2475.4,352.7,75.1,17.5,26,0.5376
103,DIN_LUNDBERG,axial_offset=-40,427.8,2380.8,2380.8,361.5,66.3,15.5,26,0.5386
103,DIN_LUNDBERG,axial_offset=-30,427.8,2256.7,2256.7,370.3,57.5,13.4,26,0.5398
103,DIN_LUNDBERG,axial_offset=-20,427.8,2099.0,2075.7,379.2,48.6,11.4,26,0.5413
103,DIN_LUNDBERG,axial_offset=-10,427.8,2088.5,1751.7,388.4,39.4,9.2,26,0.5433
103,DIN_LUNDBERG,axial_offset=0,427.8,2092.9,939.3,396.5,31.3,7.3,26,0.5459
103,DIN_LUNDBERG,axial_offset=10,427.8,2096.3,945.9,396.6,31.2,7.3,26,0.5482
103,DIN_LUNDBERG,axial_offset=20,427.8,2099.7,951.6,396.3,31.5,7.4,26,0.5505
103,JOHNS_GOHAR,design_load=3.35MN (x1.0) · end_drop=65um,427.8,2409.0,2409.0,427.8,0.0,0.0,26,0.5319
103,JOHNS_GOHAR,design_load=6.70MN (x2.0) · end_drop=130um,427.8,2164.9,2164.9,415.8,12.0,2.8,26,0.5362
103,JOHNS_GOHAR,design_load=13.40MN (x4.0) · end_drop=259um,427.8,2072.7,1545.8,402.7,25.1,5.9,26,0.5436
103,JOHNS_GOHAR,design_load=26.80MN (x8.0) · end_drop=518um,427.8,2157.0,0.0,371.2,56.6,13.2,26,0.5551
103,JOHNS_GOHAR,design_load=53.59MN (x16.0) · end_drop=1037um,427.8,2330.8,0.0,332.0,95.8,22.4,26,0.5689
103,LUNDBERG,load=3.35MN (x1.0),427.8,2324.3,2324.3,417.1,10.7,2.5,26,0.5325
103,LUNDBERG,load=6.70MN (x2.0),427.8,2101.1,1971.4,417.1,10.7,2.5,26,0.5372
103,LUNDBERG,load=13.40MN (x4.0),427.8,2088.0,1020.5,398.8,29.0,6.8,26,0.545
103,LUNDBERG,load=26.80MN (x8.0),427.8,2174.3,0.0,372.3,55.5,13.0,26,0.5563
210,DIN_LUNDBERG,axial_offset=-60,347.6,2648.1,2648.1,271.6,76.0,21.9,35,0.5214
210,DIN_LUNDBERG,axial_offset=-50,347.6,2568.0,2568.0,280.4,67.2,19.3,35,0.5219
210,DIN_LUNDBERG,axial_offset=-40,347.6,2472.2,2472.2,289.2,58.4,16.8,35,0.5226
210,DIN_LUNDBERG,axial_offset=-30,347.6,2348.9,2348.9,298.1,49.5,14.2,35,0.5236
210,DIN_LUNDBERG,axial_offset=-20,347.6,2170.9,2170.9,307.1,40.5,11.7,35,0.5249
210,DIN_LUNDBERG,axial_offset=-10,347.6,2097.4,1852.0,316.2,31.4,9.0,35,0.5266
210,DIN_LUNDBERG,axial_offset=0,347.6,2099.8,941.7,324.7,22.9,6.6,35,0.5291
210,DIN_LUNDBERG,axial_offset=10,347.6,2103.1,948.1,324.7,22.9,6.6,35,0.5314
210,DIN_LUNDBERG,axial_offset=20,347.6,2107.5,936.3,318.4,29.2,8.4,35,0.5334
210,JOHNS_GOHAR,design_load=2.37MN (x1.0) · end_drop=56um,347.6,2392.1,2392.1,347.6,-0.0,-0.0,35,0.5179
210,JOHNS_GOHAR,design_load=4.74MN (x2.0) · end_drop=113um,347.6,2137.0,2137.0,338.9,8.7,2.5,35,0.5216
210,JOHNS_GOHAR,design_load=9.49MN (x4.0) · end_drop=226um,347.6,2081.5,1476.7,329.0,18.6,5.4,35,0.5278
210,JOHNS_GOHAR,design_load=18.98MN (x8.0) · end_drop=452um,347.6,2179.6,0.0,302.6,45.0,12.9,35,0.5373
210,JOHNS_GOHAR,design_load=37.95MN (x16.0) · end_drop=904um,347.6,2362.8,0.0,270.0,77.6,22.3,35,0.5488
210,LUNDBERG,load=2.37MN (x1.0),347.6,2304.4,2304.4,347.6,-0.0,-0.0,35,0.5184
210,LUNDBERG,load=4.74MN (x2.0),347.6,2095.7,1933.3,338.9,8.7,2.5,35,0.5223
210,LUNDBERG,load=9.49MN (x4.0),347.6,2098.1,962.9,325.4,22.2,6.4,35,0.5289
210,LUNDBERG,load=18.98MN (x8.0),347.6,2196.2,0.0,296.1,51.5,14.8,35,0.5383
