gen,n_front,hv,f1_min,f2_min,f3_min,budget,masta,cache_hit,geom_out,edge,t_s
1,12,3401.6239,4.358,18.208,105.5894,182,168,0,15,0,52.2
2,14,3479.2207,4.358,18.208,105.5894,364,327,3,35,0,100.9
3,16,3565.8346,4.358,18.208,105.5894,546,499,5,43,0,151.7
4,21,3871.13,4.295,18.208,105.5894,728,664,12,53,0,200.6
5,27,3876.4248,4.295,18.208,105.5894,910,820,20,71,0,245.0
6,30,3957.555,4.276,18.208,105.5894,1092,986,24,83,0,292.8
7,34,3984.1436,4.276,18.169,105.5894,1274,1146,30,99,0,338.9
8,40,3991.5085,4.276,18.169,105.5894,1456,1309,35,113,0,386.1
9,44,4039.1212,4.276,17.7212,105.5894,1638,1475,38,126,1,434.4
10,48,4074.1842,4.276,17.484,105.5894,1820,1639,43,139,1,481.1
11,48,4187.3699,4.221,17.484,105.5894,2002,1802,50,151,1,528.1
12,52,4194.7767,4.221,17.484,105.5894,2184,1970,53,162,1,575.9
13,49,4202.774,4.221,17.484,105.5894,2366,2139,58,170,1,624.4
14,46,4296.492,4.183,17.484,105.5894,2548,2312,60,177,1,673.6
15,48,4299.9019,4.183,17.484,105.5894,2730,2476,70,185,1,720.3
16,52,4376.3548,4.153,17.484,105.5894,2912,2642,79,192,1,767.5
17,58,4379.9003,4.153,17.484,105.5894,3094,2809,85,201,1,815.7
18,53,4404.9324,4.153,17.484,105.5894,3276,2973,91,213,1,862.6
19,60,4406.031,4.153,17.484,105.5894,3458,3139,99,221,1,909.4
20,59,4413.1565,4.153,17.484,105.5894,3640,3303,108,230,1,956.0
21,61,4423.1199,4.153,17.484,105.3555,3822,3471,111,241,1,1004.8
22,64,4426.6568,4.153,17.484,105.3555,4004,3636,117,252,1,1052.4
23,72,4434.7304,4.153,17.484,105.3555,4186,3802,122,263,1,1100.3
24,65,4445.6757,4.151,17.484,105.3555,4368,3975,126,268,1,1149.9
25,61,4460.4703,4.151,17.484,105.3555,4550,4143,131,277,1,1197.6
26,71,4466.6157,4.151,17.484,105.3555,4732,4307,137,289,1,1244.8
27,76,4485.8597,4.151,17.2558,105.3555,4914,4473,142,300,1,1292.4
28,74,4489.779,4.151,17.2558,105.3555,5096,4638,149,310,1,1339.8
29,80,4569.1871,4.104,17.2558,105.3555,5278,4801,155,323,1,1386.6
