rank,key,z1,z2,alpha,D_pw_mm,slenderness,Z,L_w_mm,L_we_mm,D_we_mm,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3486.0_27_226.30_493.90,1.0,6.0,27.0,3486.0,2.1825,44,493.9,485.3,226.3,2865.0,4093.0,643.0,622.0,525.0,,18630.1,121895.8,159156.1,2083.4,1.2,17.8,18.6301,121.8958,159.156,16.6
2,1.00_6.00_3632.0_16_225.90_452.30,1.0,6.0,16.0,3632.0,2.0022,46,452.3,443.7,225.9,3112.0,4139.0,589.0,570.0,481.0,,14873.2,105831.0,135577.5,2037.6,1.2,17.8,14.8732,105.831,135.5774,62.4
3,1.00_5.90_3649.0_15_218.10_476.60,1.0,5.9,15.0,3649.0,2.1852,48,476.6,468.0,218.1,3127.0,4158.0,621.0,601.0,507.0,,15816.2,103479.8,135112.2,2064.7,1.2,17.8,15.8162,103.4798,135.1122,35.3
4,1.00_6.00_3817.0_15_226.60_500.50,1.0,6.0,15.0,3817.0,2.2087,48,500.5,491.9,226.6,3271.0,4349.0,652.0,631.0,532.0,,18161.2,98226.0,134548.3,1852.3,1.2,17.8,18.1612,98.226,134.5484,247.7
5,1.00_5.30_3824.0_16_229.40_499.60,1.0,5.3,16.0,3824.0,2.1779,48,499.6,491.0,229.4,3269.0,4365.0,651.0,630.0,531.0,,18470.0,87795.9,124735.9,2053.0,1.2,17.8,18.47,87.7959,124.7359,47.0
6,1.00_5.40_3846.0_20_225.20_436.20,1.0,5.4,20.0,3846.0,1.9369,49,436.2,427.6,225.2,3313.0,4367.0,568.0,550.0,464.0,,15590.9,87616.0,118797.9,2094.5,1.2,17.8,15.5909,87.616,118.7978,5.5
7,1.00_5.70_3944.0_15_196.60_429.60,1.0,5.7,15.0,3944.0,2.1851,57,429.6,421.0,196.6,3474.0,4402.0,559.0,541.0,457.0,,13854.4,86121.2,113830.0,2079.3,1.2,17.8,13.8544,86.1212,113.83,20.7
8,1.00_5.60_4020.0_20_208.40_396.90,1.0,5.6,20.0,4020.0,1.9045,55,396.9,388.3,208.4,3532.0,4497.0,517.0,500.0,422.0,,13583.2,83093.2,110259.5,2036.4,1.2,17.8,13.5832,83.0932,110.2596,63.6
9,1.00_6.00_4127.0_15_191.20_338.70,1.0,6.0,15.0,4127.0,1.7714,62,338.7,330.1,191.2,3721.0,4523.0,441.0,427.0,360.0,,9887.2,82568.5,102342.9,2014.1,1.2,17.8,9.8872,82.5685,102.3429,85.9
10,1.00_5.60_4136.0_21_209.20_319.10,1.0,5.6,21.0,4136.0,1.5253,57,319.1,310.5,209.2,3700.0,4562.0,416.0,402.0,339.0,,10046.3,78058.4,98151.1,2070.1,1.2,17.8,10.0463,78.0584,98.151,29.9
11,1.00_6.00_4312.0_20_165.40_328.10,1.0,6.0,20.0,4312.0,1.9837,75,328.1,319.5,165.4,3915.0,4700.0,427.0,413.0,349.0,,9792.1,77703.1,97287.2,2054.1,1.2,17.8,9.7921,77.7031,97.2873,45.9
12,1.00_5.60_4310.0_22_179.10_346.10,1.0,5.6,22.0,4310.0,1.9324,69,346.1,337.5,179.1,3878.0,4732.0,451.0,436.0,368.0,,11245.0,73842.2,96332.2,2070.3,1.2,17.8,11.245,73.8422,96.3322,29.7
13,1.00_5.40_4337.0_16_197.10_330.90,1.0,5.4,16.0,4337.0,1.6788,63,330.9,322.3,197.1,3926.0,4739.0,431.0,417.0,352.0,,10295.8,70201.2,90792.7,2046.7,1.2,17.8,10.2958,70.2012,90.7928,53.3
14,1.00_5.70_4479.0_28_179.40_278.40,1.0,5.7,28.0,4479.0,1.5518,72,278.4,269.8,179.4,4080.0,4870.0,363.0,351.0,296.0,,8703.2,70601.8,88008.2,2040.5,1.2,17.8,8.7032,70.6018,88.0082,59.5
15,1.00_5.70_4539.0_29_165.30_275.20,1.0,5.7,29.0,4539.0,1.6649,79,275.2,266.6,165.3,4152.0,4918.0,358.0,347.0,292.0,,8434.1,69184.8,86053.1,2093.5,1.2,17.8,8.4341,69.1848,86.053,6.5
16,1.00_6.00_4553.0_27_165.00_274.60,1.0,6.0,27.0,4553.0,1.6642,79,274.6,266.0,165.0,4173.0,4925.0,358.0,346.0,292.0,,8305.6,71959.6,88570.7,1994.3,1.2,17.8,8.3056,71.9596,88.5708,105.7
