category,item,unit,DIN,GOHAR,GOH_vs_DIN_pct,appendix4,DIN_vs_app4_pct,GOH_vs_app4_pct
프로파일,단부드롭,um,244.27,1042.99,+326.979,,,
함대,Sigma D30_UW,-,6.9739,51.3149,+635.809,6.9180,+0.809,+641.759
함대,Sigma D30_DW,-,1.1605,10.3388,+790.919,,,
함대,fleet life UW,yr,4.3017,0.5846,-86.410,4.3370,-0.813,-86.520
함대,fleet life DW,yr,25.8517,2.9017,-88.776,,,
함대,fleet life Sys,yr,3.8499,0.5104,-86.741,3.8700,-0.521,-86.810
함대,total analysis time,s,259,291,+12.222,,,
극한:UW,Mx_max,MPa,1739.5,2245.0,+29.058,,,
극한:DW,Mx_max,MPa,1973.1,2561.2,+29.808,,,
극한:UW,Mx_min,MPa,1714.5,2238.6,+30.567,,,
극한:DW,Mx_min,MPa,1526.4,2029.2,+32.939,,,
극한:UW,My_max,MPa,2417.1,2928.2,+21.145,,,
극한:DW,My_max,MPa,2693.4,3342.5,+24.099,,,
극한:UW,My_min,MPa,3283.1,3781.6,+15.183,,,
극한:DW,My_min,MPa,2955.2,3581.1,+21.178,,,
극한:UW,Mz_max,MPa,3075.0,3575.0,+16.258,,,
극한:DW,Mz_max,MPa,2968.4,3604.9,+21.444,,,
극한:UW,Mz_min,MPa,3244.0,3750.0,+15.596,,,
극한:DW,Mz_min,MPa,2914.3,3532.2,+21.201,,,
극한:UW,Myz_max,MPa,3424.2,3909.1,+14.160,,,
극한:DW,Myz_max,MPa,3001.7,3616.2,+20.472,,,
극한:UW,Myz_min,MPa,1289.5,1732.3,+34.341,,,
극한:DW,Myz_min,MPa,423.7,590.0,+39.230,,,
극한:UW,Fx_max,MPa,1998.4,2548.5,+27.526,,,
극한:DW,Fx_max,MPa,1894.6,2467.3,+30.226,,,
극한:UW,Fx_min,MPa,1688.2,2222.5,+31.649,,,
극한:DW,Fx_min,MPa,1387.0,1844.9,+33.012,,,
극한:UW,Fy_max,MPa,1700.8,2238.9,+31.636,,,
극한:DW,Fy_max,MPa,1255.0,1681.7,+34.003,,,
극한:UW,Fy_min,MPa,1986.9,2562.0,+28.944,,,
극한:DW,Fy_min,MPa,1541.0,2036.4,+32.144,,,
극한:UW,Fz_max,MPa,1487.3,1973.0,+32.655,,,
극한:DW,Fz_max,MPa,1378.2,1841.9,+33.649,,,
극한:UW,Fz_min,MPa,2203.6,2770.7,+25.734,,,
극한:DW,Fz_min,MPa,2062.2,2655.2,+28.758,,,
극한:UW,Fyz_max,MPa,1654.2,2152.7,+30.134,,,
극한:DW,Fyz_max,MPa,1882.9,2457.7,+30.528,,,
극한:UW,Fyz_min,MPa,1487.3,1973.0,+32.655,,,
극한:DW,Fyz_min,MPa,1378.2,1841.9,+33.649,,,
극한,worst case,-,Myz_max/UW,Myz_max/UW,,,,
극한,max stress,MPa,3424.2,3909.1,+14.160,2100,+63.1,+86.1
극한,margin to 2100MPa,MPa,-1324.2,-1809.1,,,,
