rank,DLC,k,ksel,nbin,D30_UW_DIN,D30_UW_GOH,dD30_UW_pct,D30_DW_DIN,D30_DW_GOH,dD30_DW_pct,life_UW_DIN_yr,life_UW_GOH_yr,life_Sys_DIN_yr,life_Sys_GOH_yr,dlife_Sys_pct,contrib_UW_DIN_pct,t_s_DIN,t_s_GOH
1,DLC1.2-d-s1,0.26,center,30,0.242125,1.799057,+643.029,0.063784,0.535697,+739.858,123.903,16.675,103.604,13.618,-86.856,3.472,2.91,3.41
2,DLC1.2-d-s5,0.27,center,30,0.238854,1.781852,+646.000,0.064010,0.537760,+740.115,125.600,16.836,104.693,13.711,-86.903,3.425,3.01,3.34
3,DLC1.2-a-s5,0.2,center,30,0.227826,1.554782,+582.443,0.016128,0.150865,+835.444,131.680,19.295,126.001,18.132,-85.610,3.267,2.97,3.37
4,DLC1.2-a-s4,0.18,center,30,0.219955,1.518542,+590.388,0.014530,0.139434,+859.597,136.392,19.756,130.931,18.632,-85.770,3.154,2.75,3.39
5,DLC1.2-d-s2,0.25,center,30,0.218821,1.664206,+660.533,0.047462,0.421873,+788.863,137.098,18.027,118.415,15.178,-87.183,3.138,2.88,3.33
6,DLC1.2-a-s6,0.2,center,30,0.216758,1.499355,+591.718,0.014083,0.135516,+862.278,138.403,20.009,132.961,18.889,-85.794,3.108,3.31,3.40
7,DLC1.2-a-s3,0.18,center,30,0.216366,1.494527,+590.742,0.014313,0.136871,+856.246,138.654,20.073,133.095,18.934,-85.774,3.102,3.01,3.37
8,DLC1.2-d-s6,0.26,center,30,0.215887,1.636486,+658.029,0.050443,0.441328,+774.910,138.961,18.332,118.626,15.263,-87.134,3.096,2.94,3.25
9,DLC1.2-d-s3,0.24,center,30,0.214200,1.629193,+660.592,0.050519,0.441416,+773.766,140.056,18.414,119.377,15.318,-87.169,3.071,2.79,3.36
10,DLC1.2-d-s4,0.26,center,30,0.214166,1.630679,+661.411,0.051005,0.441577,+765.756,140.079,18.397,119.205,15.305,-87.161,3.071,2.86,3.27
11,DLC1.2-a-s1,0.21,center,30,0.213449,1.481985,+594.305,0.013496,0.131113,+871.490,140.549,20.243,135.182,19.136,-85.844,3.061,2.83,3.23
12,DLC1.2-a-s2,0.18,center,30,0.213373,1.479579,+593.423,0.013654,0.131988,+866.680,140.599,20.276,135.160,19.157,-85.826,3.060,3.60,3.27
13,DLC1.2-b-s5,0.22,center,30,0.209836,1.493577,+611.783,0.014835,0.144342,+872.956,142.969,20.086,136.812,18.880,-86.200,3.009,2.48,2.96
14,DLC1.2-b-s1,0.23,center,30,0.205167,1.468404,+615.713,0.013113,0.130353,+894.096,146.223,20.430,140.574,19.309,-86.264,2.942,2.31,2.77
15,DLC1.2-b-s4,0.23,center,30,0.197662,1.424876,+620.864,0.012280,0.123635,+906.829,151.774,21.054,146.088,19.926,-86.360,2.834,2.47,2.88
16,DLC1.2-b-s3,0.22,center,30,0.197151,1.422051,+621.302,0.012366,0.125144,+911.980,152.168,21.096,146.407,19.949,-86.375,2.827,2.53,2.94
17,DLC1.2-b-s6,0.22,center,30,0.197125,1.422713,+621.731,0.012056,0.122053,+912.372,152.188,21.086,146.581,19.970,-86.376,2.827,2.43,2.82
18,DLC1.2-b-s2,0.22,center,30,0.197087,1.418725,+619.849,0.012201,0.122878,+907.154,152.217,21.146,146.536,20.015,-86.341,2.826,2.36,2.86
19,DLC1.2-c-s6,0.25,center,30,0.195124,1.462353,+649.450,0.035454,0.318413,+798.094,153.749,20.515,136.122,17.709,-86.991,2.798,2.58,2.93
20,DLC1.2-c-s2,0.26,center,30,0.183670,1.382498,+652.707,0.027752,0.258098,+830.030,163.336,21.700,147.766,19.145,-87.044,2.634,2.60,2.87
21,DLC1.2-c-s5,0.25,center,30,0.181595,1.376314,+657.901,0.029658,0.274463,+825.418,165.202,21.797,148.170,19.059,-87.137,2.604,2.60,2.91
22,DLC1.2-c-s1,0.24,center,30,0.181404,1.377449,+659.328,0.028853,0.269472,+833.945,165.377,21.779,148.774,19.094,-87.166,2.601,2.67,2.98
23,DLC1.2-e-s1,0.29,center,30,0.177851,1.334144,+650.147,0.045479,0.386889,+750.694,168.681,22.486,141.802,18.461,-86.981,2.550,2.85,3.41
24,DLC1.2-e-s2,0.31,center,30,0.177422,1.325324,+646.991,0.045847,0.391834,+754.664,169.089,22.636,141.881,18.512,-86.952,2.544,2.97,3.36
25,DLC1.2-c-s4,0.27,center,30,0.175887,1.329436,+655.845,0.025804,0.244402,+847.136,170.564,22.566,154.782,19.949,-87.112,2.522,2.49,2.89
26,DLC1.2-c-s3,0.25,center,30,0.170864,1.309030,+666.126,0.022681,0.220182,+870.759,175.579,22.918,160.909,20.484,-87.270,2.450,2.53,2.99
27,DLC1.2-e-s5,0.27,center,30,0.165205,1.247210,+654.946,0.046249,0.388586,+740.205,181.592,24.054,150.121,19.459,-87.038,2.369,2.95,3.20
28,DLC1.2-e-s6,0.3,center,30,0.162075,1.228354,+657.891,0.038781,0.336963,+768.885,185.099,24.423,157.393,20.269,-87.122,2.324,2.95,3.21
29,DLC1.2-e-s4,0.3,center,30,0.158419,1.215904,+667.522,0.039571,0.345512,+773.150,189.371,24.673,159.852,20.338,-87.277,2.272,2.89,3.32
30,DLC1.2-e-s3,0.29,center,30,0.138645,1.080219,+679.127,0.030077,0.273568,+809.575,216.380,27.772,186.888,23.387,-87.486,1.988,2.77,3.30
31,DLC1.2-f-s3,0.37,center,30,0.091872,0.701207,+663.243,0.026016,0.223323,+758.403,326.541,42.783,269.350,34.449,-87.210,1.317,2.76,3.20
32,DLC1.2-f-s5,0.35,center,30,0.083917,0.641808,+664.812,0.020753,0.179493,+764.905,357.495,46.743,302.292,38.650,-87.214,1.203,2.92,3.23
33,DLC1.2-f-s4,0.36,center,30,0.082073,0.632195,+670.282,0.019828,0.172306,+769.017,365.527,47.454,310.316,39.430,-87.294,1.177,2.82,3.16
34,DLC1.2-f-s6,0.38,cons,30,0.081238,0.639533,+687.237,0.019602,0.177908,+807.581,369.287,46.909,313.570,38.827,-87.618,1.165,2.93,3.29
35,DLC1.2-f-s1,0.35,center,30,0.077223,0.610368,+690.394,0.017242,0.159727,+826.399,388.484,49.151,334.048,41.148,-87.682,1.107,3.04,3.28
36,DLC1.2-f-s2,0.35,center,30,0.068355,0.553001,+709.015,0.013467,0.128040,+850.789,438.886,54.249,384.404,46.379,-87.935,0.980,2.89,3.04
37,DLC1.2-g-s6,0.41,center,30,0.043844,0.337665,+670.152,0.010273,0.093431,+809.462,684.246,88.846,583.845,73.613,-87.392,0.629,2.66,3.09
38,DLC1.2-g-s4,0.41,cons,30,0.043204,0.338589,+683.701,0.009807,0.090684,+824.683,694.382,88.603,595.530,73.862,-87.597,0.620,2.63,3.00
39,DLC1.2-g-s2,0.4,center,30,0.041599,0.323723,+678.200,0.011099,0.098621,+788.528,721.171,92.672,601.613,75.325,-87.480,0.596,2.53,3.07
40,DLC1.2-g-s5,0.42,cons,30,0.039547,0.309992,+683.857,0.008129,0.075840,+832.939,758.590,96.777,660.443,81.984,-87.587,0.567,2.65,2.96
41,DLC1.2-g-s1,0.4,center,30,0.037131,0.298758,+704.604,0.008927,0.082932,+829.012,807.948,100.416,686.469,83.148,-87.888,0.532,2.67,2.96
42,DLC1.2-g-s3,0.43,cons,30,0.036008,0.286299,+695.095,0.007879,0.071628,+809.128,833.145,104.786,718.645,88.427,-87.695,0.516,2.54,3.11
43,DLC1.2-h-s1,0.47,cons,30,0.023348,0.177028,+658.212,0.007537,0.064692,+758.339,1284.901,169.465,1031.558,132.206,-87.184,0.335,2.76,3.13
44,DLC1.2-h-s2,0.5,cons,30,0.019502,0.153579,+687.496,0.004528,0.042979,+849.096,1538.288,195.339,1314.507,161.496,-87.714,0.280,2.73,3.05
45,DLC1.2-h-s4,0.47,cons,30,0.019397,0.151028,+678.619,0.004968,0.045291,+811.605,1546.636,198.638,1299.809,161.982,-87.538,0.278,2.60,3.13
46,DLC1.2-h-s5,0.47,cons,30,0.019372,0.153302,+691.373,0.004763,0.044924,+843.113,1548.658,195.692,1310.799,160.329,-87.769,0.278,2.80,3.13
47,DLC1.2-h-s3,0.47,cons,30,0.018885,0.151228,+700.803,0.004926,0.046348,+840.806,1588.601,198.376,1330.704,161.041,-87.898,0.271,2.75,3.09
48,DLC6.4-a-s3,3.0,center,30,0.018731,0.084669,+352.025,0.002641,0.014121,+434.754,1601.628,354.323,1459.325,317.019,-78.276,0.269,3.69,3.35
49,DLC1.2-h-s6,0.49,cons,30,0.017633,0.142086,+705.816,0.003992,0.037994,+851.664,1701.392,211.139,1459.768,176.065,-87.939,0.253,2.75,3.03
50,DLC6.4-a-s2,3.0,center,30,0.017209,0.077823,+352.230,0.002422,0.012960,+434.975,1743.298,385.489,1588.636,344.965,-78.285,0.247,3.62,3.44
51,DLC4.1-a-y1,0.12,center,10,0.014554,0.079509,+446.312,0.001813,0.012259,+576.319,2061.333,377.318,1900.046,340.606,-82.074,0.209,1.18,1.21
52,DLC4.1-a-y2,0.12,center,10,0.014173,0.077569,+447.306,0.001752,0.011854,+576.770,2116.719,386.752,1952.410,349.458,-82.101,0.203,1.16,1.17
53,DLC4.1-a-y3,0.11,center,10,0.014028,0.076671,+446.563,0.001725,0.011631,+574.077,2138.598,391.281,1973.403,353.830,-82.070,0.201,1.22,1.23
54,DLC6.4-a-s5,3.0,center,30,0.012118,0.054801,+352.213,0.001706,0.009124,+434.968,2475.578,547.436,2255.994,489.897,-78.285,0.174,3.29,3.43
55,DLC6.4-a-s4,3.0,center,30,0.011881,0.053708,+352.050,0.001675,0.008958,+434.774,2525.049,558.577,2300.685,499.766,-78.278,0.170,3.61,3.50
56,DLC6.4-a-s6,3.0,center,30,0.011880,0.053717,+352.174,0.001673,0.008949,+434.916,2525.290,558.477,2301.165,499.744,-78.283,0.170,3.50,3.38
57,DLC6.4-a-s1,3.0,center,30,0.011092,0.050153,+352.157,0.001562,0.008353,+434.907,2704.665,598.170,2464.681,535.277,-78.282,0.159,3.56,3.36
58,DLC1.2-i-s5,0.55,cons,30,0.008292,0.066703,+704.450,0.003912,0.031361,+701.620,3618.064,449.756,2633.440,327.705,-87.556,0.119,2.73,3.07
59,DLC1.2-i-s3,0.48,cons,30,0.008226,0.063410,+670.880,0.002445,0.022017,+800.656,3647.136,473.113,2979.601,373.624,-87.461,0.118,2.73,3.08
60,DLC1.2-i-s2,0.48,cons,30,0.007990,0.062801,+685.980,0.002684,0.023707,+783.270,3754.632,477.701,2987.724,369.696,-87.626,0.115,2.69,3.02
61,DLC1.2-i-s1,0.59,cons,30,0.007814,0.062270,+696.850,0.002144,0.020539,+857.957,3839.020,481.775,3185.921,384.945,-87.917,0.112,2.82,3.47
62,DLC1.2-i-s6,0.57,cons,30,0.007121,0.057549,+708.216,0.002579,0.022857,+786.441,4213.185,521.295,3294.132,398.219,-87.911,0.102,2.83,3.27
63,DLC1.2-i-s4,0.56,cons,30,0.006660,0.055701,+736.373,0.002338,0.020924,+795.079,4504.656,538.594,3548.304,417.329,-88.239,0.095,2.61,3.03
64,DLC1.2-j-s3,0.59,cons,30,0.002905,0.024007,+726.323,0.001403,0.012488,+789.819,10326.192,1249.656,7462.572,882.289,-88.177,0.042,2.73,3.32
65,DLC1.2-j-s5,0.59,cons,30,0.002859,0.023533,+723.027,0.001798,0.015047,+737.038,10492.140,1274.824,6935.040,837.315,-87.926,0.041,2.78,3.33
66,DLC1.2-j-s6,0.62,cons,30,0.002859,0.022879,+700.316,0.000979,0.009351,+854.803,10494.109,1311.245,8313.069,994.095,-88.042,0.041,2.88,3.38
67,DLC1.2-j-s2,0.59,cons,30,0.002830,0.023845,+742.548,0.001604,0.013784,+759.075,10600.501,1258.148,7271.623,857.235,-88.211,0.041,2.80,3.25
68,DLC1.2-j-s1,0.57,cons,30,0.002751,0.022986,+735.541,0.001553,0.013513,+770.258,10904.980,1305.140,7491.985,883.989,-88.201,0.039,2.85,3.06
69,DLC1.2-j-s4,0.57,cons,30,0.002698,0.022758,+743.423,0.001301,0.011748,+802.952,11118.077,1318.209,8039.294,932.989,-88.395,0.039,2.94,3.21
70,DLC1.2-k-s4,0.61,center,30,0.001676,0.012293,+633.411,0.001450,0.011375,+684.683,17898.815,2440.488,10362.973,1368.931,-86.790,0.024,3.14,3.43
71,DLC6.4-b-s5,0.61,cons,30,0.001490,0.006583,+341.817,0.000292,0.001498,+413.010,20134.098,4557.108,17647.806,3906.896,-77.862,0.021,3.05,3.81
72,DLC1.2-k-s5,0.51,center,30,0.001101,0.008690,+689.564,0.001434,0.010107,+604.966,27257.755,3452.252,12771.582,1723.170,-86.508,0.016,3.05,3.48
73,DLC1.2-k-s1,0.63,center,30,0.001099,0.009092,+727.419,0.001014,0.008440,+732.769,27300.135,3299.434,15336.990,1847.891,-87.951,0.016,3.14,3.60
74,DLC1.2-k-s3,0.64,center,30,0.001071,0.008780,+719.760,0.001089,0.008991,+725.321,28009.295,3416.768,14997.280,1823.228,-87.843,0.015,3.07,3.52
75,DLC6.4-b-s4,0.5,cons,30,0.001053,0.004869,+362.153,0.000174,0.000945,+441.895,28477.138,6161.849,25500.838,5407.883,-78.793,0.015,3.20,3.81
76,DLC1.2-k-s6,0.59,center,30,0.001017,0.008495,+735.577,0.001051,0.008580,+716.274,29509.541,3531.638,15669.876,1897.651,-87.890,0.015,2.97,3.43
77,DLC6.4-b-s2,0.37,center,30,0.000822,0.003915,+376.199,0.000122,0.000684,+459.245,36486.714,7662.078,33064.908,6817.675,-79.381,0.012,3.24,3.74
78,DLC6.4-b-s1,0.36,center,30,0.000753,0.003601,+378.353,0.000111,0.000625,+460.981,39856.868,8332.102,36134.076,7418.777,-79.469,0.011,3.37,3.69
79,DLC1.2-k-s2,0.65,center,30,0.000727,0.006448,+787.326,0.000755,0.006550,+766.996,41286.832,4652.949,21861.871,2492.955,-88.597,0.010,3.04,3.48
80,DLC6.4-b-s3,0.28,center,30,0.000692,0.003322,+380.146,0.000099,0.000559,+462.595,43363.091,9031.238,39437.613,8072.054,-79.532,0.010,3.40,3.62
81,DLC6.4-b-s6,0.3,center,30,0.000674,0.003239,+380.459,0.000096,0.000539,+463.005,44505.995,9263.227,40523.116,8290.374,-79.542,0.010,3.45,3.50
82,DLC4.1-b-y1,0.19,center,10,0.000673,0.004076,+505.398,0.000090,0.000669,+645.548,44557.288,7360.005,40816.443,6596.872,-83.838,0.010,1.20,1.15
83,DLC4.1-c-y3,0.55,cons,10,0.000673,0.003225,+379.258,0.000133,0.000838,+528.864,44583.109,9302.518,39021.491,7798.052,-80.016,0.010,1.15,1.25
84,DLC4.1-b-y2,0.17,center,10,0.000580,0.003519,+507.166,0.000070,0.000513,+631.044,51756.715,8524.309,47820.208,7740.031,-83.814,0.008,1.22,1.24
85,DLC4.1-b-y3,0.16,center,10,0.000564,0.003386,+500.211,0.000066,0.000470,+608.710,53182.965,8860.707,49266.717,8086.520,-83.586,0.008,1.18,1.15
