corner,D_we_mm,L_we_mm,D_pw_mm,z1,z2,Z,ratio_vs_DIN,end_drop_um,drop_over_Dwe,drop_over_Lwe,design_load_MN,sigma_MPa,governing
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,0.25,61.06000000000002,0.0005525291828793776,0.0002565028901734105,1.756340395902562,3923.2757170440395,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,0.5,122.12000000000003,0.0011050583657587552,0.000513005780346821,3.512680791805124,3654.454579546826,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,0.75,183.18,0.0016575875486381324,0.0007695086705202313,5.269021187707686,3400.1357624675693,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,1.0,244.2499999999999,0.002210207221065966,0.0010260535690280947,7.025361583610248,3417.4999024723743,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,1.5,366.37,0.0033152655868247216,0.001539059349374916,10.538042375415372,3492.8843056915694,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,2.0,488.4900000000002,0.0044203239525834786,0.0020520651297217377,14.050723167220497,3584.2760435614496,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,3.0,732.74,0.006630531173649443,0.003078118698749832,21.076084750830745,3739.7160077748827,Myz_max/UW
C0 기준,110.50999999999999,238.048,3330.9,0.5,3.0,87,DIN,244.2718222621283,0.0022104046897305973,0.001026145240716697,,3424.191684610802,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,0.25,61.07999999999999,0.0005527101619762916,0.00012215999999999998,3.6899066806968004,3243.483017530307,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,0.5,122.14999999999996,0.001105329834404126,0.0002442999999999999,7.379813361393601,2937.6022202242375,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,0.75,183.23000000000008,0.0016580399963804188,0.00036646000000000015,11.069720042090403,2734.1508164544293,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,1.0,244.29999999999993,0.002210659668808252,0.0004885999999999998,14.759626722787202,2713.9731456978434,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,1.5,366.44999999999993,0.0033159895032123785,0.0007328999999999999,22.139440084180805,2736.0045264120313,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,2.0,488.61,0.004421409827164963,0.00097722,29.519253445574403,2775.313416714855,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,3.0,732.9099999999997,0.006632069495973213,0.0014658199999999994,44.27888016836161,2869.175779550677,Myz_max/UW
C1 L_we최대,110.50999999999999,500.0,3330.9,0.5,3.0,87,DIN,244.27182226212818,0.002210404689730596,0.0004885436445242564,,2767.2582011744785,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,0.25,110.50999999999998,0.0005525499999999999,0.00046423410404624265,3.1786089872456107,3833.670758914258,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,0.5,221.01999999999995,0.0011050999999999997,0.0009284682080924853,6.357217974491221,3533.8374731458384,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,0.75,331.5300000000001,0.0016576500000000005,0.0013927023121387287,9.535826961736833,3374.6254106285164,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,1.0,442.03000000000014,0.0022101500000000006,0.001856894407850518,12.714435948982443,3416.916173322681,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,1.5,663.05,0.0033152499999999996,0.0027853626159430028,19.071653923473665,3521.6478832151074,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,2.0,884.0700000000002,0.004420350000000001,0.003713830824035489,25.428871897964886,3625.5813668578726,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,3.0,1326.1,0.006630499999999999,0.0055707252318860055,38.14330784694733,3800.180876261551,Myz_max/UW
C2 D_we최대,200.0,238.048,3330.9,0.5,3.0,48,DIN,442.0809379461195,0.0022104046897305973,0.001857108389678214,,3386.764536507086,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,0.25,110.52999999999999,0.0005526499999999999,0.00022105999999999997,6.6779597877057295,2315.0546127293387,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,0.5,221.06999999999994,0.0011053499999999997,0.0004421399999999999,13.355919575411459,2124.816283666381,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,0.75,331.5999999999999,0.0016579999999999995,0.0006631999999999999,20.033879363117187,2147.0741948935347,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,1.0,442.1399999999999,0.0022106999999999995,0.0008842799999999998,26.711839150822918,2186.7090807640348,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,1.5,663.2099999999999,0.0033160499999999996,0.0013264199999999998,40.06775872623437,2264.6612697581577,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,2.0,884.2700000000001,0.00442135,0.00176854,53.423678301645836,2339.827315000729,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,3.0,1326.4100000000005,0.006632050000000003,0.002652820000000001,80.13551745246875,2467.585596073731,Myz_max/UW
C3 대형조합,200.0,500.0,4500.0,0.5,3.0,65,DIN,442.08093794611926,0.0022104046897305964,0.0008841618758922386,,2147.792681551468,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,0.25,61.07999999999999,0.0005527101619762916,0.00012215999999999998,3.6899066806968004,3243.4830175304473,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,0.5,122.14999999999996,0.001105329834404126,0.0002442999999999999,7.379813361393601,2937.602220224399,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,0.75,183.23000000000008,0.0016580399963804188,0.00036646000000000015,11.069720042090403,2734.1508164545526,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,1.0,244.29999999999993,0.002210659668808252,0.0004885999999999998,14.759626722787202,2713.9731456979644,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,1.5,366.44999999999993,0.0033159895032123785,0.0007328999999999999,22.139440084180805,2736.004526412149,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,2.0,488.61,0.004421409827164963,0.00097722,29.519253445574403,2775.3134167149824,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,3.0,732.9099999999997,0.006632069495973213,0.0014658199999999994,44.27888016836161,2869.1757795508074,Myz_max/UW
C4 L_we+스팬,110.50999999999999,500.0,3330.9,0.4,4.5,87,DIN,244.27182226212818,0.002210404689730596,0.0004885436445242564,,2767.2582011746026,Myz_max/UW
