D_pw_mm,D_we_mm,L_we_mm,alpha,Z,Zmax,cage_valid,cage_mass,mass,sum4,diff,cageR,cageW,setok
3330.9,110.0,238.0,12.0,87,95.07,1,189.77039666039764,5634.329614275391,5634.32961427539,9.094947017729282e-13,1.6929500000000002,0.3094,1
3330.9,110.0,238.0,19.0,87,95.04,1,189.77039666040113,5575.530508312889,5575.530508312889,0.0,1.6929500000000002,0.3094,1
3330.9,110.0,238.0,24.0,87,95.03,1,189.77039666039417,5517.024291864898,5517.024291864899,-9.094947017729282e-13,1.6929500000000002,0.3094,1
3330.9,110.0,238.0,30.0,87,95.01,1,189.77039666039417,5417.362394226471,5417.362394226471,0.0,1.6929500000000002,0.3094,1
3330.9,110.0,325.0,12.0,87,95.05,1,220.1033520438331,7438.379511367759,7438.379511367758,9.094947017729282e-13,1.6929500000000002,0.397,1
3330.9,110.0,325.0,19.0,87,95.02,1,220.1033520438366,7364.92174189392,7364.92174189392,0.0,1.6929500000000002,0.397,1
3330.9,110.0,325.0,24.0,87,95.0,1,220.1033520438331,7338.2261080423805,7338.2261080423805,0.0,1.6929500000000002,0.397,1
3330.9,110.0,325.0,30.0,87,94.98,1,220.1033520438331,7282.954316426746,7282.954316426746,0.0,1.6929500000000002,0.397,1
3330.9,110.0,415.0,12.0,87,95.03,1,250.53208328031846,9303.290231842,9303.290231842,0.0,1.6929500000000002,0.487,1
3330.9,110.0,415.0,19.0,87,94.99,1,250.53208328032542,9261.52242514223,9261.52242514223,0.0,1.6929500000000002,0.487,1
3330.9,110.0,415.0,24.0,87,94.96,1,250.53208328032542,9301.22527902294,9301.22527902294,0.0,1.6929500000000002,0.487,1
3330.9,110.0,415.0,30.0,87,94.94,1,250.53208328031846,9312.325186097341,9312.325186097341,0.0,1.6929500000000002,0.487,1
3330.9,140.0,238.0,12.0,68,74.68,1,246.08421461221852,6083.958363901523,6083.958363901523,0.0,1.70045,0.3094,1
3330.9,140.0,238.0,19.0,68,74.65,1,246.084214612222,6007.133828252831,6007.133828252831,0.0,1.70045,0.3094,1
3330.9,140.0,238.0,24.0,68,74.64,1,246.084214612222,5895.189132353973,5895.189132353973,0.0,1.70045,0.3094,1
3330.9,140.0,238.0,30.0,68,74.62,1,246.0842146122255,5770.650530927777,5770.650530927777,0.0,1.70045,0.3094,1
3330.9,140.0,325.0,12.0,68,74.66,1,286.1359432436877,8036.01724022308,8036.01724022308,0.0,1.70045,0.397,1
3330.9,140.0,325.0,19.0,68,74.63,1,286.13594324369114,7947.051703128349,7947.05170312835,-9.094947017729282e-13,1.70045,0.397,1
3330.9,140.0,325.0,24.0,68,74.61,1,286.1359432436946,7862.22993716334,7862.22993716334,0.0,1.70045,0.397,1
