alpha,bin,현행기하_UW_RX_pin,UW_RX_masta,현행기하_UW_RX_err,현행기하_UW_RY_pin,UW_RY_masta,현행기하_UW_RY_err,현행기하_UW_RZ_pin,UW_RZ_masta,현행기하_UW_RZ_err,현행기하_UW_Fr_pin,UW_Fr_masta,현행기하_UW_Fr_err,현행기하_DW_RX_pin,DW_RX_masta,현행기하_DW_RX_err,현행기하_DW_RY_pin,DW_RY_masta,현행기하_DW_RY_err,현행기하_DW_RZ_pin,DW_RZ_masta,현행기하_DW_RZ_err,현행기하_DW_Fr_pin,DW_Fr_masta,현행기하_DW_Fr_err,L_eff_UW_RX_pin,L_eff_UW_RX_err,L_eff_UW_RY_pin,L_eff_UW_RY_err,L_eff_UW_RZ_pin,L_eff_UW_RZ_err,L_eff_UW_Fr_pin,L_eff_UW_Fr_err,L_eff_DW_RX_pin,L_eff_DW_RX_err,L_eff_DW_RY_pin,L_eff_DW_RY_err,L_eff_DW_RZ_pin,L_eff_DW_RZ_err,L_eff_DW_Fr_pin,L_eff_DW_Fr_err
19.0,1,9236.491917334135,9236.491917334133,2.220446049250313e-14,-10148.014236531788,-6991.516414199168,45.14754218300976,8726.200021964401,7126.404987056579,22.448836935502126,13722.061648448847,11584.217052049533,18.454804384221003,-3725.706332195135,-3725.706332195135,0.0,10246.757395031049,7090.259572990948,44.51879073742522,-4692.784878304658,-3092.9898432987593,51.7232553631561,10903.069512132002,8009.5360968128925,36.126104937219615,9236.491917334133,0.0,-6999.523279758326,0.11452258830282336,7483.846773339162,5.015737765841144,11589.05125896238,0.041730976648013396,-3725.706332195135,0.0,7098.266438257584,0.11292767470936216,-3450.431629679419,11.556513421959313,8016.624857273348,0.08850400790723079
19.0,2,16371.842115588262,14154.88951438581,15.66209753138188,-9606.837693884989,-6609.586989509153,45.34701955104188,10266.276039149756,8258.57831152469,24.310452137062867,18982.321900505194,15622.020910764331,21.51002747298496,-10910.474000306178,-8693.52139884066,25.50120370970921,9758.201402154573,6760.950697839052,44.331793534206774,-6300.18591904575,-4292.4881914881635,46.7723529569347,14637.654781978175,11013.07262532627,32.91163401861728,14161.140156444731,0.04415888977846727,-6617.31412515391,0.11690799526538065,8710.386924268114,5.470779542199566,15630.95444179379,0.0571855016741285,-8699.77204116265,0.0719000050177998,6768.677833423493,0.1142906660584142,-4744.296804164108,10.525564486627204,11022.750708460837,0.08787813777157982
19.0,3,15133.802373957618,13295.521907891367,13.8263129405636,-9888.87205559498,-6802.794499102281,45.36485053164472,10234.91770328881,8302.701250784423,23.27214233225403,18078.212434472956,14934.82225539479,21.0473892847483,-9700.871286239266,-7862.590819772369,23.38008563085974,10046.346222976128,6960.268666483428,44.33848324495631,-6010.896214659324,-4078.6797621552228,47.373575891702146,13965.52813695523,10500.746369130136,32.99557618123967,13300.960989886777,0.040909127397115164,-6811.325731210055,0.1254077586629876,8747.829580961094,5.361247101774458,14943.551166678357,0.05844670351140557,-7868.029902168429,0.06917671949024928,6968.799898591202,0.1225704425585672,-4523.808092331608,10.91353957980694,10510.474136213898,0.09263881577368238
19.0,4,16736.286082358594,14402.205587698818,16.206410056063625,-7855.128632599406,-5398.475717156927,45.506417814105845,9963.73671615901,8109.430680075081,22.866044599653222,18488.00469670086,15380.736843827606,20.202334156183287,-11303.157619922653,-8969.077125002195,26.02364170126239,8017.288590961601,5560.635675565386,44.17935392155377,-5964.523838719765,-4110.2178027025075,45.11454441168625,13857.788010053357,10552.962313521648,31.316568735370097,14408.700766934995,0.04509850381335667,-5404.78680022618,0.11690490797606756,8545.115679137692,5.372571962827077,15389.034347449233,0.05394737395143512,-8975.572304499055,0.07241747848008018,5566.946758588374,0.11349571148349114,-4545.902801698448,10.60004651601365,10561.808292439704,0.08382460445937046
19.0,5,12227.91984867021,11300.784310072058,8.204169844847176,-11540.526348408772,-7944.97144238279,45.2557310256062,9981.405848176593,8037.365498145377,24.18753197773329,16813.856554158538,13814.133966450769,21.714879810728238,-6722.383275969795,-5795.247737216609,15.998203714384761,11685.986530047983,8090.43162412331,44.442065305932196,-5802.595842095173,-3858.5554920292957,50.38259405836523,13481.569570695443,9951.88324892976,35.467521407521254,11303.492040009694,0.02396054878439635,-7954.878660055633,0.12469796455143456,8466.340772428879,5.337262245725771,13822.048574461423,0.05729355187864549,-5797.9554673092825,0.046723284585148406,8100.338841694845,0.12245598296627414,-4287.530766347459,11.117509524077263,9961.514791996837,0.09678110992823452
19.0,6,9874.185756249692,9678.782708859162,2.018880403334955,-13593.172801518853,-9361.056267831536,45.20981834315663,10168.495800277225,7992.6620261651415,27.222892285313407,16801.00863522414,13465.073678774252,24.774724862504915,-4349.846971670831,-4154.443924087796,4.703470576412694,13746.750768873713,9514.634235371004,44.48007594206469,-6205.877274148239,-4030.043500005237,53.9903297356511,14418.541028082,10382.084036997774,38.87906297714252,9679.387083534402,0.006244325277471319,-9372.507639127798,0.12232990560705481,8435.78769273067,5.544156191202521,13473.471481337003,0.06236729752164827,-4155.048298955545,0.014547671813391894,9526.085606482658,0.1203553476504915,-4473.169166601682,10.995555422562276,10392.82124106296,0.10342050812650605
19.0,7,13365.647848620947,12083.224212286901,10.613256973498908,-8735.968223179178,-6008.323163312902,45.39777548120918,9133.898080897128,7520.488659267221,21.453518444466546,15967.39437759781,13494.600942569541,18.32431685495561,-7883.249387580163,-6600.825749891493,19.428230440861903,8888.720909989264,6161.075849602702,44.27222009549605,-5113.637853805565,-3500.2284315623037,46.094403659338525,11880.866143613579,9029.382936003336,31.58004514616799,12086.369154435302,0.026027342480361426,-6015.115283308721,0.1130451843418312,7909.577042142792,5.173711450200957,13500.441889389373,0.04328358315071057,-6603.970693394519,0.047644698136117825,6167.867970118806,0.11024244274711048,-3889.3168150512297,11.116085452607427,9036.316960799415,0.07679400514102319
19.0,8,16644.218662661176,14336.63053175107,16.095749456607212,-6412.851598225071,-4411.215815098049,45.37605655738093,9281.041914622874,7596.769590013168,22.170901784672736,17836.890999031657,14999.926665531006,18.91318802257771,-11227.382822907732,-8919.79469161111,25.870417549709536,6524.044131006578,4522.408347877148,44.26039466491369,-5588.984445081829,-3904.712120466717,43.13435338259448,12985.271536454096,10000.745702468526,29.84303293752273,14342.54438517564,0.04124995347738469,-4415.687817819169,0.1013780079817117,7999.6142916025765,5.302842172796618,15006.89436043214,0.04645152644076056,-8925.7085454222,0.06630033555201642,4526.880350600677,0.0988854251878335,-4307.5568220615305,10.316886089586097,10008.042703070236,0.07296456503147475
19.0,9,16636.706612670037,14333.693293274137,16.0671312848347,-7422.750641282109,-5107.132812189329,45.34085785993334,9603.109761299696,7817.2625372641,22.844918096618127,18217.49801698117,15216.358598133551,19.723111804264025,-11204.060303713166,-8901.04698393355,25.873510430138946,7541.728943289958,5226.111114195386,44.308622195283846,-5813.056862920277,-4027.209638878698,44.34453093280772,13505.874379072931,10321.863920247595,30.847243128050827,14339.792494503326,0.04255149809890835,-5112.573822634602,0.1065374770024885,8236.130930617175,5.358249020758521,15223.930500278255,0.0497615910920457,-8907.146185546455,0.06852229433136348,5231.5521246424505,0.10411203145461734,-4446.078032237757,10.400958254452464,10329.87854737633,0.0776470915588412
19.0,10,13150.980951887126,11935.90471322596,10.180009541419688,-8612.198415862289,-5926.961626549403,45.305452582729025,9186.586645260293,7607.462293701201,20.757570535269963,15719.995596407747,13326.465977362448,17.960722843634368,-7661.290665553569,-6446.214426724108,18.849454243906514,8736.39749212193,6051.160702840156,44.375565633572414,-5001.277386144913,-3422.153034548449,46.14417694516775,11619.811349692929,8841.392779811504,31.425123157356904,11939.107367059767,0.02683209954128518,-5933.968018593566,0.11821220526850862,7993.798008240738,5.078378303096098,13332.451431296198,0.04491403755442214,-6449.417080726213,0.04968270972847133,6058.167094853207,0.1157859187207455,-3808.488749125359,11.289258857702933,8848.523562172684,0.08065225172966262
