DLC,k_A,k_B,dk,branch_A_pct,branch_B_pct,D30_UW_A,D30_UW_B,d_pct,D30_DW_A,D30_DW_B
DLC1.2-d-s1,0.26,0.24,-0.02,88.6,98.5,0.242125,0.238776,-1.383,0.063784,0.062396
DLC1.2-d-s5,0.27,0.25,-0.02,87.6,98.2,0.238854,0.235479,-1.413,0.064010,0.062631
DLC1.2-a-s5,0.2,0.2,0.0,0.0,0.0,0.227826,0.227826,-0.000,0.016128,0.016128
DLC1.2-a-s4,0.18,0.18,0.0,0.0,0.0,0.219955,0.219955,+0.000,0.014530,0.014530
DLC1.2-d-s2,0.25,0.24,-0.01,77.9,86.2,0.218821,0.217454,-0.625,0.047462,0.046977
DLC1.2-a-s6,0.2,0.19,-0.01,0.0,0.0,0.216758,0.216170,-0.271,0.014083,0.014018
DLC1.2-a-s3,0.18,0.18,0.0,0.0,0.0,0.216366,0.216366,-0.000,0.014313,0.014313
DLC1.2-d-s6,0.26,0.24,-0.02,80.2,90.3,0.215887,0.213039,-1.319,0.050443,0.049393
DLC1.2-d-s3,0.24,0.23,-0.01,89.3,95.6,0.214200,0.212798,-0.655,0.050519,0.049993
DLC1.2-d-s4,0.26,0.24,-0.02,82.1,91.8,0.214166,0.211305,-1.336,0.051005,0.049931
DLC1.2-a-s1,0.21,0.2,-0.01,0.0,0.0,0.213449,0.212791,-0.308,0.013496,0.013426
DLC1.2-a-s2,0.18,0.18,0.0,0.0,0.0,0.213373,0.213373,+0.000,0.013654,0.013654
DLC1.2-b-s5,0.22,0.21,-0.01,0.0,0.0,0.209836,0.209053,-0.373,0.014835,0.014726
DLC1.2-b-s1,0.23,0.22,-0.01,0.0,0.0,0.205167,0.204361,-0.393,0.013113,0.013008
DLC1.2-b-s4,0.23,0.22,-0.01,0.0,0.0,0.197662,0.196863,-0.404,0.012280,0.012179
DLC1.2-b-s3,0.22,0.21,-0.01,0.0,0.0,0.197151,0.196349,-0.407,0.012366,0.012263
DLC1.2-b-s6,0.22,0.21,-0.01,0.0,0.0,0.197125,0.196362,-0.387,0.012056,0.011961
DLC1.2-b-s2,0.22,0.21,-0.01,0.0,0.4,0.197087,0.196383,-0.357,0.012201,0.012113
DLC1.2-c-s6,0.25,0.25,0.0,12.7,30.4,0.195124,0.195124,-0.000,0.035454,0.035454
DLC1.2-c-s2,0.26,0.26,0.0,17.4,38.8,0.183670,0.183670,+0.000,0.027752,0.027752
DLC1.2-c-s5,0.25,0.24,-0.01,16.1,31.2,0.181595,0.180541,-0.580,0.029658,0.029358
DLC1.2-c-s1,0.24,0.23,-0.01,19.0,36.0,0.181404,0.180445,-0.529,0.028853,0.028584
DLC1.2-e-s1,0.29,0.28,-0.01,82.4,93.4,0.177851,0.176366,-0.835,0.045479,0.044900
DLC1.2-e-s2,0.31,0.29,-0.02,84.2,92.7,0.177422,0.174418,-1.693,0.045847,0.044667
DLC1.2-c-s4,0.27,0.26,-0.01,12.8,37.3,0.175887,0.174846,-0.592,0.025804,0.025531
DLC1.2-c-s3,0.25,0.24,-0.01,29.9,47.0,0.170864,0.169870,-0.582,0.022681,0.022423
DLC1.2-e-s5,0.27,0.25,-0.02,81.4,95.1,0.165205,0.162788,-1.463,0.046249,0.045266
DLC1.2-e-s6,0.3,0.28,-0.02,82.9,94.7,0.162075,0.159510,-1.583,0.038781,0.037826
DLC1.2-e-s4,0.3,0.28,-0.02,86.1,96.3,0.158419,0.155709,-1.711,0.039571,0.038480
DLC1.2-e-s3,0.29,0.26,-0.03,78.2,94.1,0.138645,0.135616,-2.184,0.030077,0.029029
DLC1.2-f-s3,0.37,0.35,-0.02,61.2,78.4,0.091872,0.090158,-1.866,0.026016,0.025335
DLC1.2-f-s5,0.35,0.33,-0.02,63.5,79.6,0.083917,0.082368,-1.846,0.020753,0.020210
DLC1.2-f-s4,0.36,0.34,-0.02,57.6,75.1,0.082073,0.080420,-2.015,0.019828,0.019237
DLC1.2-f-s6,0.38,0.36,-0.02,60.3,76.7,0.081238,0.079581,-2.040,0.019602,0.018978
DLC1.2-f-s1,0.35,0.34,-0.01,58.7,77.3,0.077223,0.076475,-0.969,0.017242,0.016986
DLC1.2-f-s2,0.35,0.34,-0.01,60.8,79.7,0.068355,0.067671,-1.000,0.013467,0.013257
DLC1.2-g-s6,0.41,0.41,0.0,46.8,60.8,0.043844,0.043844,-0.000,0.010273,0.010273
DLC1.2-g-s4,0.41,0.4,-0.01,43.5,56.3,0.043204,0.042749,-1.054,0.009807,0.009643
DLC1.2-g-s2,0.4,0.41,0.01,41.0,60.3,0.041599,0.042050,+1.085,0.011099,0.011280
DLC1.2-g-s5,0.42,0.42,0.0,42.6,57.5,0.039547,0.039547,+0.000,0.008129,0.008129
DLC1.2-g-s1,0.4,0.4,0.0,44.0,61.2,0.037131,0.037131,+0.000,0.008927,0.008927
DLC1.2-g-s3,0.43,0.42,-0.01,43.2,59.4,0.036008,0.035578,-1.194,0.007879,0.007735
DLC1.2-h-s1,0.47,0.46,-0.01,42.9,53.0,0.023348,0.023055,-1.253,0.007537,0.007399
DLC1.2-h-s2,0.5,0.48,-0.02,43.9,54.6,0.019502,0.019029,-2.426,0.004528,0.004349
DLC1.2-h-s4,0.47,0.47,0.0,43.8,55.2,0.019397,0.019397,-0.000,0.004968,0.004968
DLC1.2-h-s5,0.47,0.46,-0.01,45.0,56.7,0.019372,0.019127,-1.264,0.004763,0.004670
DLC1.2-h-s3,0.47,0.46,-0.01,44.9,57.3,0.018885,0.018639,-1.303,0.004926,0.004832
DLC6.4-a-s3,3.0,3.0,0.0,0.0,0.0,0.018731,0.018731,-0.000,0.002641,0.002641
DLC1.2-h-s6,0.49,0.48,-0.01,44.3,53.7,0.017633,0.017403,-1.304,0.003992,0.003912
DLC6.4-a-s2,3.0,3.0,0.0,0.0,0.0,0.017209,0.017209,-0.001,0.002422,0.002422
DLC4.1-a-y1,0.12,0.11,-0.01,0.0,0.0,0.014554,0.014534,-0.140,0.001813,0.001809
DLC4.1-a-y2,0.12,0.11,-0.01,0.0,0.0,0.014173,0.014154,-0.135,0.001752,0.001748
DLC4.1-a-y3,0.11,0.1,-0.01,0.0,0.0,0.014028,0.014009,-0.135,0.001725,0.001722
DLC6.4-a-s5,3.0,3.0,0.0,0.0,0.0,0.012118,0.012118,+0.003,0.001706,0.001706
DLC6.4-a-s4,3.0,3.0,0.0,0.0,0.0,0.011881,0.011881,-0.000,0.001675,0.001675
DLC6.4-a-s6,3.0,3.0,0.0,0.0,0.0,0.011880,0.011880,-0.001,0.001673,0.001673
DLC6.4-a-s1,3.0,3.0,0.0,0.0,0.0,0.011092,0.011092,-0.000,0.001562,0.001562
DLC1.2-i-s5,0.55,0.54,-0.01,44.1,52.7,0.008292,0.008179,-1.369,0.003912,0.003840
