DLC,k_A,k_B,dk,branch_A_pct,branch_B_pct,D30_UW_A,D30_UW_B,d_pct,D30_DW_A,D30_DW_B
DLC1.2-c-s6,0.25,0.24,-0.01,0.2,2.2,0.194446,0.193393,-0.542,0.012474,0.012334
DLC1.2-a-s5,0.2,0.19,-0.01,0.0,0.0,0.188605,0.188134,-0.249,0.010054,0.010015
DLC1.2-b-s5,0.21,0.2,-0.01,0.0,0.0,0.185265,0.184575,-0.372,0.007749,0.007698
DLC1.2-c-s2,0.26,0.24,-0.02,0.4,1.7,0.184165,0.182307,-1.009,0.009107,0.008912
DLC1.2-a-s4,0.18,0.17,-0.01,0.0,0.0,0.182346,0.181904,-0.242,0.009235,0.009200
DLC1.2-c-s5,0.24,0.23,-0.01,0.0,0.0,0.182249,0.181260,-0.543,0.009872,0.009762
DLC1.2-c-s4,0.26,0.25,-0.01,0.1,0.4,0.181739,0.180733,-0.553,0.008090,0.007999
DLC1.2-c-s1,0.23,0.22,-0.01,0.1,0.6,0.179816,0.178931,-0.492,0.009482,0.009384
DLC1.2-b-s1,0.22,0.21,-0.01,0.0,0.0,0.179558,0.178849,-0.395,0.007206,0.007156
DLC1.2-a-s3,0.18,0.17,-0.01,0.0,0.0,0.179447,0.178967,-0.267,0.009078,0.009039
DLC1.2-a-s6,0.19,0.18,-0.01,0.0,0.0,0.179443,0.178967,-0.265,0.008912,0.008874
DLC1.2-a-s2,0.18,0.17,-0.01,0.0,0.0,0.177068,0.176620,-0.253,0.008738,0.008704
DLC1.2-a-s1,0.2,0.19,-0.01,0.0,0.0,0.176550,0.176018,-0.301,0.008640,0.008599
DLC1.2-d-s1,0.27,0.27,0.0,5.4,18.9,0.175452,0.175452,+0.000,0.028311,0.028311
DLC1.2-b-s3,0.22,0.21,-0.01,0.0,0.0,0.174705,0.173993,-0.408,0.006782,0.006733
DLC1.2-b-s6,0.22,0.2,-0.02,0.0,0.0,0.174394,0.173035,-0.779,0.006666,0.006577
DLC1.2-b-s4,0.23,0.21,-0.02,0.0,0.0,0.174391,0.172976,-0.812,0.006781,0.006685
DLC1.2-d-s5,0.28,0.28,0.0,7.3,18.3,0.174282,0.174282,+0.000,0.028630,0.028630
DLC1.2-b-s2,0.22,0.21,-0.01,0.0,0.0,0.174126,0.173497,-0.361,0.006782,0.006740
DLC1.2-c-s3,0.25,0.24,-0.01,0.1,2.3,0.166109,0.165205,-0.544,0.007839,0.007744
DLC1.2-d-s6,0.27,0.28,0.01,4.6,20.5,0.163219,0.164271,+0.644,0.021580,0.021824
DLC1.2-d-s2,0.27,0.27,0.0,6.5,24.0,0.160387,0.160387,+0.000,0.020342,0.020342
DLC1.2-d-s4,0.27,0.27,0.0,4.0,20.7,0.157255,0.157255,+0.000,0.022992,0.022992
DLC1.2-d-s3,0.26,0.26,0.0,3.4,15.7,0.156282,0.156282,+0.000,0.022166,0.022166
DLC1.2-e-s1,0.31,0.31,0.0,15.2,31.4,0.133175,0.133175,+0.000,0.020484,0.020484
DLC1.2-e-s2,0.32,0.33,0.01,16.1,34.9,0.130745,0.131806,+0.811,0.020376,0.020662
DLC1.2-e-s6,0.31,0.31,0.0,10.8,23.7,0.122696,0.122696,+0.000,0.016508,0.016508
DLC1.2-e-s5,0.28,0.29,0.01,12.3,27.0,0.122044,0.122905,+0.706,0.021187,0.021427
DLC1.2-e-s4,0.33,0.34,0.01,6.4,27.1,0.112301,0.113243,+0.838,0.018670,0.018947
DLC1.2-e-s3,0.3,0.29,-0.01,9.1,22.0,0.110281,0.109529,-0.681,0.012365,0.012208
DLC1.2-f-s3,0.37,0.36,-0.01,13.6,22.8,0.079132,0.078431,-0.886,0.011276,0.011121
DLC1.2-f-s5,0.34,0.34,0.0,9.0,20.3,0.071703,0.071703,+0.000,0.008387,0.008387
DLC1.2-f-s4,0.36,0.35,-0.01,10.9,18.6,0.071563,0.070894,-0.935,0.008076,0.007947
DLC1.2-f-s6,0.38,0.38,0.0,10.8,21.5,0.069662,0.069662,+0.000,0.008244,0.008244
DLC1.2-f-s1,0.36,0.36,0.0,9.6,21.6,0.068635,0.068635,+0.000,0.007035,0.007035
DLC1.2-f-s2,0.35,0.34,-0.01,4.4,13.2,0.061124,0.060552,-0.935,0.004941,0.004859
DLC1.2-g-s6,0.41,0.4,-0.01,15.0,23.0,0.042481,0.042018,-1.090,0.004061,0.003987
DLC1.2-g-s4,0.4,0.4,0.0,16.9,25.0,0.041134,0.041134,+0.000,0.004131,0.004131
DLC1.2-g-s2,0.39,0.38,-0.01,14.6,20.4,0.039854,0.039459,-0.992,0.004533,0.004453
DLC1.2-g-s5,0.42,0.41,-0.01,14.6,22.1,0.038334,0.037950,-1.001,0.003105,0.003046
