model,case,idx,bin,rpm,rev,brg,kappa,lambda_in,lambda_out,hmin_in_um,hmin_out_um,nu_mm2s,nu1_mm2s,a_iso,a_iso_capped
A1,C1,0,0,5.88646,0.00981077,UW,1.780682,4.144128,4.342388,1.251527,1.311401,294.637248,165.463127,2.490033,0
A1,C1,1,0,5.90042,0.00983403,UW,1.784187,4.151005,4.349594,1.253604,1.313578,294.637248,165.138137,2.494006,0
A1,C1,2,0,5.91064,0.00985107,UW,1.786751,4.156037,4.354867,1.255123,1.31517,294.637248,164.901106,2.496913,0
A1,C1,3,0,5.90599,0.00984332,UW,1.785584,4.153748,4.352468,1.254432,1.314445,294.637248,165.00886,2.495591,0
A1,C1,4,0,5.87357,0.00978928,UW,1.777445,4.137774,4.33573,1.249608,1.30939,294.637248,165.764461,2.486362,0
A1,C1,5,0,5.82921,0.00971535,UW,1.766296,4.115874,4.312782,1.242994,1.30246,294.637248,166.810797,2.473708,0
A1,C1,6,0,5.81019,0.00968365,UW,1.761511,4.106468,4.302927,1.240153,1.299484,294.637248,167.263905,2.468273,0
A1,C1,7,0,5.82221,0.00970368,UW,1.764535,4.112413,4.309156,1.241949,1.301365,294.637248,166.977241,2.471708,0
A1,C1,8,0,5.85034,0.00975057,UW,1.771609,4.126312,4.323719,1.246146,1.305763,294.637248,166.310585,2.479739,0
A1,C1,9,0,5.88391,0.00980652,UW,1.780042,4.142871,4.341071,1.251147,1.311004,294.637248,165.522643,2.489307,0
A1,C1,10,0,5.89136,0.00981893,UW,1.781912,4.146543,4.344918,1.252256,1.312165,294.637248,165.348894,2.491428,0
A1,C1,11,0,5.8929,0.0098215,UW,1.782299,4.147301,4.345713,1.252485,1.312405,294.637248,165.313028,2.491866,0
A1,C1,12,0,5.91476,0.00985793,UW,1.787785,4.158065,4.356991,1.255736,1.315811,294.637248,164.805763,2.498085,0
A1,C1,13,0,5.94913,0.00991522,UW,1.796403,4.174963,4.374699,1.260839,1.321159,294.637248,164.015102,2.507847,0
A1,C1,14,0,5.98414,0.00997357,UW,1.805173,4.192147,4.392704,1.266028,1.326597,294.637248,163.218267,2.517772,0
A1,C1,15,0,6.00437,0.01000728,UW,1.810237,4.202062,4.403094,1.269023,1.329734,294.637248,162.761705,2.523499,0
A1,C1,16,0,5.99663,0.00999438,UW,1.8083,4.19827,4.39912,1.267877,1.328534,294.637248,162.936052,2.521309,0
A1,C1,17,0,5.98647,0.00997745,UW,1.805757,4.193289,4.393901,1.266373,1.326958,294.637248,163.165538,2.518432,0
A1,C1,18,0,5.98126,0.00996877,UW,1.804452,4.190734,4.391224,1.265602,1.32615,294.637248,163.283494,2.516957,0
A1,C1,19,0,5.97803,0.00996338,UW,1.803643,4.18915,4.389564,1.265123,1.325648,294.637248,163.356716,2.516041,0
A1,C1,0,0,5.88646,0.00981077,DW,1.780682,4.26987,4.474146,1.289501,1.351192,294.637248,165.463127,4.227015,0
A1,C1,1,0,5.90042,0.00983403,DW,1.784187,4.276956,4.481571,1.291641,1.353434,294.637248,165.138137,4.235105,0
A1,C1,2,0,5.91064,0.00985107,DW,1.786751,4.28214,4.487003,1.293206,1.355075,294.637248,164.901106,4.241026,0
A1,C1,3,0,5.90599,0.00984332,DW,1.785584,4.279782,4.484532,1.292494,1.354329,294.637248,165.00886,4.238332,0
A1,C1,4,0,5.87357,0.00978928,DW,1.777445,4.263323,4.467285,1.287524,1.34912,294.637248,165.764461,4.219542,0
A1,C1,5,0,5.82921,0.00971535,DW,1.766296,4.240758,4.443641,1.280709,1.34198,294.637248,166.810797,4.193803,0
A1,C1,6,0,5.81019,0.00968365,DW,1.761511,4.231067,4.433487,1.277782,1.338913,294.637248,167.263905,4.182756,0
A1,C1,7,0,5.82221,0.00970368,DW,1.764535,4.237193,4.439905,1.279632,1.340851,294.637248,166.977241,4.189738,0
A1,C1,8,0,5.85034,0.00975057,DW,1.771609,4.251513,4.45491,1.283957,1.345383,294.637248,166.310585,4.206067,0
A1,C1,9,0,5.88391,0.00980652,DW,1.780042,4.268575,4.472789,1.28911,1.350782,294.637248,165.522643,4.225537,0
A1,C1,10,0,5.89136,0.00981893,DW,1.781912,4.272358,4.476753,1.290252,1.351979,294.637248,165.348894,4.229855,0
A1,C1,11,0,5.8929,0.0098215,DW,1.782299,4.273139,4.477572,1.290488,1.352227,294.637248,165.313028,4.230747,0
A1,C1,12,0,5.91476,0.00985793,DW,1.787785,4.284229,4.489192,1.293837,1.355736,294.637248,164.805763,4.243412,0
A1,C1,13,0,5.94913,0.00991522,DW,1.796403,4.301641,4.507436,1.299096,1.361246,294.637248,164.015102,4.26331,0
A1,C1,14,0,5.98414,0.00997357,DW,1.805173,4.319345,4.525988,1.304442,1.366848,294.637248,163.218267,4.283557,0
A1,C1,15,0,6.00437,0.01000728,DW,1.810237,4.329562,4.536693,1.307528,1.370081,294.637248,162.761705,4.295248,0
A1,C1,16,0,5.99663,0.00999438,DW,1.8083,4.325654,4.532599,1.306348,1.368845,294.637248,162.936052,4.290776,0
A1,C1,17,0,5.98647,0.00997745,DW,1.805757,4.320523,4.527222,1.304798,1.367221,294.637248,163.165538,4.284904,0
A1,C1,18,0,5.98126,0.00996877,DW,1.804452,4.31789,4.524463,1.304003,1.366388,294.637248,163.283494,4.281893,0
A1,C1,19,0,5.97803,0.00996338,DW,1.803643,4.316258,4.522753,1.30351,1.365871,294.637248,163.356716,4.280025,0
A1,C1,20,0,5.96579,0.00994298,UW,1.800578,4.183144,4.383271,1.263309,1.323748,294.637248,163.63485,2.512572,0
A1,C1,21,0,5.93729,0.00989548,UW,1.793435,4.169145,4.368602,1.259082,1.319318,294.637248,164.286529,2.504486,0
A1,C1,22,0,5.90582,0.00984303,UW,1.785542,4.153664,4.352381,1.254407,1.314419,294.637248,165.012802,2.495542,0
A1,C1,23,0,5.8937,0.00982283,UW,1.7825,4.147695,4.346126,1.252604,1.31253,294.637248,165.294403,2.492094,0
A1,C1,24,0,5.90858,0.00984763,UW,1.786234,4.155023,4.353804,1.254817,1.314849,294.637248,164.948823,2.496327,0
A1,C1,25,0,5.93629,0.00989382,UW,1.793185,4.168654,4.368087,1.258933,1.319162,294.637248,164.309498,2.504202,0
A1,C1,26,0,5.95844,0.00993073,UW,1.798736,4.179536,4.37949,1.26222,1.322606,294.637248,163.802368,2.510488,0
A1,C1,27,0,5.96989,0.00994982,UW,1.801605,4.185156,4.385379,1.263917,1.324385,294.637248,163.541568,2.513735,0
A1,C1,28,0,5.98443,0.00997405,UW,1.805246,4.192289,4.392853,1.266071,1.326642,294.637248,163.211702,2.517855,0
A1,C1,29,0,6.00473,0.01000788,UW,1.810327,4.202238,4.403279,1.269076,1.32979,294.637248,162.753605,2.523601,0
A1,C1,30,0,6.02901,0.01004835,UW,1.816401,4.214125,4.415734,1.272666,1.333552,294.637248,162.209403,2.530467,0
A1,C1,31,0,6.04534,0.01007557,UW,1.820483,4.222112,4.424103,1.275078,1.336079,294.637248,161.84564,2.535079,0
A1,C1,32,0,6.04723,0.01007872,UW,1.820955,4.223036,4.425071,1.275357,1.336372,294.637248,161.803654,2.535613,0
A1,C1,33,0,6.04272,0.0100712,UW,1.819828,4.220831,4.422761,1.274691,1.335674,294.637248,161.903881,2.53434,0
A1,C1,34,0,6.03766,0.01006277,UW,1.818563,4.218357,4.420168,1.273944,1.334891,294.637248,162.016493,2.53291,0
