model,DLC,bin,rpm,rev,k,ScaleFactor,brg,kappa,lambda_in,lambda_out,hmin_in_um,hmin_out_um,nu_mm2s,nu1_mm2s,a_iso,a_iso_capped
기준선,DLC1.2-a-s1,0,3.49629,1.16543,0.2,37800.0,UW,1.067947,1.827118,1.877097,0.55179,0.566883,294.637248,275.891181,0.808404,0
기준선,DLC1.2-a-s1,1,3.4935,1.1645,0.2,37800.0,UW,1.06724,1.830962,1.881047,0.552951,0.568076,294.637248,276.074144,0.821734,0
기준선,DLC1.2-a-s1,2,3.49907,1.16636,0.2,37800.0,UW,1.068653,1.823688,1.873574,0.550754,0.565819,294.637248,275.709018,0.798208,0
기준선,DLC1.2-a-s1,3,3.49708,1.16569,0.2,37800.0,UW,1.068148,1.835987,1.886209,0.554468,0.569635,294.637248,275.839248,0.832273,0
기준선,DLC1.2-a-s1,4,3.49135,1.16378,0.2,37800.0,UW,1.066695,1.826626,1.876592,0.551641,0.566731,294.637248,276.215021,0.812307,0
기준선,DLC1.2-a-s1,5,3.49315,1.16438,0.2,37800.0,UW,1.067153,1.830857,1.880939,0.552919,0.568044,294.637248,276.096621,0.822616,0
기준선,DLC1.2-a-s1,6,3.48881,1.16294,0.2,37800.0,UW,1.066052,1.814155,1.863779,0.547875,0.562861,294.637248,276.381628,0.782416,0
기준선,DLC1.2-a-s1,7,3.48961,1.1632,0.2,37800.0,UW,1.066255,1.803774,1.853115,0.54474,0.559641,294.637248,276.328965,0.756574,0
기준선,DLC1.2-a-s1,8,3.49305,1.16435,0.2,37800.0,UW,1.067127,1.803576,1.852912,0.54468,0.559579,294.637248,276.103181,0.753795,0
기준선,DLC1.2-a-s1,9,3.48731,1.16244,0.2,37800.0,UW,1.065671,1.781209,1.829932,0.537925,0.55264,294.637248,276.480383,0.705523,0
기준선,DLC1.2-a-s1,10,3.48957,1.16319,0.2,37800.0,UW,1.066244,1.785335,1.834172,0.539171,0.55392,294.637248,276.331788,0.714038,0
기준선,DLC1.2-a-s1,11,3.49684,1.16561,0.2,37800.0,UW,1.068088,1.801769,1.851055,0.544134,0.559019,294.637248,275.854722,0.746917,0
기준선,DLC1.2-a-s1,12,3.50275,1.16758,0.2,37800.0,UW,1.069587,1.820375,1.87017,0.549753,0.564791,294.637248,275.468301,0.787577,0
기준선,DLC1.2-a-s1,13,3.486,1.162,0.2,37800.0,UW,1.065338,1.808461,1.85793,0.546155,0.561095,294.637248,276.567024,0.771658,0
기준선,DLC1.2-a-s1,14,3.48903,1.16301,0.2,37800.0,UW,1.066106,1.800392,1.849641,0.543719,0.558592,294.637248,276.36761,0.750349,0
기준선,DLC1.2-a-s1,15,3.49213,1.16404,0.2,37800.0,UW,1.066893,1.805032,1.854407,0.54512,0.560031,294.637248,276.163944,0.759651,0
기준선,DLC1.2-a-s1,16,3.4959,1.1653,0.2,37800.0,UW,1.06785,1.813279,1.862879,0.54761,0.56259,294.637248,275.916412,0.776786,0
기준선,DLC1.2-a-s1,17,3.4956,1.1652,0.2,37800.0,UW,1.067774,1.818324,1.868063,0.549134,0.564155,294.637248,275.935948,0.789999,0
기준선,DLC1.2-a-s1,18,3.49476,1.16492,0.2,37800.0,UW,1.06756,1.798293,1.847483,0.543084,0.55794,294.637248,275.991199,0.740403,0
기준선,DLC1.2-a-s1,19,3.49576,1.16525,0.2,37800.0,UW,1.067814,1.800338,1.849585,0.543702,0.558575,294.637248,275.925502,0.745222,0
기준선,DLC1.2-a-s1,0,3.49629,1.16543,0.2,37800.0,DW,1.067947,2.022175,2.07749,0.610697,0.627402,294.637248,275.891181,1.424746,0
기준선,DLC1.2-a-s1,1,3.4935,1.1645,0.2,37800.0,DW,1.06724,2.03579,2.091477,0.614809,0.631626,294.637248,276.074144,1.493193,0
기준선,DLC1.2-a-s1,2,3.49907,1.16636,0.2,37800.0,DW,1.068653,2.028318,2.083801,0.612552,0.629308,294.637248,275.709018,1.439886,0
기준선,DLC1.2-a-s1,3,3.49708,1.16569,0.2,37800.0,DW,1.068148,2.054246,2.110438,0.620382,0.637352,294.637248,275.839248,1.578247,0
기준선,DLC1.2-a-s1,4,3.49135,1.16378,0.2,37800.0,DW,1.066695,2.033885,2.089521,0.614233,0.631035,294.637248,276.215021,1.483719,0
기준선,DLC1.2-a-s1,5,3.49315,1.16438,0.2,37800.0,DW,1.067153,2.047213,2.103212,0.618258,0.63517,294.637248,276.096621,1.543559,0
기준선,DLC1.2-a-s1,6,3.48881,1.16294,0.2,37800.0,DW,1.066052,2.013555,2.068634,0.608094,0.624727,294.637248,276.381628,1.381417,0
기준선,DLC1.2-a-s1,7,3.48961,1.1632,0.2,37800.0,DW,1.066255,1.991829,2.046314,0.601532,0.617987,294.637248,276.328965,1.280925,0
