model,DLC,brg,nbin,k,ScaleFactor,rev_total,rpm_tw,dur_total,nbin_all,kappa_w,kappa_m,lambda_in_w,lambda_in_m,lambda_out_w,lambda_out_m,hmin_in_um_w,hmin_in_um_m,hmin_out_um_w,hmin_out_um_m,nu_mm2s_w,nu_mm2s_m,nu1_mm2s_w,nu1_mm2s_m,a_iso_w,a_iso_m,cap_pct,lam_min,lam_max,regime_w,D30_UW,D30_DW,dmg_pct
기준선,DLC1.2-a-s1,DW,30,0.2,37800.0,1321345.494,3.495,22683763.2,30,1.06763,1.06763,2.00445,2.00444,2.05928,2.05927,0.60534,0.60534,0.6219,0.6219,294.63725,294.63725,275.97264,275.97304,1.32975,1.32971,0.0,1.95,2.0542,혼합 (1≤λ<3),0.213034,0.013442,3.076
기준선,DLC1.2-a-s1,UW,30,0.2,37800.0,1321345.494,3.495,22683763.2,30,1.06763,1.06763,1.81066,1.81065,1.86019,1.86018,0.54682,0.54682,0.56178,0.56177,294.63725,294.63725,275.97264,275.97304,0.7701,0.77008,0.0,1.7812,1.836,혼합 (1≤λ<3),0.213034,0.013442,3.076
기준선,DLC1.2-a-s2,DW,30,0.18,37800.0,1321343.604,3.495,22683773.3,30,1.06763,1.06763,2.00538,2.00537,2.06023,2.06022,0.60562,0.60562,0.62219,0.62219,294.63725,294.63725,275.97304,275.97392,1.33492,1.33488,0.0,1.9413,2.0574,혼합 (1≤λ<3),0.213617,0.01367,3.085
기준선,DLC1.2-a-s2,UW,30,0.18,37800.0,1321343.604,3.495,22683773.3,30,1.06763,1.06763,1.81101,1.811,1.86055,1.86054,0.54693,0.54692,0.56189,0.56188,294.63725,294.63725,275.97304,275.97392,0.77126,0.77125,0.0,1.7776,1.8405,혼합 (1≤λ<3),0.213617,0.01367,3.085
기준선,DLC1.2-a-s3,DW,30,0.17,37800.0,1321359.48,3.4951,22683784.1,30,1.06764,1.06764,2.00616,2.00615,2.06104,2.06103,0.60586,0.60586,0.62243,0.62243,294.63725,294.63725,275.97046,275.97119,1.34192,1.3419,0.0,1.9315,2.0528,혼합 (1≤λ<3),0.21602,0.014263,3.119
기준선,DLC1.2-a-s3,UW,30,0.17,37800.0,1321359.48,3.4951,22683784.1,30,1.06764,1.06764,1.81134,1.81133,1.86089,1.86088,0.54703,0.54702,0.56199,0.56199,294.63725,294.63725,275.97046,275.97119,0.77246,0.77245,0.0,1.775,1.8357,혼합 (1≤λ<3),0.21602,0.014263,3.119
기준선,DLC1.2-a-s4,DW,30,0.18,37800.0,1321363.638,3.4951,22683789.4,30,1.06765,1.06764,2.00219,2.00221,2.05695,2.05697,0.60466,0.60467,0.6212,0.62121,294.63725,294.63725,275.96969,275.97062,1.32308,1.32319,0.0,1.9505,2.0644,혼합 (1≤λ<3),0.220206,0.014547,3.18
기준선,DLC1.2-a-s4,UW,30,0.18,37800.0,1321363.638,3.4951,22683789.4,30,1.06765,1.06764,1.80967,1.80968,1.85918,1.85918,0.54652,0.54652,0.56147,0.56147,294.63725,294.63725,275.96969,275.97062,0.76798,0.76801,0.0,1.7848,1.8401,혼합 (1≤λ<3),0.220206,0.014547,3.18
기준선,DLC1.2-a-s5,DW,30,0.2,37800.0,1321343.982,3.495,22683777.3,30,1.06763,1.06763,2.00793,2.00792,2.06285,2.06285,0.60639,0.60639,0.62298,0.62298,294.63725,294.63725,275.97301,275.97381,1.36975,1.36975,0.0,1.9207,2.1487,혼합 (1≤λ<3),0.228086,0.016146,3.294
기준선,DLC1.2-a-s5,UW,30,0.2,37800.0,1321343.982,3.495,22683777.3,30,1.06763,1.06763,1.81157,1.81157,1.86113,1.86112,0.54709,0.54709,0.56206,0.56206,294.63725,294.63725,275.97301,275.97381,0.77525,0.77525,0.0,1.7673,1.8752,혼합 (1≤λ<3),0.228086,0.016146,3.294
기준선,DLC1.2-a-s6,DW,30,0.19,37800.0,1321356.078,3.4951,22683769.9,30,1.06764,1.06764,2.00505,2.00507,2.0599,2.05992,0.60553,0.60553,0.62209,0.62209,294.63725,294.63725,275.97086,275.97163,1.3349,1.33499,0.0,1.9507,2.0717,혼합 (1≤λ<3),0.216416,0.014034,3.125
기준선,DLC1.2-a-s6,UW,30,0.19,37800.0,1321356.078,3.4951,22683769.9,30,1.06764,1.06764,1.81061,1.81062,1.86014,1.86014,0.5468,0.54681,0.56176,0.56176,294.63725,294.63725,275.97086,275.97163,0.77035,0.77037,0.0,1.7858,1.8412,혼합 (1≤λ<3),0.216416,0.014034,3.125
기준선,DLC1.2-b-s1,DW,30,0.22,45700.0,1678915.175,3.6732,27424561.1,30,1.11426,1.11245,2.09026,2.0875,2.14744,2.1446,0.63126,0.63043,0.64853,0.64767,294.63725,294.63725,264.78259,265.19893,1.5057,1.50285,0.0,1.9843,2.2708,혼합 (1≤λ<3),0.204595,0.013023,2.954
기준선,DLC1.2-b-s1,UW,30,0.22,45700.0,1678915.175,3.6732,27424561.1,30,1.11426,1.11245,1.89747,1.89452,1.94938,1.94634,0.57304,0.57214,0.58871,0.5878,294.63725,294.63725,264.78259,265.19893,0.8343,0.83274,0.0,1.8134,2.0887,혼합 (1≤λ<3),0.204595,0.013023,2.954
기준선,DLC1.2-b-s2,DW,30,0.21,45700.0,1696607.016,3.7119,27424584.6,30,1.12816,1.12181,2.11751,2.10582,2.17543,2.16342,0.63949,0.63596,0.65698,0.65335,294.63725,294.63725,262.40585,263.75613,1.58252,1.55782,0.0,1.9846,2.5446,혼합 (1≤λ<3),0.196608,0.012127,2.839
기준선,DLC1.2-b-s2,UW,30,0.21,45700.0,1696607.016,3.7119,27424584.6,30,1.12816,1.12181,1.92352,1.91234,1.97614,1.96465,0.5809,0.57753,0.59679,0.59332,294.63725,294.63725,262.40585,263.75613,0.85646,0.8485,0.0,1.8062,2.3136,혼합 (1≤λ<3),0.196608,0.012127,2.839
