rank,mass_brg_t,mass_total_t,z1,z2,D_pw,alpha,D_we,L_we
1,13.7604,174.5218,1.0,6.0,4.5,19.0,0.14,0.325
2,13.7934,173.8064,1.0,6.0,4.5,15.0,0.17,0.325
3,13.7934,173.8064,1.0,6.0,4.5,15.0,0.17,0.325
4,13.7934,173.8064,1.0,6.0,4.5,15.0,0.17,0.325
5,16.4244,163.6631,1.0,5.5,4.5,31.0,0.17,0.325
6,16.4244,163.6631,1.0,5.5,4.5,31.0,0.17,0.325
7,17.0688,163.2815,1.0,5.5,4.5,31.0,0.2,0.325
8,17.0688,163.2815,1.0,5.5,4.5,31.0,0.2,0.325
9,17.0688,163.2815,1.0,5.5,4.5,31.0,0.2,0.325
10,18.2301,149.5493,1.0,5.5,4.2,15.0,0.17,0.4
11,18.2301,149.5493,1.0,5.5,4.2,15.0,0.17,0.4
12,18.2301,149.5493,1.0,5.5,4.2,15.0,0.17,0.4
13,18.2301,149.5493,1.0,5.5,4.2,15.0,0.17,0.4
14,18.2301,149.5493,1.0,5.5,4.2,15.0,0.17,0.4
15,21.42,142.9649,1.0,5.0,4.2,27.0,0.17,0.4
16,23.7681,139.106,1.0,5.5,3.9,15.0,0.2,0.475
17,23.7681,139.106,1.0,5.5,3.9,15.0,0.2,0.475
18,23.7681,139.106,1.0,5.5,3.9,15.0,0.2,0.475
19,23.7681,139.106,1.0,5.5,3.9,15.0,0.2,0.475
20,27.6482,135.279,1.0,5.0,3.9,23.0,0.23,0.475
21,27.6482,135.279,1.0,5.0,3.9,23.0,0.23,0.475
