rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m
1,16.3509,169.3839,1.0,6.0,4387.0,17.0,161.1,362.5,7502,2.2502,78,2044.2,3984.0,4780.0,472.0,457.0,385.0,6.3165
2,16.4588,166.5025,1.0,6.0,4342.0,17.0,160.5,366.2,7821,2.2816,78,2046.0,3937.0,4736.0,477.0,462.0,389.0,6.30275
3,17.4154,161.06,1.0,6.0,4268.0,16.0,196.2,372.5,3986,1.8986,62,2066.4,3830.0,4696.0,485.0,469.0,396.0,6.20082
4,18.7503,150.6394,1.0,6.0,4104.0,18.0,223.6,381.6,2151,1.7066,53,2082.2,3623.0,4574.0,497.0,481.0,406.0,6.31175
5,19.3061,147.5282,1.0,6.0,4022.0,17.0,195.2,407.0,5849,2.085,59,2084.3,3556.0,4477.0,530.0,513.0,433.0,6.20793
6,20.6891,142.358,1.0,5.5,4056.0,22.0,195.2,405.3,5762,2.0763,60,2097.2,3563.0,4537.0,528.0,511.0,431.0,6.11788
7,21.0504,142.166,1.0,6.0,3891.0,18.0,183.7,437.0,8793,2.3789,61,2095.0,3409.0,4361.0,569.0,551.0,464.0,6.24348
8,26.7776,141.152,1.0,5.5,3891.0,25.0,210.8,467.1,7157,2.2158,53,2070.4,3318.0,4450.0,608.0,589.0,496.0,6.29699
9,27.299,136.2648,1.0,5.0,3942.0,30.0,216.6,454.8,5998,2.0997,52,2098.8,3348.0,4523.0,592.0,573.0,483.0,6.25999
10,32.7255,135.9051,1.0,3.0,4484.0,28.0,194.3,478.3,9618,2.4617,66,2095.3,3899.0,5055.0,623.0,603.0,508.0,4.36701
