rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m
1,13.4226,169.4936,1.0,6.0,4423.0,15.0,140.1,334.8,8900,2.3897,91,2098.3,4069.0,4768.0,436.0,422.0,356.0,6.15881
2,13.4226,169.4936,1.0,6.0,4423.0,15.0,140.1,334.8,8900,2.3897,91,2098.3,4069.0,4768.0,436.0,422.0,356.0,6.15881
3,13.4226,169.4936,1.0,6.0,4423.0,15.0,140.1,334.8,8900,2.3897,91,2098.3,4069.0,4768.0,436.0,422.0,356.0,6.15881
4,13.4226,169.4936,1.0,6.0,4423.0,15.0,140.1,334.8,8900,2.3897,91,2098.3,4069.0,4768.0,436.0,422.0,356.0,6.15881
5,13.5841,169.1955,1.0,6.0,4420.0,15.0,146.6,334.5,7819,2.2817,87,2097.5,4060.0,4771.0,436.0,422.0,356.0,6.15811
6,13.6284,168.2313,1.0,6.0,4410.0,18.0,136.8,330.5,9163,2.4159,93,2099.0,4047.0,4763.0,430.0,417.0,351.0,6.40575
7,13.6777,167.8233,1.0,6.0,4399.0,15.0,140.6,339.5,9150,2.4147,90,2097.9,4041.0,4747.0,442.0,428.0,361.0,6.15239
8,13.6777,167.8233,1.0,6.0,4399.0,15.0,140.6,339.5,9150,2.4147,90,2097.9,4041.0,4747.0,442.0,428.0,361.0,6.15239
9,13.8262,166.0927,1.0,6.0,4374.0,17.0,140.2,336.7,9015,2.4016,90,2099.9,4009.0,4730.0,438.0,424.0,358.0,6.31112
10,13.8262,166.0927,1.0,6.0,4374.0,17.0,140.2,336.7,9015,2.4016,90,2099.9,4009.0,4730.0,438.0,424.0,358.0,6.31112
11,13.8262,166.0927,1.0,6.0,4374.0,17.0,140.2,336.7,9015,2.4016,90,2099.9,4009.0,4730.0,438.0,424.0,358.0,6.31112
12,13.972,164.5533,1.0,6.0,4349.0,15.0,147.8,343.0,8208,2.3207,85,2099.9,3982.0,4706.0,447.0,432.0,365.0,6.14013
13,14.1653,164.5139,1.0,6.0,4347.0,15.0,147.7,345.8,8418,2.3412,85,2095.1,3978.0,4706.0,450.0,436.0,368.0,6.13859
14,14.2021,163.9447,1.0,6.0,4344.0,19.0,141.0,337.0,8898,2.3901,89,2099.7,3968.0,4710.0,439.0,425.0,358.0,6.4698
15,14.3947,163.8331,1.0,6.0,4336.0,16.0,147.8,346.8,8465,2.3464,84,2099.3,3962.0,4701.0,452.0,437.0,369.0,6.21824
16,14.4081,162.0516,1.0,6.0,4307.0,15.0,147.4,352.0,8880,2.3881,84,2099.6,3935.0,4669.0,458.0,444.0,374.0,6.12788
17,14.6526,161.1273,1.0,6.0,4287.0,15.0,149.0,355.3,8845,2.3846,83,2096.1,3911.0,4653.0,463.0,448.0,378.0,6.12356
18,14.6526,161.1273,1.0,6.0,4287.0,15.0,149.0,355.3,8845,2.3846,83,2096.1,3911.0,4653.0,463.0,448.0,378.0,6.12356
19,14.7405,160.7064,1.0,6.0,4279.0,15.0,147.8,357.9,9216,2.4215,83,2099.1,3902.0,4645.0,466.0,451.0,380.0,6.1214
20,14.9694,160.2585,1.0,6.0,4286.0,20.0,149.0,344.1,8096,2.3094,83,2099.4,3892.0,4670.0,448.0,434.0,366.0,6.53432
21,14.9825,160.2493,1.0,6.0,4279.0,18.0,147.8,351.3,8766,2.3769,83,2099.6,3891.0,4657.0,457.0,443.0,373.0,6.36445
22,14.9927,159.155,1.0,6.0,4260.0,16.0,150.9,357.6,8703,2.3698,81,2099.0,3875.0,4634.0,466.0,451.0,380.0,6.19653
23,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
24,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
25,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
26,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
27,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
28,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
29,15.1293,158.1775,1.0,6.0,4250.0,17.0,159.4,353.3,7162,2.2164,77,2099.0,3855.0,4635.0,460.0,445.0,375.0,6.27464
30,15.2794,157.8196,1.0,6.0,4236.0,15.0,160.6,362.2,7556,2.2553,76,2096.5,3844.0,4617.0,472.0,456.0,385.0,6.11112
31,15.4799,156.605,1.0,6.0,4215.0,15.0,160.1,366.2,7878,2.2873,76,2094.7,3821.0,4598.0,477.0,462.0,389.0,6.10449
32,15.6723,156.3375,1.0,6.0,4213.0,18.0,157.4,360.1,7878,2.2878,77,2098.1,3810.0,4606.0,469.0,454.0,383.0,6.34425
33,15.681,154.7882,1.0,6.0,4182.0,15.0,156.2,372.3,8833,2.3835,77,2099.8,3788.0,4566.0,485.0,469.0,396.0,6.09659
34,15.8791,154.5379,1.0,6.0,4173.0,15.0,156.3,375.6,9031,2.4031,77,2094.8,3777.0,4559.0,489.0,473.0,399.0,6.09418
35,15.924,153.9485,1.0,6.0,4173.0,18.0,158.5,364.9,8026,2.3022,76,2099.9,3765.0,4570.0,475.0,460.0,388.0,6.33129
36,15.985,153.5991,1.0,6.0,4162.0,16.0,159.8,372.8,8330,2.3329,75,2099.7,3759.0,4555.0,485.0,470.0,396.0,6.16865
37,15.985,153.5991,1.0,6.0,4162.0,16.0,159.8,372.8,8330,2.3329,75,2099.7,3759.0,4555.0,485.0,470.0,396.0,6.16865
38,16.2514,152.3479,1.0,6.0,4133.0,15.0,158.9,381.7,9025,2.4021,75,2098.6,3730.0,4525.0,497.0,481.0,406.0,6.08353
39,16.2514,152.3479,1.0,6.0,4133.0,15.0,158.9,381.7,9025,2.4021,75,2098.6,3730.0,4525.0,497.0,481.0,406.0,6.08353
40,16.3709,152.1539,1.0,6.0,4140.0,17.0,165.5,373.4,7562,2.2562,72,2099.8,3725.0,4544.0,486.0,471.0,397.0,6.24119
41,16.3709,152.1539,1.0,6.0,4140.0,17.0,165.5,373.4,7562,2.2562,72,2099.8,3725.0,4544.0,486.0,471.0,397.0,6.24119
42,16.3709,152.1539,1.0,6.0,4140.0,17.0,165.5,373.4,7562,2.2562,72,2099.8,3725.0,4544.0,486.0,471.0,397.0,6.24119
43,16.5128,151.8358,1.0,6.0,4123.0,16.0,158.2,382.7,9190,2.4191,75,2098.2,3715.0,4521.0,498.0,482.0,407.0,6.15845
44,17.0066,151.1613,1.0,6.0,4109.0,18.0,158.2,382.7,9190,2.4191,75,2093.3,3689.0,4518.0,498.0,482.0,407.0,6.31152
45,17.1212,149.8071,1.0,6.0,4101.0,18.0,179.4,376.7,6000,2.0998,66,2098.7,3665.0,4526.0,491.0,475.0,400.0,6.30946
46,17.1212,149.8071,1.0,6.0,4101.0,18.0,179.4,376.7,6000,2.0998,66,2098.7,3665.0,4526.0,491.0,475.0,400.0,6.30946
47,17.266,149.5712,1.0,6.0,4101.0,21.0,176.7,371.1,6000,2.1002,67,2099.7,3657.0,4535.0,483.0,468.0,394.0,6.55055
48,17.266,149.5712,1.0,6.0,4101.0,21.0,176.7,371.1,6000,2.1002,67,2099.7,3657.0,4535.0,483.0,468.0,394.0,6.55055
49,17.3974,149.0769,1.0,6.0,4067.0,18.0,158.5,390.2,9620,2.4618,74,2096.9,3642.0,4481.0,508.0,492.0,415.0,6.2979
50,17.3974,149.0769,1.0,6.0,4067.0,18.0,158.5,390.2,9620,2.4618,74,2096.9,3642.0,4481.0,508.0,492.0,415.0,6.2979
