subset,rank_pareto,key,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s
z1>=1.0,1,1.00_6.00_4423.0_15_140.10_334.80,1.0,6.0,4423.0,15.0,140.1,334.8,2.3897,91,4069.0,4768.0,436.0,422.0,356.0,6.15881,13422.6,142648.3,169493.6,2098.3,1,,0.34
z1>=1.0,2,1.00_6.00_4420.0_15_146.60_334.50,1.0,6.0,4420.0,15.0,146.6,334.5,2.2817,87,4060.0,4771.0,436.0,422.0,356.0,6.15811,13584.1,142027.4,169195.5,2097.5,1,,0.32
z1>=1.0,3,1.00_6.00_4410.0_18_136.80_330.50,1.0,6.0,4410.0,18.0,136.8,330.5,2.4159,93,4047.0,4763.0,430.0,417.0,351.0,6.40575,13628.4,140974.4,168231.3,2099.0,1,,0.32
z1>=1.0,4,1.00_6.00_4399.0_15_140.60_339.50,1.0,6.0,4399.0,15.0,140.6,339.5,2.4147,90,4041.0,4747.0,442.0,428.0,361.0,6.15239,13677.7,140467.8,167823.3,2097.9,1,,0.32
z1>=1.0,5,1.00_6.00_4374.0_17_140.20_336.70,1.0,6.0,4374.0,17.0,140.2,336.7,2.4016,90,4009.0,4730.0,438.0,424.0,358.0,6.31112,13826.2,138440.3,166092.7,2099.9,1,,0.34
z1>=1.0,6,1.00_6.00_4349.0_15_147.80_343.00,1.0,6.0,4349.0,15.0,147.8,343.0,2.3207,85,3982.0,4706.0,447.0,432.0,365.0,6.14013,13972.0,136609.4,164553.3,2099.9,1,,0.37
z1>=1.0,7,1.00_6.00_4347.0_15_147.70_345.80,1.0,6.0,4347.0,15.0,147.7,345.8,2.3412,85,3978.0,4706.0,450.0,436.0,368.0,6.13859,14165.3,136183.3,164513.9,2095.1,1,,0.35
z1>=1.0,8,1.00_6.00_4344.0_19_141.00_337.00,1.0,6.0,4344.0,19.0,141.0,337.0,2.3901,89,3968.0,4710.0,439.0,425.0,358.0,6.4698,14202.1,135540.4,163944.7,2099.7,1,,0.33
z1>=1.0,9,1.00_6.00_4336.0_16_147.80_346.80,1.0,6.0,4336.0,16.0,147.8,346.8,2.3464,84,3962.0,4701.0,452.0,437.0,369.0,6.21824,14394.7,135043.7,163833.1,2099.3,1,,0.35
z1>=1.0,10,1.00_6.00_4307.0_15_147.40_352.00,1.0,6.0,4307.0,15.0,147.4,352.0,2.3881,84,3935.0,4669.0,458.0,444.0,374.0,6.12788,14408.1,133235.4,162051.6,2099.6,1,,0.33
z1>=1.0,11,1.00_6.00_4287.0_15_149.00_355.30,1.0,6.0,4287.0,15.0,149.0,355.3,2.3846,83,3911.0,4653.0,463.0,448.0,378.0,6.12356,14652.6,131822.2,161127.3,2096.1,1,,0.36
