DLC,D30_UW,k,nbin,fatigue_inf,static
DLC1.2-d-s1,0.011102403250328961,0.19,30,13.170501126844085,40.29379208062748
DLC1.2-d-s5,0.010937954959333298,0.2,30,13.453610307111049,40.313893278801466
DLC1.2-d-s2,0.010658339514101141,0.19,30,13.534852762543917,41.01963070178446
DLC1.2-d-s3,0.01032930771048789,0.18,30,12.626690051006959,38.24480939042503
DLC1.2-d-s4,0.010190083643746874,0.18,30,12.998322039352548,38.92256283836589
DLC1.2-d-s6,0.010096770640425815,0.19,30,13.68065214000966,40.25873458195581
DLC1.2-a-s5,0.00935990023304749,0.18,30,20.384981486026582,55.01920069531648
DLC1.2-a-s4,0.009197702232834597,0.16,30,22.054252992527843,60.12642722790625
DLC1.2-a-s6,0.00909394385588246,0.17,30,21.93615998991649,59.50444325412569
DLC1.2-a-s3,0.00906932024892393,0.16,30,20.97026410904078,56.18381006254632
DLC1.2-a-s2,0.009009116468609397,0.16,30,21.830933504289277,58.18753012811808
DLC1.2-a-s1,0.009002281370758617,0.18,30,22.759996162966395,60.75447689476
DLC1.2-b-s5,0.008828665284549213,0.19,30,18.430556136601993,54.93132585960635
DLC1.2-b-s1,0.008797928135671557,0.19,30,19.339769763798074,56.820656060303435
DLC1.2-b-s4,0.00858008937891655,0.2,30,20.384605964824857,59.310124694680376
DLC1.2-b-s2,0.008555571068156286,0.19,30,21.01516291929294,62.8463451002034
DLC1.2-b-s6,0.008529228052010484,0.19,30,20.58893554514586,59.39070061827305
DLC1.2-b-s3,0.008506144396529325,0.19,30,21.280686329132816,62.97036905783045
DLC1.2-e-s1,0.007984301267421692,0.21,30,12.100709822927078,36.76681481039755
DLC1.2-e-s2,0.007849417977368005,0.22,30,12.50917392094375,37.30302371721689
DLC1.2-c-s6,0.0077948946480360035,0.2,30,14.535729801769763,44.84378120679095
DLC1.2-c-s2,0.007572438503980129,0.2,30,15.043246063299701,46.37050324150595
DLC1.2-e-s4,0.007510876839732153,0.22,30,13.015777511833146,38.46528595914118
DLC1.2-c-s1,0.007477743544321598,0.18,30,16.347105854984918,50.607036366862
DLC1.2-e-s5,0.007417829170926584,0.2,30,12.082631929042513,36.410992232675454
DLC1.2-c-s3,0.007393289106890217,0.19,30,17.43275565990183,53.98920230161544
DLC1.2-c-s5,0.007355056632434372,0.18,30,16.16032274741379,49.79146143601984
DLC1.2-e-s6,0.007339353730708277,0.2,30,12.227966203937742,37.17514643733758
DLC1.2-c-s4,0.00700743719758431,0.2,30,16.708462122084587,50.63355367893977
DLC1.2-e-s3,0.006466734216427678,0.2,30,12.701352530222819,37.61482228617476
DLC1.2-f-s3,0.0034751364772509404,0.25,30,11.893681326921845,35.58024066564943
DLC1.2-f-s5,0.0033987351349000863,0.25,30,11.565280014472407,34.74878178543775
DLC1.2-f-s6,0.0033394613406025567,0.28,30,12.779943723179628,37.968666547623236
DLC1.2-f-s4,0.0033214076187138746,0.26,30,11.28084365645535,34.00668830436047
DLC1.2-f-s1,0.003229027263746132,0.26,30,13.305366948452507,39.05037862934631
DLC1.2-f-s2,0.003048001645937937,0.26,30,12.941499253355767,38.08391995353477
DLC1.2-g-s4,0.0015788502313050568,0.31,30,13.185197379052418,38.68556909064505
DLC1.2-g-s6,0.001542534973801567,0.32,30,12.090100005392602,35.69026948164449
DLC6.4-a-s3,0.0015356498673783064,3.0,30,25.49834373061521,63.98805291685221
DLC1.2-g-s2,0.001496435144699804,0.29,30,12.298441056755813,36.57278147215932
DLC1.2-g-s5,0.0014902095221433285,0.33,30,12.921392872272731,38.04361352089429
DLC1.2-g-s1,0.0014191291723724807,0.3,30,13.08674427995275,38.613758605019044
DLC6.4-a-s2,0.001412758056446982,3.0,30,25.61821735082653,64.29207814437439
DLC1.2-g-s3,0.0013725822321950612,0.3,30,12.932526613286687,37.890027149648226
DLC6.4-a-s5,0.0009949142714948853,3.0,30,25.53568372103315,64.0817879276671
DLC6.4-a-s6,0.000974917702246565,3.0,30,25.595542411348063,64.23367615199277
DLC6.4-a-s4,0.0009741067873155918,3.0,30,25.528561772061458,64.06271573205049
DLC6.4-a-s1,0.0009102457172442978,3.0,30,25.514998673595553,64.02659117949585
DLC4.1-a-y1,0.0007714418575627308,0.34,10,22.308395722229974,54.916421554977774
DLC4.1-a-y3,0.0007616346757508433,0.34,10,23.190191475618043,57.083468976949426
DLC4.1-a-y2,0.0007557346428784826,0.35,10,22.729071986947734,55.949731190276346
DLC1.2-h-s1,0.0007400600903152108,0.38,30,11.059390445833529,32.95597503352364
DLC1.2-h-s2,0.0007014017907791034,0.42,30,12.339193575819621,36.550783720685324
DLC1.2-h-s5,0.0006895382400373253,0.39,30,13.024031416200943,38.07290232972929
DLC1.2-h-s4,0.0006687486772235995,0.38,30,12.342660447828012,36.52213892896537
