tag,fatigue_inf,fatigue_inf_min,static,static_min
base,1.8196,1.0,4.3104,1.0
a01,4.2471,1.0,10.0615,1.0
a02,4.219,1.0,9.9948,1.0
a03,4.1786,1.0,9.899,1.0
a04,4.16,1.0,9.8551,1.0
a05,4.0619,1.0,9.6227,1.0
a06,3.9803,1.0,9.4294,1.0
a07,3.9684,1.0,9.401,1.0
a08,3.9385,1.0,9.3303,1.0
a09,3.9206,1.0,9.288,1.0
a10,3.841,1.0,9.0993,1.0
a55,3.0701,1.0,7.2729,1.0
a56,3.0399,1.0,7.2014,1.0
a57,3.0099,1.0,7.1304,1.0
a58,2.8944,1.0,6.8567,1.0
a59,3.2475,1.0,7.6932,1.0
a60,3.1387,1.0,7.4355,1.0
a61,2.4272,1.0,5.7499,1.0
a62,2.4143,1.0,5.7193,1.0
a63,3.7826,1.0,8.961,1.0
a64,3.4972,1.0,8.2848,1.0
b01,4.2425,1.0,10.0507,1.0
b02,4.1221,1.0,9.7655,1.0
b03,4.0492,1.0,9.5927,1.0
b04,4.0311,1.0,9.5498,1.0
b05,3.9148,1.0,9.2743,1.0
b06,3.8152,1.0,9.0384,1.0
b07,3.7949,1.0,8.9904,1.0
b08,3.7374,1.0,8.854,1.0
b09,3.7174,1.0,8.8066,1.0
b10,3.5821,1.0,8.4861,1.0
b32,2.3042,1.0,5.4585,1.0
b33,2.2609,1.0,5.356,1.0
b34,2.2101,1.0,5.2356,1.0
b35,2.472,1.0,5.856,1.0
b36,2.3691,1.0,5.6123,1.0
b37,2.6363,1.0,6.2454,1.0
b38,2.3042,1.0,5.4585,1.0
b39,2.2425,1.0,5.3124,1.0
b40,2.485,1.0,5.8869,1.0
b41,2.3042,1.0,5.4585,1.0
