case,kind,n_lc,torque_kNm,fatigue_inf,static
Mx_max,극한 LC,1,61192.0,11.1004,25.2454
Mx_min,극한 LC,1,-22925.0,21.6428,50.5533
My_max,극한 LC,1,23670.0,6.3597,15.048
My_min,극한 LC,1,27453.0,4.5384,10.7514
Mz_max,극한 LC,1,10308.0,4.8011,11.3844
Mz_min,극한 LC,1,17013.0,4.5792,10.8443
Myz_max,극한 LC,1,22673.0,4.2532,10.076
Myz_min,극한 LC,1,58208.0,17.556,37.8723
Fx_max,극한 LC,1,51143.0,12.2167,28.074
Fx_min,극한 LC,1,90.3,28.7006,67.2846
Fy_max,극한 LC,1,-40.3,29.4889,69.9815
Fy_min,극한 LC,1,33.3,17.559,41.6509
Fz_max,극한 LC,1,-2.0,28.025,66.4307
Fz_min,극한 LC,1,61059.0,9.1877,21.1666
Fyz_max,극한 LC,1,55311.0,12.3312,28.0255
DLC1.2-d-s1 (빈별 최악),듀티사이클,30,,13.1705,40.2938
DLC1.2-d-s1 (듀티 집계),듀티사이클,30,,13.1705,40.2938
