rank,OD_mm,ID_old_mm,ID_new_mm,t_new_mm,mass_brg_t,mass_shaft_old_t,mass_shaft_t,mass_total_old_t,mass_total_t,sigma_old,sigma_new,feasible
1,4069.0,3602,3835,117.0,13.4226,142.64829999999998,73.6479,169.49360000000001,100.4932,2098.3,2194.5,0
2,4060.0,3594,3825,117.5,13.5841,142.0274,73.7849,169.1955,100.953,2097.5,2187.0,0
3,4047.0,3583,3810,118.5,13.6284,140.9744,74.1486,168.23129999999998,101.4055,2099.0,2193.0,0
4,4041.0,3578,3803,119.0,13.6777,140.46779999999998,74.3383,167.8233,101.6938,2097.9,2193.1,0
5,4009.0,3549,3767,121.0,13.8262,138.44029999999998,74.9324,166.0927,102.5848,2099.9,2191.1,0
6,3982.0,3525,3736,123.0,13.972,136.6094,75.6028,164.55329999999998,103.5467,2099.9,2186.2,0
7,3978.0,3522,3731,123.5,14.1653,136.18329999999997,75.8216,164.5139,104.1522,2095.1,2181.6,0
8,3968.0,3513,3720,124.0,14.2021,135.5404,75.9212,163.9447,104.3254,2099.7,2185.8,0
9,3962.0,3508,3713,124.5,14.3947,135.0437,76.0984,163.8331,104.8878,2099.3,2184.2,0
10,3935.0,3484,3682,126.5,14.4081,133.2354,76.7366,162.0516,105.5527,2099.6,2185.4,0
11,3911.0,3462,3655,128.0,14.6526,131.8222,77.1266,161.1273,106.4317,2096.1,2180.4,0
12,3902.0,3454,3644,129.0,14.7405,131.22529999999998,77.5237,160.7064,107.0048,2099.1,2184.0,0
13,3892.0,3446,3633,129.5,14.9694,130.31980000000001,77.6076,160.2585,107.5463,2099.4,2175.6,0
14,3891.0,3445,3631,130.0,14.9825,130.2843,77.8762,160.24929999999998,107.8412,2099.6,2178.6,0
15,3875.0,3431,3613,131.0,14.9927,129.1696,78.1205,159.155,108.1058,2099.0,2178.2,0
16,3855.0,3413,3590,132.5,15.1293,127.919,78.5613,158.1775,108.8198,2099.0,2168.9,0
17,3844.0,3403,3577,133.5,15.2794,127.2608,78.899,157.8196,109.4578,2096.5,2168.2,0
18,3821.0,3383,3550,135.5,15.4799,125.6451,79.5415,156.605,110.5013,2094.7,2165.6,0
19,3810.0,3373,3537,136.5,15.6723,124.9928,79.8676,156.3375,111.2122,2098.1,2166.2,0
20,3788.0,3354,3512,138.0,15.681,123.4262,80.2287,154.78820000000002,111.5907,2099.8,2171.6,0
21,3777.0,3344,3499,139.0,15.8791,122.77969999999999,80.5444,154.5379,112.3025,2094.8,2166.2,0
22,3765.0,3333,3485,140.0,15.924,122.1005,80.834,153.9485,112.6819,2099.9,2165.1,0
23,3759.0,3328,3477,141.0,15.985,121.62910000000001,81.2541,153.5991,113.2242,2099.7,2165.4,0
24,3730.0,3302,3443,143.5,16.2514,119.84519999999999,81.9748,152.34789999999998,114.4776,2098.6,2164.5,0
25,3725.0,3298,3437,144.0,16.3709,119.41210000000001,82.1343,152.1539,114.8761,2099.8,2158.4,0
26,3715.0,3289,3425,145.0,16.5128,118.8102,82.4506,151.83579999999998,115.4763,2098.2,2162.1,0
27,3689.0,3266,3395,147.0,17.0066,117.1481,82.9323,151.16129999999998,116.9455,2093.3,2153.6,0
28,3665.0,3245,3366,149.5,17.1212,115.5647,83.7117,149.80710000000002,117.9541,2098.7,2146.3,0
29,3657.0,3238,3356,150.5,17.266,115.0393,84.0559,149.5712,118.5878,2099.7,2145.8,0
30,3642.0,3224,3338,152.0,17.3974,114.282,84.4942,149.0769,119.289,2096.9,2152.4,0
31,3638.0,3221,3333,152.5,17.5023,113.8924,84.6628,148.8969,119.6674,2097.1,2151.0,0
32,3598.0,3185,3285,156.5,17.8815,111.55,85.7867,147.31310000000002,121.5497,2099.8,2140.2,0
33,3555.0,3147,3233,161.0,18.5355,108.8836,87.0353,145.9546,124.1064,2096.7,2132.2,0
34,3542.0,3136,3217,162.5,18.6101,107.9618,87.4709,145.182,124.6911,2099.2,2132.8,0
35,3533.0,3128,3206,163.5,18.6166,107.4218,87.7488,144.655,124.982,2099.8,2132.4,0
36,3523.0,3119,3193,165.0,18.9011,106.8509,88.2516,144.6532,126.0539,2097.8,2127.9,0
