tag,OD_mm,z1,z2,L_mm,k,worst_bin,sf_now,mass_now_t,r_star,ID_star_mm,t_star_mm,OD_over_t,sf_star,static_star,mass_star_t,bin_shift
a01,4069.0,1.0,6.0,6500.0,0.5,11,9.566254605729162,142.6483340476034,0.945,3845.0,111.99999999999987,36.33035714285718,5.024003215633123,14.89283159651646,70.58979244843881,0
a02,4059.9999999999995,1.0,6.0,6500.0,0.5,11,9.503460625151588,142.0274256700172,0.945,3836.0,111.99999999999987,36.250000000000036,5.000873810374605,14.823629394298127,70.42923947092146,0
a03,4046.9999999999995,1.0,6.0,6500.0,0.51,11,9.386398528643234,140.97443387005012,0.944,3820.0,113.49999999999993,35.65638766519826,5.019060079841139,14.876149438933234,71.11035521507671,0
a04,4041.0000000000005,1.0,6.0,6500.0,0.5,11,9.356975864252366,140.46780799382208,0.944,3814.0,113.50000000000016,35.60352422907484,5.0129117540060735,14.857758621235284,71.00188638800418,0
a05,4009.0000000000005,1.0,6.0,6500.0,0.51,11,9.130267863704896,138.44030899673672,0.942,3776.0,116.50000000000027,34.4120171673819,5.039913389894056,14.934832473204583,72.22912913777691,0
a06,3982.0,1.0,6.0,6500.0,0.5,11,8.965323384366263,136.60935997411184,0.941,3747.0,117.50000000000016,33.889361702127616,5.017486028163134,14.866577367113122,72.32509458316781,0
a07,3978.0,1.0,6.0,6500.0,0.5,11,8.929587065016658,136.18332914413728,0.941,3743.0,117.50000000000016,33.855319148936125,5.006958392081191,14.835100255977048,72.25023357182543,0
a08,3968.0,1.0,6.0,6500.0,0.51,11,8.848207057979415,135.54044029939098,0.94,3729.0,119.49999999999994,33.20502092050211,5.048300972893041,14.956343819439828,73.25161905759037,0
a09,3962.0,1.0,6.0,6500.0,0.51,11,8.803129791638302,135.04368970551,0.94,3724.0,119.0,33.294117647058826,5.013205756438629,14.852008972341483,72.84087898737937,0
a10,3935.0,1.0,6.0,6500.0,0.51,11,8.625832951035658,133.23543790440925,0.938,3691.0,122.00000000000011,32.25409836065571,5.0549153410593926,14.973234586036144,74.09424345174816,0
a55,3652.0,1.0,4.5,5000.0,0.52,11,6.888213522935569,88.363407706915,0.921,3363.0,144.50000000000009,25.273356401384067,5.01526879334464,14.83238830257811,62.09834223806334,0
a56,3640.0,1.0,4.5,5000.0,0.51,11,6.8383457458191605,87.85803461929713,0.92,3348.0,146.00000000000014,24.931506849315046,5.03517773506949,14.890508149222697,62.501470621973745,0
a57,3628.0,1.0,4.5,5000.0,0.51,11,6.762584204328462,87.15733065224777,0.919,3334.0,147.00000000000003,24.680272108843532,5.030049318097094,14.874354959342188,62.69542312762846,0
a58,3581.0,1.0,4.5,5000.0,0.52,11,6.496073562018426,84.98933248457057,0.915,3276.0,152.50000000000009,23.48196721311474,5.0426642337158025,14.907279973659175,64.06022758032195,0
a59,3721.0,1.0,4.0,4500.0,0.52,11,7.287305643050922,82.57575405566685,0.926,3445.0,138.0000000000001,26.963768115942006,5.009969948971862,14.822475667856754,54.52339419322688,0
a60,3679.0,1.0,4.0,4500.0,0.52,11,7.040800438059806,80.68978035187367,0.923,3395.0,141.99999999999991,25.908450704225366,5.016401591254731,14.837988151114898,55.38349942992662,0
a61,3377.0,1.0,4.5,5000.0,0.52,11,5.440996516385741,75.47451019516396,0.896,3025.0,175.99999999999994,19.187500000000007,5.027619335772824,14.845238438536976,69.02601820954331,0
a62,3371.0,1.0,4.5,5000.0,0.52,11,5.419991707412047,75.33226202140213,0.895,3017.0,177.00000000000006,19.04519774011299,5.0322640191450185,14.8583977574562,69.26640659621079,0
a63,3915.0,1.0,3.0,3500.0,0.51,11,8.499520372811388,71.05817917304701,0.937,3668.0,123.49999999999994,31.70040485829961,5.056869160292481,14.977384326483643,40.15970719055523,0
a64,3814.0,1.0,3.0,3500.0,0.51,11,7.852250209976743,67.37879722220255,0.932,3554.0,130.0000000000001,29.338461538461512,5.013129032046948,14.839784591391007,41.07480341484223,0
b01,4086.0000000000005,1.5,6.0,6500.0,0.53,11,9.633457560900814,143.85686154454044,0.945,3861.0,112.50000000000004,36.31999999999999,5.060185233201219,15.000400283872438,71.20058662555647,0
b02,4046.0000000000005,1.5,6.0,6500.0,0.53,11,9.346454422810725,140.93748120062176,0.943,3815.0,115.50000000000016,35.03030303030299,5.078278111496423,15.05073845263078,72.30821103592892,0
b03,4022.9999999999995,1.5,6.0,6500.0,0.52,11,9.199093333252083,139.2369018328559,0.943,3793.0,114.99999999999977,34.98260869565224,5.007681880497879,14.84023783326701,71.58305471807951,0
b04,4016.0,1.5,6.0,6500.0,0.52,11,9.164311609297897,138.9799055737049,0.942,3783.0,116.50000000000004,34.47210300429183,5.048883398377719,14.961633261039328,72.3590209563931,0
b05,3976.0,1.5,6.0,6500.0,0.52,11,8.88658301054026,136.11069803526033,0.94,3737.0,119.49999999999994,33.27196652719667,5.060166156935171,14.991786861365103,73.40388954023574,0
b06,3944.0,1.5,6.0,6500.0,0.52,11,8.668481328789062,133.83683463542204,0.939,3703.0,120.50000000000006,32.73029045643152,5.0131317438142355,14.850025440513066,73.38477609053137,0
b07,3936.0,1.5,6.0,6500.0,0.53,11,8.598494434964152,133.2713552619788,0.938,3691.0,122.50000000000006,32.13061224489795,5.057496520314421,14.980294707685257,74.40766420721403,0
b08,3917.0,1.5,6.0,6500.0,0.53,11,8.477313068650224,132.03670605044562,0.937,3670.0,123.49999999999994,31.716599190283414,5.043453428999398,14.937203258190605,74.62165520452987,0
b09,3909.0,1.5,6.0,6500.0,0.53,11,8.424181068513866,131.4750493669433,0.937,3662.0,123.49999999999994,31.651821862348193,5.021886444664978,14.87275757218985,74.4642878019634,0
b10,3861.0,1.5,6.0,6500.0,0.52,11,8.14032598146488,128.40244286789397,0.934,3606.0,127.50000000000017,30.28235294117643,5.045504906587387,14.939035125199608,75.82006850099843,0
b32,3333.0,1.5,6.0,6500.0,0.54,11,5.212103490646363,95.58668052940105,0.891,2969.0,182.00000000000017,18.313186813186796,5.007517351319442,14.781338158686678,91.34349469501537,0
b33,3312.0,1.5,6.0,6500.0,0.53,11,5.1282390848079675,94.48096746399918,0.888,2941.0,185.5,17.8544474393531,5.027543757897048,14.838857860801737,92.37621827435831,0
b34,3287.0,1.5,6.0,6500.0,0.54,11,5.002221188893564,93.02950005738123,0.885,2908.0,189.5,17.345646437994723,5.024099770775156,14.826065750810125,93.4928419339665,0
b35,3412.0,1.5,5.5,6000.0,0.54,11,5.590982359235172,92.45407188832264,0.899,3067.0,172.4999999999999,19.77971014492755,5.035498785490608,14.870784268314717,82.16045003672824,0
b36,3364.0,1.5,5.5,6000.0,0.54,11,5.3640383667740865,89.98068122666596,0.894,3007.0,178.4999999999999,18.84593837535015,5.026583245318942,14.840269451657711,83.60101603829831,0
b37,3486.0,1.5,5.0,5500.0,0.54,11,5.969157125253264,88.57368628419225,0.907,3161.0,162.50000000000009,21.45230769230768,5.01132728891402,14.805943142893973,72.78740114789386,0
b38,3333.0,1.5,5.5,6000.0,0.54,11,5.212103490646368,88.23385895021639,0.891,2969.0,182.00000000000017,18.313186813186796,5.007517351319443,14.78133815868669,84.31707202616805,0
b39,3303.0,1.5,5.5,6000.0,0.54,11,5.0774564858377556,86.74686931984493,0.887,2929.0,187.00000000000006,17.66310160427807,5.022036583893618,14.821430050443647,85.6711864244595,0
b40,3418.0,1.5,5.0,5500.0,0.54,11,5.6242333098220625,85.11160342772794,0.9,3076.0,171.00000000000003,19.988304093567248,5.017332512753126,14.817754826348251,74.83169180063304,0
b41,3333.0,1.5,5.0,5500.0,0.54,11,5.212103490646375,80.88103737103171,0.891,2969.0,182.00000000000017,18.313186813186796,5.007517351319449,14.781338158686703,77.29064935732075,0
