tag,set,rank,mass_shaft_kg,OD_mm,ID_mm,t_mm,OD_over_t,length_mm,z1_m,z2_m
base,—,—,43225.8,3055.0,2705.0,175.0,17.46,3500.0,0.5,3.0
a01,a,1,142648.3,4069.0,3602.8,233.1,17.46,6500.0,1.0,6.0
a02,a,2,142027.4,4060.0,3594.8,232.6,17.46,6500.0,1.0,6.0
a03,a,3,140974.4,4047.0,3583.3,231.8,17.46,6500.0,1.0,6.0
a04,a,4,140467.8,4041.0,3578.0,231.5,17.46,6500.0,1.0,6.0
a05,a,5,138440.3,4009.0,3549.7,229.7,17.46,6500.0,1.0,6.0
a06,a,6,136609.4,3982.0,3525.8,228.1,17.46,6500.0,1.0,6.0
a07,a,7,136183.3,3978.0,3522.2,227.9,17.46,6500.0,1.0,6.0
a08,a,8,135540.4,3968.0,3513.4,227.3,17.46,6500.0,1.0,6.0
a09,a,9,135043.7,3962.0,3508.1,227.0,17.46,6500.0,1.0,6.0
a10,a,10,133235.4,3935.0,3484.2,225.4,17.46,6500.0,1.0,6.0
a55,a,55,88363.4,3652.0,3233.6,209.2,17.46,5000.0,1.0,4.5
a56,a,56,87858.0,3640.0,3223.0,208.5,17.46,5000.0,1.0,4.5
a57,a,57,87157.3,3628.0,3212.3,207.8,17.46,5000.0,1.0,4.5
a58,a,58,84989.3,3581.0,3170.7,205.1,17.46,5000.0,1.0,4.5
a59,a,59,82575.8,3721.0,3294.7,213.2,17.46,4500.0,1.0,4.0
a60,a,60,80689.8,3679.0,3257.5,210.8,17.46,4500.0,1.0,4.0
a61,a,61,75474.5,3377.0,2990.1,193.5,17.46,5000.0,1.0,4.5
a62,a,62,75332.3,3371.0,2984.8,193.1,17.46,5000.0,1.0,4.5
a63,a,63,71058.2,3915.0,3466.5,224.3,17.46,3500.0,1.0,3.0
a64,a,64,67378.8,3814.0,3377.0,218.5,17.46,3500.0,1.0,3.0
b01,b,1,143856.9,4085.0,3617.0,234.0,17.46,6500.0,1.5,6.0
b02,b,2,140937.5,4046.0,3582.4,231.8,17.46,6500.0,1.5,6.0
b03,b,3,139236.9,4022.0,3561.2,230.4,17.46,6500.0,1.5,6.0
b04,b,4,138979.9,4016.0,3555.9,230.1,17.46,6500.0,1.5,6.0
b05,b,5,136110.7,3977.0,3521.4,227.8,17.46,6500.0,1.5,6.0
b06,b,6,133836.8,3943.0,3491.3,225.9,17.46,6500.0,1.5,6.0
b07,b,7,133271.4,3936.0,3485.1,225.5,17.46,6500.0,1.5,6.0
b08,b,8,132036.7,3916.0,3467.3,224.3,17.46,6500.0,1.5,6.0
b09,b,9,131475.0,3909.0,3461.1,223.9,17.46,6500.0,1.5,6.0
b10,b,10,128402.4,3861.0,3418.6,221.2,17.46,6500.0,1.5,6.0
b32,b,32,95586.7,3333.0,2951.1,190.9,17.46,6500.0,1.5,6.0
b33,b,33,94481.0,3312.0,2932.5,189.7,17.46,6500.0,1.5,6.0
b34,b,34,93029.5,3287.0,2910.4,188.3,17.46,6500.0,1.5,6.0
b35,b,35,92454.1,3412.0,3021.1,195.5,17.46,6000.0,1.5,5.5
b36,b,36,89980.7,3364.0,2978.6,192.7,17.46,6000.0,1.5,5.5
b37,b,37,88573.7,3486.0,3086.6,199.7,17.46,5500.0,1.5,5.0
b38,b,38,88233.9,3333.0,2951.1,190.9,17.46,6000.0,1.5,5.5
b39,b,39,86746.9,3303.0,2924.6,189.2,17.46,6000.0,1.5,5.5
b40,b,40,85111.6,3418.0,3026.4,195.8,17.46,5500.0,1.5,5.0
b41,b,41,80881.0,3333.0,2951.1,190.9,17.46,5500.0,1.5,5.0
