ratio,ID_mm,t_mm,OD_over_t,mass_shaft_t,fatigue_inf,static
0.885,3601.0,234.0,17.38888888888889,142.93515525223071,9.583151067025053,28.37727682977615
0.88543,3602.0,233.50000000000003,17.42612419700214,142.6483340476034,9.566254605729162,28.32736394829968
0.89,3621.0,223.99999999999997,18.165178571428573,137.18359967866948,9.242537851250681,27.370996188267434
0.895,3641.0,213.99999999999997,19.014018691588788,131.40018835560093,8.896233305897441,26.3477003707106
0.9,3662.0,203.5,19.995085995085994,125.29332171597169,8.526419231399398,25.25471645281296
0.905,3682.0,193.5,21.02842377260982,119.44460610641283,8.168249926189798,24.195936242645196
0.91,3702.0,183.5,22.174386920980925,113.56403474734677,7.804195858361068,23.11954993284159
0.915,3723.0,173.00000000000006,23.520231213872826,107.35515006992,7.415535441084773,21.970181194946765
0.92,3743.0,163.00000000000003,24.963190184049076,101.40927442436374,7.039216755966543,20.85708817571317
0.925,3763.0,153.00000000000003,26.59477124183006,95.43154302929993,6.656816636311177,19.72578746734987
0.93,3784.0,142.50000000000006,28.55438596491227,89.12064031407574,6.248680034358201,18.518107314228597
0.935,3804.0,132.50000000000006,30.70943396226414,83.07760463252198,5.853608799597952,17.348855673226815
0.94,3824.0,122.50000000000006,33.21632653061223,77.00271320146055,5.452256218830639,16.16078404725549
0.945,3845.0,111.99999999999987,36.33035714285718,70.58979244843881,5.024003215633123,14.89283159651646
0.946,3849.0,109.99999999999987,36.990909090909135,69.36430176488915,4.941631389056063,14.648919405481198
0.947,3853.0,107.99999999999987,37.675925925925974,68.13753685135919,4.859002327653536,14.404236075554284
0.948,3857.0,105.99999999999987,38.386792452830235,66.9094977078489,4.7761154962692745,14.15877996488474
0.949,3861.0,103.99999999999987,39.12500000000005,65.68018433435832,4.692970359189821,13.912549429768012
0.95,3865.0,101.99999999999987,39.892156862745146,64.44959673088742,4.609566380144133,13.665542824644234
0.955,3885.0,92.00000000000009,44.228260869565176,58.277545263828706,4.188645046915936,12.418811024432754
0.96,3906.0,81.4999999999999,49.92638036809822,51.76260647300945,3.7396250489614524,11.088590974628467
0.965,3926.0,71.4999999999999,56.90909090909099,45.52525071946042,3.3051996780993655,9.801353740005496
0.97,3946.0,61.499999999999886,66.16260162601638,39.25603921640396,2.864083416756038,8.494039644210263
