DLC,D30_UW,k,nbin,fatigue_inf,static
DLC1.2-d-s1,0.011102403250328961,0.19,30,13.170501126844085,40.29379208062748
DLC1.2-d-s5,0.010937954959333298,0.2,30,13.453610307111049,40.313893278801466
DLC1.2-d-s2,0.010658339514101141,0.19,30,13.534852762543917,41.01963070178446
DLC1.2-d-s3,0.01032930771048789,0.18,30,12.626690051006959,38.24480939042503
DLC1.2-d-s4,0.010190083643746874,0.18,30,12.998322039352548,38.92256283836589
DLC1.2-d-s6,0.010096770640425815,0.19,30,13.68065214000966,40.25873458195581
DLC1.2-a-s5,0.00935990023304749,0.18,30,20.384981486026582,55.01920069531648
DLC1.2-a-s4,0.009197702232834597,0.16,30,22.054252992527843,60.12642722790625
DLC1.2-a-s6,0.00909394385588246,0.17,30,21.93615998991649,59.50444325412569
DLC1.2-a-s3,0.00906932024892393,0.16,30,20.97026410904078,56.18381006254632
