gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,3,3882.0929,16.5764,84.0327,224,205,20,0,0,93.8
2,3,4068.078,15.3866,84.0327,448,428,21,0,0,169.4
3,3,4267.9382,14.2511,84.0327,672,651,22,0,0,241.5
4,3,4267.9382,14.2511,84.0327,896,875,22,0,0,312.2
5,3,4383.9494,14.2511,78.9226,1120,1099,22,0,0,384.8
6,3,4383.9494,14.2511,78.9226,1344,1320,25,0,0,456.8
7,3,4383.9494,14.2511,78.9226,1568,1543,26,0,0,530.7
8,3,4383.9494,14.2511,78.9226,1792,1763,30,0,0,604.1
9,4,4384.0505,14.2511,78.9226,2016,1985,32,0,0,679.5
10,7,4478.8908,13.7006,78.7648,2240,2208,33,0,0,755.2
11,7,4496.2407,13.7006,77.9547,2464,2431,34,0,0,830.5
12,6,4516.1226,13.7006,77.4149,2688,2655,34,0,0,907.0
13,6,4517.9416,13.7006,77.4149,2912,2877,36,0,0,983.5
14,5,4600.4361,13.2183,77.4149,3136,3099,38,0,0,1060.0
15,8,4605.5082,13.2183,77.1531,3360,3318,43,0,0,1136.4
16,8,4625.4965,13.1042,77.1531,3584,3541,44,0,0,1214.9
17,6,4653.9455,12.9445,77.1531,3808,3761,48,0,0,1292.6
18,6,4653.9455,12.9445,77.1531,4032,3983,50,0,0,1370.9
19,8,4657.6694,12.9445,77.1531,4256,4205,52,0,0,1449.0
20,9,4678.35,12.8559,76.8331,4480,4429,52,0,0,1528.5
21,9,4678.35,12.8559,76.8331,4704,4650,55,0,0,1606.9
22,7,4678.4063,12.8559,76.8331,4928,4873,56,0,0,1686.2
23,8,4678.6547,12.8559,76.8331,5152,5095,58,0,0,1765.7
24,8,4678.7489,12.8559,76.8331,5376,5318,59,0,0,1845.0
25,8,4683.8875,12.8303,76.8331,5600,5541,60,0,1,1924.7
26,9,4698.6453,12.7423,76.8331,5824,5760,65,0,2,2003.3
27,9,4698.9183,12.7423,76.8331,6048,5983,66,0,2,2084.7
28,9,4698.9183,12.7423,76.8331,6272,6207,66,0,2,2165.7
29,9,4698.9183,12.7423,76.8331,6496,6425,72,0,2,2244.6
30,9,4698.9407,12.7423,76.8331,6720,6647,74,0,2,2324.8
31,9,4700.3457,12.7423,76.8331,6944,6867,78,0,2,2405.4
32,9,4701.1811,12.7423,76.8331,7168,7088,81,0,2,2484.0
33,9,4701.1811,12.7423,76.8331,7392,7312,81,0,2,2564.2
34,9,4701.1811,12.7423,76.8331,7616,7535,82,0,2,2643.6
35,14,4701.279,12.7423,76.8331,7840,7755,86,0,2,2722.5
36,10,4703.0173,12.7423,76.8331,8064,7977,88,0,2,2803.0
37,8,4713.8898,12.7423,76.4186,8288,8197,92,0,2,2881.8
38,9,4713.9321,12.7423,76.4186,8512,8418,95,0,2,2962.1
39,8,4714.597,12.7423,76.4186,8736,8641,96,0,2,3042.5
40,9,4714.6929,12.7423,76.4186,8960,8864,97,0,2,3122.9
